ZIP Code,Type,County,Population,Area Code(s)
20598,Unique,Loudoun,0,703 / 571
22301,Standard,Alexandria City,"11,162",703
22302,Standard,Alexandria City,"16,485",703 / 571
22303,Standard,Fairfax,"12,601",703
22304,Standard,Alexandria City,"44,300",703 / 571
22305,Standard,Alexandria City,"15,440",703
22306,Standard,Fairfax,"32,326",703
22307,Standard,Fairfax,"9,581",703
22308,Standard,Fairfax,"12,737",703
22309,Standard,Fairfax,"33,220",703
22310,Standard,Fairfax,"29,609",703
22311,Standard,Alexandria City,"17,560",703 / 571
22312,Standard,Fairfax,"30,614",703
22313,P.O. Box,Alexandria City,0,703
22314,Standard,Alexandria City,"29,653",703
22315,Standard,Fairfax,"26,202",703
22320,P.O. Box,Alexandria City,0,703
22331,Standard,Alexandria City,0,703
22332,Standard,Alexandria City,0,703
22333,Unique,Alexandria City,0,703
22334,Unique,Alexandria City,0,703
22350,Unique,Alexandria City,0,703
