,gsId,name,type,gradeRange,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,parentRating,enrollment,gsRating,Zip Code
0,3290,Achievement Integrity And Maturity,public,n/a,Alexandria,VA,68.0,Fairfax County Public Schools,5101260.0,"2709 Popkins Lane, 
Alexandria, VA  22306",(703) 660-2064,,,510126002674,38.7638,-77.0794,https://www.greatschools.org/virginia/alexandria/3290-Achievement-Integrity-And-Maturity/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/3290-Achievement-Integrity-And-Maturity/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/3290-Achievement-Integrity-And-Maturity/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/3290-Achievement-Integrity-And-Maturity/?utm_source=GSAPI&utm_medium=referral,,,,22306
1,2895,Agape Christian Academy,private,PK-6,Alexandria,VA,,,,"1400 Duke St, 
Alexandria, VA  22314",(703) 739-7600,,,A0109669,38.80359,-77.05591,https://www.greatschools.org/virginia/alexandria/2895-Agape-Christian-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2895-Agape-Christian-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2895-Agape-Christian-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/2895-Agape-Christian-Academy/?utm_source=GSAPI&utm_medium=referral,5.0,,,22314
2,3062,Alc At Bryant,public,n/a,Alexandria,VA,68.0,Fairfax County Public Schools,5101260.0,"2709 Popkins Lane, 
Alexandria, VA  22306",(703) 660-2101,,,510126001103,38.764225,-77.080025,https://www.greatschools.org/virginia/alexandria/3062-Alc-At-Bryant/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/3062-Alc-At-Bryant/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/3062-Alc-At-Bryant/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/3062-Alc-At-Bryant/?utm_source=GSAPI&utm_medium=referral,,,,22306
3,4976,Alc At Montrose,public,n/a,Alexandria,VA,68.0,Fairfax County Public Schools,5101260.0,"6525 Montrose Street, 
Alexandria, VA  22312",(703) 658-5800,,,510126002790,38.815468,-77.162674,https://www.greatschools.org/virginia/alexandria/4976-Alc-At-Montrose/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/4976-Alc-At-Montrose/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/4976-Alc-At-Montrose/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/4976-Alc-At-Montrose/?utm_source=GSAPI&utm_medium=referral,5.0,,,22312
4,2269,Alexandria Country Day School,private,K-8,Alexandria,VA,,,,"2400 Russell Road, 
Alexandria, VA  22301",(703) 548-4804,,www.acdsnet.org,A9304116,38.82789,-77.066536,https://www.greatschools.org/virginia/alexandria/2269-Alexandria-Country-Day-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2269-Alexandria-Country-Day-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2269-Alexandria-Country-Day-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/2269-Alexandria-Country-Day-School/?utm_source=GSAPI&utm_medium=referral,5.0,187.0,,22301
5,455,Belle View Elementary School,public,PK-6,Alexandria,VA,68.0,Fairfax County Public Schools,5101260.0,"6701 Fort Hunt Road, 
Alexandria, VA  22307",(703) 660-8300,(703) 660-8397,http://www.fcps.edu/BelleViewES/,510126000429,38.77181,-77.06098,https://www.greatschools.org/virginia/alexandria/455-Belle-View-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/455-Belle-View-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/455-Belle-View-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/455-Belle-View-Elementary-School/?utm_source=GSAPI&utm_medium=referral,4.0,531.0,4.0,22307
6,2101,Blessed Sacrament School & Early Childhood Center,private,PK-8,Alexandria,VA,,,,"1417 West Braddock Road, 
Alexandria, VA  22302",(703) 998-4170,,,01636066,38.82653,-77.082596,https://www.greatschools.org/virginia/alexandria/2101-Blessed-Sacrament-School-&-Early-Childhood-Center/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2101-Blessed-Sacrament-School-&-Early-Childhood-Center/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2101-Blessed-Sacrament-School-&-Early-Childhood-Center/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/2101-Blessed-Sacrament-School-&-Early-Childhood-Center/?utm_source=GSAPI&utm_medium=referral,3.0,343.0,,22302
7,446,Bren Mar Park Elementary School,public,PK-5,Alexandria,VA,68.0,Fairfax County Public Schools,5101260.0,"6344 Beryl Road, 
Alexandria, VA  22312",(703) 914-7200,,,510126000073,38.802177,-77.15742,https://www.greatschools.org/virginia/alexandria/446-Bren-Mar-Park-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/446-Bren-Mar-Park-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/446-Bren-Mar-Park-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/446-Bren-Mar-Park-Elementary-School/?utm_source=GSAPI&utm_medium=referral,3.0,529.0,6.0,22312
8,5666,Brentwood Academy,private,PK-1,Alexandria,VA,,,,"3725 Nalls Road, 
Alexandria, VA  22309",(703) 780-5750,,http://www.brentwoodacademy.org/,A0971723,38.725407,-77.09724,https://www.greatschools.org/virginia/alexandria/5666-Brentwood-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/5666-Brentwood-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/5666-Brentwood-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/5666-Brentwood-Academy/?utm_source=GSAPI&utm_medium=referral,,75.0,,22309
9,5057,Brentwood Academy,private,PK-3,Alexandria,VA,,,,"3725 Nalls Rd, 
Alexandria, VA  22309",(703) 683-5130,,,BB081754,38.725166,-77.09845,https://www.greatschools.org/virginia/alexandria/5057-Brentwood-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/5057-Brentwood-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/5057-Brentwood-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/5057-Brentwood-Academy/?utm_source=GSAPI&utm_medium=referral,4.0,,,22309
