Name,Physical Address,Tel
,700 Commonwealth Avenue,
Abracadabra Child Care & Developement center,"ALEXANDRIA, VA 22301",(703) 548-7796
,425 S. Washington Street,
Alexandria Academy of Fine Arts and Science,"ALEXANDRIA, VA 22314",(703) 447-0763
,2400 Russell Road,
Alexandria Country Day School,"ALEXANDRIA, VA 22301",(703) 548-4804
,2723 King Street,
ALIVE! Child Development Center,"ALEXANDRIA, VA 22302",(703) 548-9255
,917 Princess Street,
American Day School #1,"ALEXANDRIA, VA 22314",(703) 837-0237
,501 N. Henry Street,
American Day School #2,"ALEXANDRIA, VA 22314",(703) 837-0237
,1108 Oronoco Street,
American Day School #3,"ALEXANDRIA, VA 22314",(703) 837-0099
,1417 West Braddock Road,
Blessed Sacrament School - Extended Day Program,"ALEXANDRIA, VA 22302",(703) 998-4170 (26)
,346 Commerce Street,
Blue Bird of Alexandria,"ALEXANDRIA, VA 22314",(703) 683-2701
,"1400, 1412 and 1416 Duke Street",
Blue Bird of Alexandria II,"ALEXANDRIA, VA 22314",(703) 548-1268
,411 John Carlyle Street,
Bright Horizons at Old Town Alexandria,"ALEXANDRIA, VA 22314",(703) 519-1840
,322 N. Alfred Street,
Bright Mind Preschool,"ALEXANDRIA, VA 22314",(703) 928-0591
,4920 Brenman Park Drive,
Bright Start Learning Center,"ALEXANDRIA, VA 22304",(703) 370-8414
,4910 Brenman Park Drive,
Bright Start Preschool I,"ALEXANDRIA, VA 22304",(703) 370-8414
,4915 Brenman Park Drive,
Bright Start Preschool II,"ALEXANDRIA, VA 22304",(703) 461-0457
,4901 Brenman Park Drive,
Bright Start Preschool III,"ALEXANDRIA, VA 22304",(703) 370-8414
,3737 Seminary Road,
Butterfly House,Virginia Theological Seminary,(703) 461-1786
,"ALEXANDRIA, VA 22304",
,5140 Filmore Avenue,
Campagna Center - St. James,"ALEXANDRIA, VA 22311",(571) 982-3924
,5651 Rayburn Avenue,
Campagna Ctr - Alex. Head Start - John Adams,"ALEXANDRIA, VA 22311",(703) 931-7541
,3600 Commonwealth Avenue,
Campagna Ctr - Alex.Head Start-Cora Kelly,"ALEXANDRIA, VA 22305",(703) 549-2097
,1005 Mount Vernon Avenue,
Campagna Ctr - Alex.Head Start-George Washington,"ALEXANDRIA, VA 22301",(703) 684-3983
,228 South Pitt Street,
Campagna Ctr - Alex.Head Start-St. Paul's,"ALEXANDRIA, VA 22314",(703) 224-0417
,3900 King Street,
Campagna Ctr - Alexandria Head Start - FUMC,"ALEXANDRIA, VA 22302",(703) 549-0111
,1501 Cameron Street,
Campagna Ctr - Alexandria Head Start - Jefferson Houston,"ALEXANDRIA, VA 22314",(703) 836-5774
,120 E. Reed Street,
Campagna Ctr-Alexandria Head Start - Jackson Crossing,"ALEXANDRIA, VA 22305",(571) 527-0539
,1101 Janneys Lane,
Campagna Kids - Douglas MacArthur,"ALEXANDRIA, VA 22302",(703) 461-0471
,2601 Cameron Mills Road,
Campagna Kids - George Mason,"ALEXANDRIA, VA 22302",(703) 683-2515
,600 Russell Road,
Campagna Kids - Maury,"ALEXANDRIA, VA 22305",(703) 683-0054
,2601 Commonwealth Avenue,
Campagna Kids - Mount Vernon,"ALEXANDRIA, VA 22305",(703) 683-4468
,5700 Sanger Avenue,
Campagna Kids - William Ramsay,"ALEXANDRIA, VA 22311",(703) 379-8429
,5000 Polk Avenue,
Campagna Kids-James Polk,"ALEXANDRIA, VA 22304",(703) 370-8845
,1501 Cameron Street,
Campagna Kids-Jefferson Houston,"ALEXANDRIA, VA 22314",(703) 836-0544
,5651 Rayburn Avenue,
Campagna Kids-John Adams,"ALEXANDRIA, VA 22311",(703) 379-8332
,530 S. St. Asaph Street,
Campagna Kids-Lyles Crouch,"ALEXANDRIA, VA 22314",(703) 836-3696
,4643 Taney Avenue,
Campagna Kids-Patrick Henry,"ALEXANDRIA, VA 22304",(703) 370-4931
,435 Ferdinand Day Drive,
Campagna Kids-Samuel Tucker,"ALEXANDRIA, VA 22304",(703) 683-2515
,3330 King Street,
Campagna Tiny Titans Child Development Center,"ALEXANDRIA, VA 22302",(703) 824-6800
,25 South Quaker Lane,
Children's International-Alexandria,"ALEXANDRIA, VA 22314",(703) 751-7266
,2721 Mt. Vernon Ave.,
ChildSpace Learning Center,"ALEXANDRIA, VA 22301",(571) 429-3082
,845 N. Howard Street,
Creative Play School I,"ALEXANDRIA, VA 22304",(703) 751-3388
,100 E. Windsor Avenue,
Creative Play School II,"ALEXANDRIA, VA 22301",(703) 836-7090
,241 South Reynolds Street,
Creative World Learning Center - Landmark,"ALEXANDRIA, VA 22304",(703) 212-2024
,420 Hume Avenue,
Discovery Time Learning Academy,"ALEXANDRIA, VA 22301",(703) 930-9043
,1509 Leslie Avenue,
Discovery Time Learning Center,"ALEXANDRIA, VA 22301",(703) 930-9043
,2418 Grist Mill Place,
Excel Preparatory Preschool Academy,"ALEXANDRIA, VA 22314",(703) 317-1389
,3900 King Street,
Fairlington Preschool,Fairlington UMC,(703) 671-3939
,"ALEXANDRIA, VA 22302",
,618 N. Washington Street,
Great Beginnings Early Learning Center,"ALEXANDRIA, VA 22314",(703) 224-2599
,5001 Seminary Road,
Happy Home Christian Leadership Academy for Early Learners Inc,Suite 109,(703) 931-1051
,"ALEXANDRIA, VA 22311",
,1224 Princess Street,
Hopkins House - Helen Day Preschool Academy,"ALEXANDRIA, VA 22314",(571) 480-4081
,500 Dulany Street,
Innovation Station Child Development Center,Jefferson Building Suite 1,(571) 272-2880
,"ALEXANDRIA, VA 22314",
,3830 Seminary Road,
JCCNV-Beth El Hebrew Congregation,"ALEXANDRIA, VA 22304",(703) 537-3084
,1000 Bernard Street,
Kiddie Academy of Alexandria,"ALEXANDRIA, VA 22314",(703) 497-2500
,722 North Henry Street,
Madison Day School,1106 Madison Street,(703) 299-9800
,"ALEXANDRIA, VA 22314",
,203 East Custis Avenue,
Madison Day School - Custis Avenue,"ALEXANDRIA, VA 22301",(703) 299-9800
,697 N. Washington Street,
Northeast Stars Montessori,"ALEXANDRIA, VA 22314",(703) 945-0408
,112 South Columbus Street,
Old Town Montessori School,"ALEXANDRIA, VA 22314",(703) 684-7323
,3846 King Street,
Potomac Crescent Waldorf School,"ALEXANDRIA, VA 22302",(703) 486-1309
,206 N. Fayette Street,
Rainbow Early Learning Center,"ALEXANDRIA, VA 22314",(703) 299-3000
,3825 Russell Road,
Saint Rita Catholic Preschool,"ALEXANDRIA, VA 22305",(703) 548-1888
,3801 Russell Road,
Saint Rita School,"ALEXANDRIA, VA 22305",(703) 548-1888
,321 First Street,
St. Anthony's Day School,"ALEXANDRIA, VA 22314",(703) 836-9123
,400 Green Street,
