ZIP Code,Classification,City,Population,Timezone,Area Code(s)
22201,General,Arlington,"33,476",Eastern,703/571
22202,General,Arlington,"22,543",Eastern,703/571
22203,General,Arlington,"21,850",Eastern,571/703
22204,General,Arlington,"47,233",Eastern,703
22205,General,Arlington,"17,087",Eastern,703/571
22206,General,Arlington,"19,051",Eastern,703
22207,General,Arlington,"30,920",Eastern,571/703
22209,General,Arlington,"12,314",Eastern,571/703
22210,P.O. Box,Arlington,0,Eastern,703/571
22211,General,Fort Myer,648,Eastern,703/571
22212,Unique,Arlington,0,Eastern,703
22213,General,Arlington,"2,936",Eastern,703/571
22214,General,Arlington,0,Eastern,703/571
22215,P.O. Box,Arlington,0,Eastern,703/571
22216,P.O. Box,Arlington,0,Eastern,703/571
22217,Unique,Arlington,0,Eastern,703
22219,P.O. Box,Arlington,0,Eastern,703/571
22225,Unique,Arlington,0,Eastern,703/571
22226,Unique,Arlington,0,Eastern,703/571
22227,Unique,Arlington,0,Eastern,703/571
22230,Unique,Arlington,0,Eastern,703/571
22240,Unique,Arlington,0,Eastern,703/571
22241,Unique,Arlington,0,Eastern,703/571
22242,Unique,Arlington,0,Eastern,703/571
22243,Unique,Arlington,0,Eastern,703/571
22244,Unique,Arlington,0,Eastern,703/571
22245,Unique,Arlington,0,Eastern,703/571
22246,Unique,Arlington,0,Eastern,703/571
