Zip Code,Area of 10 mins,Area of 30 mins,Area of 60 mins
20001,16039035.045004113,126753906.8240919,458658810.0100924
20002,12167391.358916845,112080100.87364627,452156454.0248295
20003,15564497.181103041,101187255.97364654,428374963.2719277
20004,13303261.058476763,110500651.22624855,453742645.0312801
20005,17226787.864480436,127010305.9910337,482396662.9154916
20006,12671956.873998731,116671106.05785571,454427528.51424325
20007,10648115.289792946,112004259.97684442,423392551.9187442
20008,14315656.80923386,139612637.615865,465108624.6670446
20009,16335822.87486042,134913819.5300987,462844091.0606703
20010,14506756.337846667,145431782.8840016,453220214.084156
20011,15106704.06555678,144686872.9891766,442161946.1570795
20012,13578550.104253447,144310176.69810575,427741304.5898359
20015,14659941.2945717,145250928.36826485,465167173.23155
20016,15861566.200127536,113006548.99116392,446580390.4141319
20017,14880195.574854143,119923889.89727272,396225847.2950071
20018,14647817.089473523,118615053.36907472,410760872.1710266
20019,13878007.463508835,103518814.21483035,328831515.6589569
20020,15257900.596767725,103528735.16996057,318763765.63418317
20024,10356809.4785517,94847508.54715364,437856384.15225065
20032,9889072.894569322,83584655.02055186,308869698.1286539
20036,15237528.526119234,130321324.95354663,472260702.2276196
20037,11200727.541315643,107652347.7174166,414712711.202116
