Zip Code,Area of 10 mins,Area of 30 mins,Area of 60 mins
20001,24705639.106977765,1221658891.2132745,8426577403.954044
20002,18314206.35469828,1060465011.6814172,7617475033.9006
20003,36447360.40334612,1744820481.1750484,9427411831.484877
20004,21351907.44264516,1289641083.3328,8903284096.62423
20005,15649858.284392603,1047332014.0297924,8336375718.6209955
20006,23444531.00087339,1297328215.7566683,9213620479.849762
20007,15244725.12974909,868249961.9900844,8149652859.388851
20008,28547885.004417848,955690646.0156453,8349164634.370161
20009,17560442.364431024,826763417.965631,7629490066.948583
20010,11103059.710690549,480705791.0948274,6627731454.519867
20011,21614991.948962826,654063046.0019971,7009208264.237877
20012,37613838.07192371,1115229954.088125,8519724566.585162
20015,31823648.009972062,892996579.0695943,7930818174.557412
20016,28112572.672632396,930098630.1442462,8312146284.918252
20017,33015462.881089665,895238982.4763397,7166439001.25199
20018,35608905.468794845,1139049693.1871655,7743552540.939265
20019,27725220.744286083,1175435468.9545708,7892598163.890687
20020,34716009.42527454,1494392413.9532082,8588726570.558576
20024,25739006.539117593,1544038938.0425773,9335049575.10483
20032,34714382.25439202,1567970563.0419738,8811937038.765116
20036,17547222.975155935,940427776.492543,8167364892.543664
20037,25574989.67412086,1288229668.0645776,9227715695.163105
