Zip Code,Area of 10 mins,Area of 30 mins,Area of 60 mins,Coors of 10 mins,Coors of 30 mins,Coors of 60 mins
20001,0.0001452009494187223,0.0001452009494187223,0.0001452009494187223,"[[-77.018555, 38.916965], [-77.0158, 38.916134], [-77.013794, 38.915047], [-77.013794, 38.913727], [-77.011795, 38.912537], [-77.010437, 38.910728], [-77.010361, 38.909729], [-77.014435, 38.905376], [-77.016045, 38.904968], [-77.018799, 38.902943], [-77.020386, 38.903728], [-77.02079, 38.90506], [-77.021797, 38.904758], [-77.023712, 38.906815], [-77.025795, 38.907932], [-77.027374, 38.909733], [-77.027176, 38.910728], [-77.025795, 38.912449], [-77.023842, 38.91378], [-77.021805, 38.916134], [-77.018555, 38.916965]]","[[-77.018555, 38.916965], [-77.0158, 38.916134], [-77.013794, 38.915047], [-77.013794, 38.913727], [-77.011795, 38.912537], [-77.010437, 38.910728], [-77.010361, 38.909729], [-77.014435, 38.905376], [-77.016045, 38.904968], [-77.018799, 38.902943], [-77.020386, 38.903728], [-77.02079, 38.90506], [-77.021797, 38.904758], [-77.023712, 38.906815], [-77.025795, 38.907932], [-77.027374, 38.909733], [-77.027176, 38.910728], [-77.025795, 38.912449], [-77.023842, 38.91378], [-77.021805, 38.916134], [-77.018555, 38.916965]]","[[-77.018555, 38.916965], [-77.0158, 38.916134], [-77.013794, 38.915047], [-77.013794, 38.913727], [-77.011795, 38.912537], [-77.010437, 38.910728], [-77.010361, 38.909729], [-77.014435, 38.905376], [-77.016045, 38.904968], [-77.018799, 38.902943], [-77.020386, 38.903728], [-77.02079, 38.90506], [-77.021797, 38.904758], [-77.023712, 38.906815], [-77.025795, 38.907932], [-77.027374, 38.909733], [-77.027176, 38.910728], [-77.025795, 38.912449], [-77.023842, 38.91378], [-77.021805, 38.916134], [-77.018555, 38.916965]]"
20002,0.0001480931853166112,0.0001480931853166112,0.0001480931853166112,"[[-76.984154, 38.910473], [-76.983803, 38.909809], [-76.981911, 38.90971], [-76.981155, 38.908852], [-76.980148, 38.909039], [-76.978882, 38.908199], [-76.978127, 38.908485], [-76.977165, 38.90646], [-76.975739, 38.905468], [-76.9757, 38.903465], [-76.976143, 38.902378], [-76.979149, 38.899887], [-76.980141, 38.900753], [-76.980743, 38.899467], [-76.985153, 38.897297], [-76.987457, 38.898155], [-76.990669, 38.900467], [-76.991417, 38.901466], [-76.991226, 38.903465], [-76.992134, 38.905468], [-76.990753, 38.907074], [-76.99015, 38.908859], [-76.989151, 38.90855], [-76.988152, 38.909767], [-76.984154, 38.910473]]","[[-76.984154, 38.910473], [-76.983803, 38.909809], [-76.981911, 38.90971], [-76.981155, 38.908852], [-76.980148, 38.909039], [-76.978882, 38.908199], [-76.978127, 38.908485], [-76.977165, 38.90646], [-76.975739, 38.905468], [-76.9757, 38.903465], [-76.976143, 38.902378], [-76.979149, 38.899887], [-76.980141, 38.900753], [-76.980743, 38.899467], [-76.985153, 38.897297], [-76.987457, 38.898155], [-76.990669, 38.900467], [-76.991417, 38.901466], [-76.991226, 38.903465], [-76.992134, 38.905468], [-76.990753, 38.907074], [-76.99015, 38.908859], [-76.989151, 38.90855], [-76.988152, 38.909767], [-76.984154, 38.910473]]","[[-76.984154, 38.910473], [-76.983803, 38.909809], [-76.981911, 38.90971], [-76.981155, 38.908852], [-76.980148, 38.909039], [-76.978882, 38.908199], [-76.978127, 38.908485], [-76.977165, 38.90646], [-76.975739, 38.905468], [-76.9757, 38.903465], [-76.976143, 38.902378], [-76.979149, 38.899887], [-76.980141, 38.900753], [-76.980743, 38.899467], [-76.985153, 38.897297], [-76.987457, 38.898155], [-76.990669, 38.900467], [-76.991417, 38.901466], [-76.991226, 38.903465], [-76.992134, 38.905468], [-76.990753, 38.907074], [-76.99015, 38.908859], [-76.989151, 38.90855], [-76.988152, 38.909767], [-76.984154, 38.910473]]"
20003,0.00014170079271025315,0.00014170079271025315,0.00014170079271025315,"[[-76.989807, 38.886921], [-76.986267, 38.884583], [-76.984352, 38.882378], [-76.983002, 38.881584], [-76.983147, 38.879551], [-76.98423, 38.877583], [-76.989548, 38.874989], [-76.990852, 38.873283], [-76.992149, 38.873219], [-76.993469, 38.874905], [-76.993149, 38.874779], [-76.993004, 38.875729], [-76.993599, 38.875584], [-76.993698, 38.875134], [-76.994507, 38.875221], [-76.999199, 38.879528], [-76.998695, 38.880581], [-76.99926, 38.881584], [-76.997459, 38.8829], [-76.996971, 38.884583], [-76.995918, 38.885361], [-76.994148, 38.886299], [-76.993149, 38.885838], [-76.991142, 38.887325], [-76.989807, 38.886921]]","[[-76.989807, 38.886921], [-76.986267, 38.884583], [-76.984352, 38.882378], [-76.983002, 38.881584], [-76.983147, 38.879551], [-76.98423, 38.877583], [-76.989548, 38.874989], [-76.990852, 38.873283], [-76.992149, 38.873219], [-76.993469, 38.874905], [-76.993149, 38.874779], [-76.993004, 38.875729], [-76.993599, 38.875584], [-76.993698, 38.875134], [-76.994507, 38.875221], [-76.999199, 38.879528], [-76.998695, 38.880581], [-76.99926, 38.881584], [-76.997459, 38.8829], [-76.996971, 38.884583], [-76.995918, 38.885361], [-76.994148, 38.886299], [-76.993149, 38.885838], [-76.991142, 38.887325], [-76.989807, 38.886921]]","[[-76.989807, 38.886921], [-76.986267, 38.884583], [-76.984352, 38.882378], [-76.983002, 38.881584], [-76.983147, 38.879551], [-76.98423, 38.877583], [-76.989548, 38.874989], [-76.990852, 38.873283], [-76.992149, 38.873219], [-76.993469, 38.874905], [-76.993149, 38.874779], [-76.993004, 38.875729], [-76.993599, 38.875584], [-76.993698, 38.875134], [-76.994507, 38.875221], [-76.999199, 38.879528], [-76.998695, 38.880581], [-76.99926, 38.881584], [-76.997459, 38.8829], [-76.996971, 38.884583], [-76.995918, 38.885361], [-76.994148, 38.886299], [-76.993149, 38.885838], [-76.991142, 38.887325], [-76.989807, 38.886921]]"
20004,0.00016066251737356652,0.00016066251737356652,0.00016066251737356652,"[[-77.024185, 38.902203], [-77.02021, 38.899174], [-77.019722, 38.898174], [-77.017326, 38.896175], [-77.017891, 38.893173], [-77.017242, 38.892174], [-77.020317, 38.891289], [-77.020462, 38.890175], [-77.023216, 38.888596], [-77.024208, 38.888477], [-77.026215, 38.889648], [-77.028214, 38.888588], [-77.030136, 38.890175], [-77.030121, 38.891262], [-77.03231, 38.892075], [-77.033096, 38.894169], [-77.034035, 38.894348], [-77.034813, 38.895172], [-77.034554, 38.896175], [-77.034119, 38.897083], [-77.033211, 38.897449], [-77.032211, 38.898613], [-77.031212, 38.898529], [-77.03019, 38.90015], [-77.026215, 38.903076], [-77.024185, 38.902203]]","[[-77.024185, 38.902203], [-77.02021, 38.899174], [-77.019722, 38.898174], [-77.017326, 38.896175], [-77.017891, 38.893173], [-77.017242, 38.892174], [-77.020317, 38.891289], [-77.020462, 38.890175], [-77.023216, 38.888596], [-77.024208, 38.888477], [-77.026215, 38.889648], [-77.028214, 38.888588], [-77.030136, 38.890175], [-77.030121, 38.891262], [-77.03231, 38.892075], [-77.033096, 38.894169], [-77.034035, 38.894348], [-77.034813, 38.895172], [-77.034554, 38.896175], [-77.034119, 38.897083], [-77.033211, 38.897449], [-77.032211, 38.898613], [-77.031212, 38.898529], [-77.03019, 38.90015], [-77.026215, 38.903076], [-77.024185, 38.902203]]","[[-77.024185, 38.902203], [-77.02021, 38.899174], [-77.019722, 38.898174], [-77.017326, 38.896175], [-77.017891, 38.893173], [-77.017242, 38.892174], [-77.020317, 38.891289], [-77.020462, 38.890175], [-77.023216, 38.888596], [-77.024208, 38.888477], [-77.026215, 38.889648], [-77.028214, 38.888588], [-77.030136, 38.890175], [-77.030121, 38.891262], [-77.03231, 38.892075], [-77.033096, 38.894169], [-77.034035, 38.894348], [-77.034813, 38.895172], [-77.034554, 38.896175], [-77.034119, 38.897083], [-77.033211, 38.897449], [-77.032211, 38.898613], [-77.031212, 38.898529], [-77.03019, 38.90015], [-77.026215, 38.903076], [-77.024185, 38.902203]]"
20005,0.000187068595096207,0.000187068595096207,0.000187068595096207,"[[-77.031425, 38.912598], [-77.027138, 38.910885], [-77.022438, 38.905205], [-77.022202, 38.904202], [-77.022278, 38.903202], [-77.023827, 38.901562], [-77.024818, 38.901356], [-77.027817, 38.899513], [-77.028824, 38.899368], [-77.031822, 38.897484], [-77.033821, 38.897892], [-77.034821, 38.898716], [-77.036697, 38.899326], [-77.039627, 38.902203], [-77.041077, 38.905197], [-77.040993, 38.906208], [-77.039459, 38.908203], [-77.037277, 38.909664], [-77.036819, 38.910412], [-77.031822, 38.912815], [-77.031425, 38.912598]]","[[-77.031425, 38.912598], [-77.027138, 38.910885], [-77.022438, 38.905205], [-77.022202, 38.904202], [-77.022278, 38.903202], [-77.023827, 38.901562], [-77.024818, 38.901356], [-77.027817, 38.899513], [-77.028824, 38.899368], [-77.031822, 38.897484], [-77.033821, 38.897892], [-77.034821, 38.898716], [-77.036697, 38.899326], [-77.039627, 38.902203], [-77.041077, 38.905197], [-77.040993, 38.906208], [-77.039459, 38.908203], [-77.037277, 38.909664], [-77.036819, 38.910412], [-77.031822, 38.912815], [-77.031425, 38.912598]]","[[-77.031425, 38.912598], [-77.027138, 38.910885], [-77.022438, 38.905205], [-77.022202, 38.904202], [-77.022278, 38.903202], [-77.023827, 38.901562], [-77.024818, 38.901356], [-77.027817, 38.899513], [-77.028824, 38.899368], [-77.031822, 38.897484], [-77.033821, 38.897892], [-77.034821, 38.898716], [-77.036697, 38.899326], [-77.039627, 38.902203], [-77.041077, 38.905197], [-77.040993, 38.906208], [-77.039459, 38.908203], [-77.037277, 38.909664], [-77.036819, 38.910412], [-77.031822, 38.912815], [-77.031425, 38.912598]]"
20006,0.00015576979649267741,0.00015576979649267741,0.00015576979649267741,"[[-77.041618, 38.905098], [-77.041046, 38.904301], [-77.040047, 38.904293], [-77.0392, 38.903519], [-77.03804, 38.903339], [-77.03495, 38.900677], [-77.033821, 38.898903], [-77.035034, 38.89801], [-77.037155, 38.897785], [-77.037193, 38.896523], [-77.035049, 38.896111], [-77.034836, 38.894676], [-77.037231, 38.89386], [-77.036758, 38.892677], [-77.040047, 38.890903], [-77.044258, 38.89146], [-77.046043, 38.893543], [-77.047035, 38.893692], [-77.047806, 38.894913], [-77.049873, 38.89584], [-77.051163, 38.897675], [-77.047806, 38.902676], [-77.047043, 38.903164], [-77.046043, 38.903183], [-77.045044, 38.904037], [-77.044044, 38.903961], [-77.042046, 38.905605], [-77.041618, 38.905098]]","[[-77.041618, 38.905098], [-77.041046, 38.904301], [-77.040047, 38.904293], [-77.0392, 38.903519], [-77.03804, 38.903339], [-77.03495, 38.900677], [-77.033821, 38.898903], [-77.035034, 38.89801], [-77.037155, 38.897785], [-77.037193, 38.896523], [-77.035049, 38.896111], [-77.034836, 38.894676], [-77.037231, 38.89386], [-77.036758, 38.892677], [-77.040047, 38.890903], [-77.044258, 38.89146], [-77.046043, 38.893543], [-77.047035, 38.893692], [-77.047806, 38.894913], [-77.049873, 38.89584], [-77.051163, 38.897675], [-77.047806, 38.902676], [-77.047043, 38.903164], [-77.046043, 38.903183], [-77.045044, 38.904037], [-77.044044, 38.903961], [-77.042046, 38.905605], [-77.041618, 38.905098]]","[[-77.041618, 38.905098], [-77.041046, 38.904301], [-77.040047, 38.904293], [-77.0392, 38.903519], [-77.03804, 38.903339], [-77.03495, 38.900677], [-77.033821, 38.898903], [-77.035034, 38.89801], [-77.037155, 38.897785], [-77.037193, 38.896523], [-77.035049, 38.896111], [-77.034836, 38.894676], [-77.037231, 38.89386], [-77.036758, 38.892677], [-77.040047, 38.890903], [-77.044258, 38.89146], [-77.046043, 38.893543], [-77.047035, 38.893692], [-77.047806, 38.894913], [-77.049873, 38.89584], [-77.051163, 38.897675], [-77.047806, 38.902676], [-77.047043, 38.903164], [-77.046043, 38.903183], [-77.045044, 38.904037], [-77.044044, 38.903961], [-77.042046, 38.905605], [-77.041618, 38.905098]]"
20007,7.105995041456481e-05,7.105995041456481e-05,7.105995041456481e-05,"[[-77.076118, 38.919167], [-77.075478, 38.917805], [-77.07431, 38.917339], [-77.073303, 38.917858], [-77.069252, 38.914928], [-77.070251, 38.912926], [-77.071381, 38.911976], [-77.072929, 38.91161], [-77.073311, 38.910351], [-77.07431, 38.909462], [-77.078308, 38.910503], [-77.078827, 38.911461], [-77.079826, 38.91198], [-77.080688, 38.912979], [-77.079651, 38.913979], [-77.081589, 38.916981], [-77.081306, 38.917332], [-77.077927, 38.91798], [-77.077301, 38.919373], [-77.076118, 38.919167]]","[[-77.076118, 38.919167], [-77.075478, 38.917805], [-77.07431, 38.917339], [-77.073303, 38.917858], [-77.069252, 38.914928], [-77.070251, 38.912926], [-77.071381, 38.911976], [-77.072929, 38.91161], [-77.073311, 38.910351], [-77.07431, 38.909462], [-77.078308, 38.910503], [-77.078827, 38.911461], [-77.079826, 38.91198], [-77.080688, 38.912979], [-77.079651, 38.913979], [-77.081589, 38.916981], [-77.081306, 38.917332], [-77.077927, 38.91798], [-77.077301, 38.919373], [-77.076118, 38.919167]]","[[-77.076118, 38.919167], [-77.075478, 38.917805], [-77.07431, 38.917339], [-77.073303, 38.917858], [-77.069252, 38.914928], [-77.070251, 38.912926], [-77.071381, 38.911976], [-77.072929, 38.91161], [-77.073311, 38.910351], [-77.07431, 38.909462], [-77.078308, 38.910503], [-77.078827, 38.911461], [-77.079826, 38.91198], [-77.080688, 38.912979], [-77.079651, 38.913979], [-77.081589, 38.916981], [-77.081306, 38.917332], [-77.077927, 38.91798], [-77.077301, 38.919373], [-77.076118, 38.919167]]"
20008,0.0001148192495747935,0.0001148192495747935,0.0001148192495747935,"[[-77.061127, 38.94376], [-77.05748, 38.941566], [-77.056854, 38.940567], [-77.059319, 38.939861], [-77.059387, 38.939491], [-77.05632, 38.939308], [-77.052948, 38.938568], [-77.05452, 38.937565], [-77.052864, 38.937023], [-77.05265, 38.936226], [-77.050667, 38.934566], [-77.051315, 38.933296], [-77.052315, 38.933125], [-77.053322, 38.934063], [-77.054474, 38.933723], [-77.055573, 38.932568], [-77.055092, 38.931351], [-77.055305, 38.930294], [-77.057632, 38.930565], [-77.058311, 38.932789], [-77.061317, 38.933186], [-77.062187, 38.933697], [-77.062943, 38.934566], [-77.062355, 38.93557], [-77.065315, 38.936172], [-77.066322, 38.935699], [-77.068169, 38.937569], [-77.067879, 38.938568], [-77.068375, 38.939568], [-77.067322, 38.940514], [-77.063179, 38.941433], [-77.063057, 38.942825], [-77.064384, 38.94363], [-77.063316, 38.944328], [-77.061127, 38.94376]]","[[-77.061127, 38.94376], [-77.05748, 38.941566], [-77.056854, 38.940567], [-77.059319, 38.939861], [-77.059387, 38.939491], [-77.05632, 38.939308], [-77.052948, 38.938568], [-77.05452, 38.937565], [-77.052864, 38.937023], [-77.05265, 38.936226], [-77.050667, 38.934566], [-77.051315, 38.933296], [-77.052315, 38.933125], [-77.053322, 38.934063], [-77.054474, 38.933723], [-77.055573, 38.932568], [-77.055092, 38.931351], [-77.055305, 38.930294], [-77.057632, 38.930565], [-77.058311, 38.932789], [-77.061317, 38.933186], [-77.062187, 38.933697], [-77.062943, 38.934566], [-77.062355, 38.93557], [-77.065315, 38.936172], [-77.066322, 38.935699], [-77.068169, 38.937569], [-77.067879, 38.938568], [-77.068375, 38.939568], [-77.067322, 38.940514], [-77.063179, 38.941433], [-77.063057, 38.942825], [-77.064384, 38.94363], [-77.063316, 38.944328], [-77.061127, 38.94376]]","[[-77.061127, 38.94376], [-77.05748, 38.941566], [-77.056854, 38.940567], [-77.059319, 38.939861], [-77.059387, 38.939491], [-77.05632, 38.939308], [-77.052948, 38.938568], [-77.05452, 38.937565], [-77.052864, 38.937023], [-77.05265, 38.936226], [-77.050667, 38.934566], [-77.051315, 38.933296], [-77.052315, 38.933125], [-77.053322, 38.934063], [-77.054474, 38.933723], [-77.055573, 38.932568], [-77.055092, 38.931351], [-77.055305, 38.930294], [-77.057632, 38.930565], [-77.058311, 38.932789], [-77.061317, 38.933186], [-77.062187, 38.933697], [-77.062943, 38.934566], [-77.062355, 38.93557], [-77.065315, 38.936172], [-77.066322, 38.935699], [-77.068169, 38.937569], [-77.067879, 38.938568], [-77.068375, 38.939568], [-77.067322, 38.940514], [-77.063179, 38.941433], [-77.063057, 38.942825], [-77.064384, 38.94363], [-77.063316, 38.944328], [-77.061127, 38.94376]]"
20009,0.00013016945149502135,0.00013016945149502135,0.00013016945149502135,"[[-77.035645, 38.927219], [-77.034866, 38.92598], [-77.033867, 38.925259], [-77.032066, 38.924801], [-77.031235, 38.924007], [-77.031784, 38.923008], [-77.031593, 38.922268], [-77.029762, 38.921005], [-77.029129, 38.919003], [-77.03286, 38.915783], [-77.033539, 38.915668], [-77.034454, 38.914597], [-77.036865, 38.913143], [-77.037865, 38.914131], [-77.039047, 38.914005], [-77.03978, 38.915085], [-77.040863, 38.915691], [-77.041862, 38.915466], [-77.0429, 38.916], [-77.043762, 38.918003], [-77.042915, 38.919003], [-77.043625, 38.920002], [-77.042412, 38.921562], [-77.041862, 38.924137], [-77.038673, 38.926003], [-77.037521, 38.927345], [-77.036865, 38.927662], [-77.035645, 38.927219]]","[[-77.035645, 38.927219], [-77.034866, 38.92598], [-77.033867, 38.925259], [-77.032066, 38.924801], [-77.031235, 38.924007], [-77.031784, 38.923008], [-77.031593, 38.922268], [-77.029762, 38.921005], [-77.029129, 38.919003], [-77.03286, 38.915783], [-77.033539, 38.915668], [-77.034454, 38.914597], [-77.036865, 38.913143], [-77.037865, 38.914131], [-77.039047, 38.914005], [-77.03978, 38.915085], [-77.040863, 38.915691], [-77.041862, 38.915466], [-77.0429, 38.916], [-77.043762, 38.918003], [-77.042915, 38.919003], [-77.043625, 38.920002], [-77.042412, 38.921562], [-77.041862, 38.924137], [-77.038673, 38.926003], [-77.037521, 38.927345], [-77.036865, 38.927662], [-77.035645, 38.927219]]","[[-77.035645, 38.927219], [-77.034866, 38.92598], [-77.033867, 38.925259], [-77.032066, 38.924801], [-77.031235, 38.924007], [-77.031784, 38.923008], [-77.031593, 38.922268], [-77.029762, 38.921005], [-77.029129, 38.919003], [-77.03286, 38.915783], [-77.033539, 38.915668], [-77.034454, 38.914597], [-77.036865, 38.913143], [-77.037865, 38.914131], [-77.039047, 38.914005], [-77.03978, 38.915085], [-77.040863, 38.915691], [-77.041862, 38.915466], [-77.0429, 38.916], [-77.043762, 38.918003], [-77.042915, 38.919003], [-77.043625, 38.920002], [-77.042412, 38.921562], [-77.041862, 38.924137], [-77.038673, 38.926003], [-77.037521, 38.927345], [-77.036865, 38.927662], [-77.035645, 38.927219]]"
20010,0.0001472135481890291,0.0001472135481890291,0.0001472135481890291,"[[-77.029045, 38.94051], [-77.028275, 38.940002], [-77.027275, 38.940079], [-77.025322, 38.937229], [-77.02401, 38.936283], [-77.022385, 38.933281], [-77.023315, 38.931332], [-77.025269, 38.930134], [-77.026268, 38.92828], [-77.029274, 38.926033], [-77.030273, 38.926109], [-77.031273, 38.926956], [-77.032272, 38.926708], [-77.03524, 38.928284], [-77.034355, 38.929283], [-77.035995, 38.930283], [-77.037613, 38.932281], [-77.037849, 38.933281], [-77.037384, 38.934284], [-77.037666, 38.935284], [-77.03627, 38.937668], [-77.03614, 38.937412], [-77.034653, 38.937668], [-77.034271, 38.938629], [-77.032684, 38.939701], [-77.031273, 38.939465], [-77.029274, 38.940731], [-77.029045, 38.94051]]","[[-77.029045, 38.94051], [-77.028275, 38.940002], [-77.027275, 38.940079], [-77.025322, 38.937229], [-77.02401, 38.936283], [-77.022385, 38.933281], [-77.023315, 38.931332], [-77.025269, 38.930134], [-77.026268, 38.92828], [-77.029274, 38.926033], [-77.030273, 38.926109], [-77.031273, 38.926956], [-77.032272, 38.926708], [-77.03524, 38.928284], [-77.034355, 38.929283], [-77.035995, 38.930283], [-77.037613, 38.932281], [-77.037849, 38.933281], [-77.037384, 38.934284], [-77.037666, 38.935284], [-77.03627, 38.937668], [-77.03614, 38.937412], [-77.034653, 38.937668], [-77.034271, 38.938629], [-77.032684, 38.939701], [-77.031273, 38.939465], [-77.029274, 38.940731], [-77.029045, 38.94051]]","[[-77.029045, 38.94051], [-77.028275, 38.940002], [-77.027275, 38.940079], [-77.025322, 38.937229], [-77.02401, 38.936283], [-77.022385, 38.933281], [-77.023315, 38.931332], [-77.025269, 38.930134], [-77.026268, 38.92828], [-77.029274, 38.926033], [-77.030273, 38.926109], [-77.031273, 38.926956], [-77.032272, 38.926708], [-77.03524, 38.928284], [-77.034355, 38.929283], [-77.035995, 38.930283], [-77.037613, 38.932281], [-77.037849, 38.933281], [-77.037384, 38.934284], [-77.037666, 38.935284], [-77.03627, 38.937668], [-77.03614, 38.937412], [-77.034653, 38.937668], [-77.034271, 38.938629], [-77.032684, 38.939701], [-77.031273, 38.939465], [-77.029274, 38.940731], [-77.029045, 38.94051]]"
