,latitude,longitude
0,-77.044975,38.919231
1,-77.043083,38.917679
2,-77.042084,38.918106
3,-77.040184,38.918015
4,-77.038361,38.916843
5,-77.037086,38.9174
6,-77.036087,38.917194
7,-77.034004,38.91312
8,-77.032394,38.911812
9,-77.030083,38.910698
10,-77.029709,38.909119
11,-77.030083,38.908798
12,-77.030624,38.909584
13,-77.031418,38.909447
14,-77.031464,38.907742
15,-77.028618,38.905121
16,-77.026855,38.904118
17,-77.028603,38.901634
18,-77.029083,38.901978
19,-77.030052,38.901119
20,-77.02874,38.90078
21,-77.028084,38.902084
22,-77.026718,38.901485
23,-77.026978,38.897228
24,-77.026627,38.897118
25,-77.027756,38.896114
26,-77.028084,38.894562
27,-77.028305,38.894897
28,-77.030457,38.894489
29,-77.031013,38.89312
30,-77.029282,38.89212
31,-77.031494,38.891525
32,-77.032715,38.888752
33,-77.035088,38.887135
34,-77.036087,38.887238
35,-77.037086,38.886723
36,-77.039085,38.886944
37,-77.041077,38.886608
38,-77.043961,38.886993
39,-77.048088,38.886505
40,-77.048828,38.88612
41,-77.049088,38.885166
42,-77.051086,38.886562
43,-77.052444,38.886757
44,-77.053085,38.887486
45,-77.054688,38.886719
46,-77.05809,38.886116
47,-77.05809,38.887203
48,-77.056084,38.887543
49,-77.055428,38.888466
50,-77.053833,38.88887
51,-77.055626,38.890568
52,-77.055984,38.89222
53,-77.05809,38.892281
54,-77.058418,38.891453
55,-77.05909,38.891285
56,-77.06427,38.891308
57,-77.064491,38.890709
58,-77.063019,38.89019
59,-77.063095,38.889431
60,-77.063332,38.889866
61,-77.065086,38.889771
62,-77.065918,38.892288
63,-77.066811,38.89312
64,-77.067513,38.89769
65,-77.069107,38.898121
66,-77.068535,38.898575
67,-77.066757,38.898445
68,-77.066452,38.896122
69,-77.064636,38.894569
70,-77.064247,38.892963
71,-77.060089,38.892948
72,-77.059753,38.893787
73,-77.056938,38.894119
74,-77.05777,38.89444
75,-77.05793,38.895119
76,-77.057953,38.89912
77,-77.059822,38.899384
78,-77.059998,38.901215
79,-77.064087,38.901299
80,-77.064728,38.901478
81,-77.065079,38.902302
82,-77.067665,38.902531
83,-77.068085,38.903339
84,-77.069427,38.902119
85,-77.069695,38.899734
86,-77.071083,38.899544
87,-77.071632,38.901119
88,-77.070816,38.901855
89,-77.070885,38.903316
90,-77.072517,38.90369
91,-77.07309,38.904499
92,-77.076088,38.904701
93,-77.077095,38.905815
94,-77.078354,38.90612
95,-77.075096,38.907135
96,-77.072731,38.906769
97,-77.072365,38.907837
98,-77.072708,38.909119
99,-77.069862,38.909901
100,-77.068741,38.912121
101,-77.069389,38.91312
102,-77.067307,38.915337
103,-77.065086,38.914139
104,-77.064087,38.914242
105,-77.063087,38.913624
106,-77.062492,38.91412
107,-77.062294,38.915329
108,-77.061089,38.915413
109,-77.060799,38.915119
110,-77.061523,38.914562
111,-77.061432,38.913776
112,-77.059097,38.91375
113,-77.058304,38.91291
114,-77.057083,38.912868
115,-77.05687,38.913326
116,-77.058716,38.915119
117,-77.058556,38.917114
118,-77.059074,38.918118
119,-77.058563,38.918594
120,-77.056656,38.91869
121,-77.054909,38.9193
122,-77.054085,38.918873
123,-77.052086,38.919346
124,-77.051636,38.918568
125,-77.049049,38.917084
126,-77.04866,38.918118
127,-77.049088,38.919308
128,-77.048096,38.919655
129,-77.047661,38.918545
130,-77.047089,38.918404
131,-77.045593,38.918625
132,-77.044975,38.919231
