,latitude,longitude
0,-77.184067,39.10915
1,-77.183502,39.107704
2,-77.181923,39.107288
3,-77.181549,39.105652
4,-77.180084,39.104992
5,-77.179306,39.101894
6,-77.177841,39.101357
7,-77.177162,39.098042
8,-77.175446,39.097118
9,-77.174881,39.093117
10,-77.173294,39.091908
11,-77.172089,39.089199
12,-77.164703,39.085117
13,-77.17009,39.083572
14,-77.168457,39.080761
15,-77.166084,39.079746
16,-77.164413,39.081448
17,-77.161415,39.082451
18,-77.160721,39.083748
19,-77.158096,39.084068
20,-77.154938,39.082268
21,-77.152084,39.08239
22,-77.150429,39.08112
23,-77.152672,39.077118
24,-77.156204,39.075233
25,-77.156097,39.072014
26,-77.158089,39.071918
27,-77.158249,39.070953
28,-77.156342,39.070869
29,-77.155815,39.069393
30,-77.151802,39.069408
31,-77.150085,39.06778
32,-77.148087,39.069763
33,-77.140846,39.069874
34,-77.140289,39.071117
35,-77.139297,39.071117
36,-77.140091,39.068867
37,-77.146805,39.067833
38,-77.146988,39.065117
39,-77.148689,39.063118
40,-77.148079,39.060078
41,-77.14209,39.060349
42,-77.138084,39.056568
43,-77.136086,39.058411
44,-77.134087,39.056381
45,-77.132729,39.057762
46,-77.130089,39.057789
47,-77.125061,39.054146
48,-77.120087,39.052639
49,-77.118088,39.053932
50,-77.114204,39.05312
51,-77.11673,39.051758
52,-77.118088,39.049614
53,-77.120491,39.049118
54,-77.120796,39.047825
55,-77.123436,39.046463
56,-77.12809,39.047382
57,-77.130089,39.050285
58,-77.134811,39.049847
59,-77.136948,39.047119
60,-77.136826,39.043118
61,-77.138084,39.042637
62,-77.14209,39.044487
63,-77.144089,39.04417
64,-77.146095,39.046074
65,-77.146362,39.043118
66,-77.144363,39.042847
67,-77.144363,39.038849
68,-77.14209,39.038177
69,-77.138084,39.039528
70,-77.136086,39.037846
71,-77.132088,39.0401
72,-77.130074,39.039101
73,-77.12809,39.041016
74,-77.126091,39.039799
75,-77.123886,39.04092
76,-77.122925,39.043953
77,-77.120087,39.046783
78,-77.118401,39.045116
79,-77.118881,39.042316
80,-77.11644,39.041119
81,-77.120834,39.037868
82,-77.120842,39.036354
83,-77.114967,39.035118
84,-77.111221,39.029987
85,-77.108109,39.029091
86,-77.108322,39.026882
87,-77.106087,39.025471
88,-77.105324,39.027119
89,-77.106476,39.030731
90,-77.106087,39.033344
91,-77.105316,39.031887
92,-77.100281,39.030922
93,-77.098831,39.028378
94,-77.094856,39.027119
95,-77.094711,39.025116
96,-77.098091,39.024231
97,-77.098862,39.023117
98,-77.095688,39.021118
99,-77.094765,39.018436
100,-77.092628,39.016579
101,-77.092163,39.013039
102,-77.088829,39.012367
103,-77.086281,39.00893
104,-77.082085,39.0093
105,-77.080086,39.013432
106,-77.078857,39.010345
107,-77.076035,39.009117
108,-77.074089,39.006432
109,-77.07209,39.008438
110,-77.068085,39.007965
111,-77.066338,39.009369
112,-77.064308,39.009338
113,-77.064087,39.011311
114,-77.06237,39.011116
115,-77.063705,39.010731
116,-77.063934,39.008965
117,-77.065758,39.006783
118,-77.070091,39.006359
119,-77.072083,39.003979
120,-77.076721,39.003117
121,-77.070091,38.996647
122,-77.068085,38.996426
123,-77.066086,38.999699
124,-77.062088,38.994358
125,-77.060722,38.995117
126,-77.060089,38.996853
127,-77.057991,38.99522
128,-77.054085,38.994228
129,-77.048515,38.995541
130,-77.046089,38.997082
131,-77.04409,38.996758
132,-77.041862,38.999119
133,-77.041321,39.003117
134,-77.039864,39.005337
135,-77.038628,39.003117
136,-77.038391,38.998806
137,-77.035072,39.000107
138,-77.032089,39.000156
139,-77.030701,38.999119
140,-77.03051,38.996696
141,-77.027687,38.997517
142,-77.023125,38.991119
143,-77.023605,38.98912
144,-77.018089,38.987019
145,-77.011497,38.989117
146,-77.011307,38.987122
147,-77.013123,38.985119
148,-77.010742,38.983116
149,-77.010086,38.981186
150,-77.01123,38.979115
151,-77.010086,38.975964
152,-77.006378,38.971119
153,-77.002853,38.971119
154,-77.00209,38.969074
155,-77.001297,38.970322
156,-76.999458,38.970497
157,-76.998085,38.972008
158,-76.997604,38.971603
159,-76.997833,38.967117
160,-76.995583,38.965122
161,-76.993477,38.961117
162,-76.993958,38.958996
163,-76.996086,38.958645
164,-76.996964,38.957119
165,-76.994087,38.953777
166,-76.992249,38.953117
167,-76.993118,38.950146
168,-76.994308,38.949348
169,-77.00209,38.951962
170,-77.003792,38.94912
171,-77.002121,38.947117
172,-77.002693,38.944515
173,-76.999725,38.943478
174,-76.997681,38.941525
175,-76.995476,38.941116
176,-76.994316,38.938889
177,-76.99176,38.938786
178,-76.990089,38.941216
179,-76.98822,38.94099
180,-76.988884,38.934322
181,-76.984085,38.931881
182,-76.980087,38.93401
183,-76.970085,38.932537
184,-76.966087,38.930561
185,-76.964081,38.931522
186,-76.962395,38.930813
187,-76.96067,38.931118
188,-76.96003,38.933052
189,-76.958702,38.932507
190,-76.953957,38.93325
191,-76.955795,38.929119
192,-76.954559,38.926651
193,-76.951622,38.925583
194,-76.948898,38.92231
195,-76.945023,38.920189
196,-76.937836,38.920864
197,-76.935669,38.923119
198,-76.935532,38.928562
199,-76.936081,38.929642
200,-76.93808,38.929707
201,-76.939507,38.931118
202,-76.938927,38.93512
203,-76.939774,38.937431
204,-76.942123,38.937157
205,-76.946091,38.934948
206,-76.951286,38.93512
207,-76.950546,38.937119
208,-76.943222,38.941116
209,-76.943443,38.943764
210,-76.946808,38.945114
211,-76.946182,38.947212
212,-76.944084,38.947006
213,-76.943268,38.94912
214,-76.940079,38.952202
215,-76.938087,38.946087
216,-76.936089,38.948566
217,-76.93119,38.950214
218,-76.92926,38.952293
219,-76.925461,38.952488
220,-76.924088,38.956463
221,-76.921478,38.957733
222,-76.920326,38.956886
223,-76.919777,38.953117
224,-76.922943,38.949116
225,-76.922684,38.947121
226,-76.924316,38.944889
227,-76.917503,38.944534
228,-76.916084,38.946888
229,-76.914093,38.943855
230,-76.913605,38.944637
231,-76.911797,38.944824
232,-76.91037,38.947117
233,-76.911018,38.952053
234,-76.908806,38.957119
235,-76.912086,38.959614
236,-76.91571,38.959118
237,-76.916275,38.961117
238,-76.908089,38.964951
