,Zip,Beds,2009,2014,2019,10 years appreciation,5 years appreciation
0,20001,0,237139.2857142857,291883.23076923075,335000.0,41.27%,14.77%
1,20001,1,351543.68686868687,419948.58222222223,469753.9591836735,33.63%,11.86%
2,20001,2,437924.03973509936,608455.9890510949,734827.966101695,67.80%,20.77%
3,20001,3,389252.75531914894,687060.6390977444,882288.976744186,126.66%,28.42%
4,20001,4,429760.03773584904,799257.2950819673,1155033.6538461538,168.76%,44.51%
5,20001,5,566655.5555555555,947589.2857142857,1159850.0,104.68%,22.40%
6,20001,6,332000.0,817332.2222222222,1699500.0,411.90%,107.93%
7,20002,1,285744.14705882355,301237.2450980392,391722.53571428574,37.09%,30.04%
8,20002,2,373604.04347826086,465774.2355371901,539249.9195402298,44.34%,15.77%
9,20002,3,386897.6285714286,576612.895522388,791326.6021505377,104.53%,37.24%
10,20002,4,411641.1,683838.5058139535,992497.7555555556,141.11%,45.14%
11,20002,5,543203.5714285715,1004754.7619047619,1220625.0,124.71%,21.48%
12,20002,6,1260177.5,1088062.5,1435000.0,13.87%,31.89%
13,20003,0,231149.6,264492.3076923077,368283.3333333333,59.33%,39.24%
14,20003,1,313020.652173913,343029.6119402985,432204.0689655172,38.08%,26.00%
15,20003,2,469791.8344370861,553580.6968085107,747956.8974358974,59.21%,35.11%
16,20003,3,587345.946969697,743487.9923076923,883484.2,50.42%,18.83%
17,20003,4,735476.5151515151,986975.52,1238833.3333333333,68.44%,25.52%
18,20003,5,635000.0,1198600.0,1916000.0,201.73%,59.85%
19,20004,1,412996.9696969697,431604.975,463845.45454545453,12.31%,7.47%
20,20004,2,610970.5882352941,774214.2142857143,663000.0,8.52%,-14.36%
21,20004,3,912500.0,747000.0,832666.6666666666,-8.75%,11.47%
22,20005,0,179858.33333333334,255279.41176470587,257200.0,43.00%,0.75%
23,20005,1,348699.9166666667,452857.39285714284,484829.23076923075,39.04%,7.06%
24,20005,2,517948.0,713015.2659574468,710192.5925925926,37.12%,-0.40%
25,20007,0,188479.16666666666,185078.18181818182,200112.5,6.17%,8.12%
26,20007,1,336065.37209302327,345974.1529411765,360688.08,7.33%,4.25%
27,20007,2,735720.0,829474.0991735538,943500.0,28.24%,13.75%
28,20007,3,1071554.1358024692,1252824.3389830508,1229389.0,14.73%,-1.87%
29,20007,4,1636111.4285714286,1603637.3,1895678.4210526317,15.86%,18.21%
30,20007,5,1804785.7142857143,1878809.0263157894,2798633.3,55.07%,48.96%
31,20007,6,2673444.4444444445,2193730.5555555555,4372859.0,63.57%,99.33%
32,20007,7,5375000.0,3334148.111111111,2470000.0,-54.05%,-25.92%
33,20008,0,207038.46153846153,196173.5294117647,218883.33333333334,5.72%,11.58%
34,20008,1,341509.5306122449,345664.3441558442,372102.3023255814,8.96%,7.65%
35,20008,2,564616.1290322581,619898.0102040817,665056.3333333334,17.79%,7.28%
36,20008,3,844460.0,1067717.9487179487,1406083.3333333333,66.51%,31.69%
37,20008,4,1108819.642857143,1332996.7567567567,1502311.8181818181,35.49%,12.70%
38,20008,5,1450883.9285714286,2151346.206896552,2125363.1818181816,46.49%,-1.21%
39,20008,6,2711250.0,2370750.0,1550000.0,-42.83%,-34.62%
40,20009,0,232569.15094339623,229181.72727272726,272402.05555555556,17.13%,18.86%
41,20009,1,343156.0568561873,374309.77258566977,430932.0909090909,25.58%,15.13%
42,20009,2,536055.1592592592,620417.5320197045,698360.3534482758,30.28%,12.56%
43,20009,3,734292.3108108108,919963.4155844155,1147510.7142857143,56.27%,24.73%
44,20009,4,1010297.0909090909,1136816.2580645161,1508111.111111111,49.27%,32.66%
45,20009,5,1007970.5882352941,1344722.9545454546,1300300.0,29.00%,-3.30%
46,20009,6,1050375.0,1534437.5,2537500.0,141.58%,65.37%
47,20009,7,970437.5,1434000.0,1699999.0,75.18%,18.55%
48,20010,0,251500.0,161221.875,236300.0,-6.04%,46.57%
49,20010,1,277358.51515151514,321272.7125,353014.28571428574,27.28%,9.88%
50,20010,2,370566.4868421053,504924.4285714286,590880.0,59.45%,17.02%
51,20010,3,396642.41095890413,617583.9636363636,792034.3478260869,99.68%,28.25%
52,20010,4,456481.5,757770.6851851852,863916.7391304348,89.26%,14.01%
53,20010,5,584531.1875,940003.7037037037,1385000.0,136.94%,47.34%
54,20010,6,632742.3076923077,1112500.0,1132250.0,78.94%,1.78%
55,20011,0,210450.0,257104.0,575000.0,173.22%,123.64%
56,20011,1,202185.7142857143,239728.431372549,303520.0,50.12%,26.61%
57,20011,2,238310.0,348210.75324675324,483317.9487179487,102.81%,38.80%
58,20011,3,312316.62448979594,465924.06229508197,624447.3488372093,99.94%,34.02%
59,20011,4,398728.2967032967,609686.8598130841,763904.9016393443,91.59%,25.29%
60,20011,5,473955.1724137931,694751.0930232558,982290.7037037037,107.25%,41.39%
61,20011,6,678833.3333333334,656000.0,948750.0,39.76%,44.63%
62,20011,7,541000.0,853477.7777777778,1165000.0,115.34%,36.50%
63,20012,1,231102.75,240422.33333333334,354728.5714285714,53.49%,47.54%
64,20012,2,290227.2727272727,325302.72222222225,487116.5,67.84%,49.74%
65,20012,3,384779.7619047619,508656.25,653230.7692307692,69.77%,28.42%
66,20012,4,576648.5588235294,702263.5869565217,863495.4545454546,49.74%,22.96%
67,20012,5,808125.0,848300.0,953500.0,17.99%,12.40%
68,20012,6,607998.6666666666,846975.0,1024950.0,68.58%,21.01%
69,20015,0,203333.33333333334,178214.2857142857,324450.0,59.57%,82.06%
70,20015,1,262750.0,291590.0,301000.0,14.56%,3.23%
71,20015,2,735104.1666666666,1002312.5,603684.6153846154,-17.88%,-39.77%
72,20015,3,803136.25,815805.0,937577.6842105263,16.74%,14.93%
73,20015,4,840066.9117647059,1012205.6666666666,1156774.1,37.70%,14.28%
74,20015,5,1002140.2380952381,1145917.8837209302,1325593.875,32.28%,15.68%
75,20015,6,1286167.9166666667,1511270.8333333333,1876571.5555555555,45.90%,24.17%
76,20016,0,197000.0,191999.88888888888,222500.0,12.94%,15.89%
77,20016,1,308534.5238095238,317937.4083333333,370665.0,20.14%,16.58%
78,20016,2,519232.1285714286,560671.9719626168,548039.1153846154,5.55%,-2.25%
79,20016,3,807052.4691358025,905726.6666666666,1119321.4285714286,38.69%,23.58%
80,20016,4,1020325.0,1178617.5,1258863.3333333333,23.38%,6.81%
81,20016,5,1599470.7666666666,1688203.448275862,1885617.6470588236,17.89%,11.69%
82,20016,6,1860500.0,2128763.1578947366,3024166.6666666665,62.55%,42.06%
83,20016,7,2110714.285714286,3275500.0,2230000.0,5.65%,-31.92%
84,20017,1,137771.42857142858,188438.53333333333,257566.66666666666,86.95%,36.68%
85,20017,2,249141.17647058822,286153.0,429614.5,72.44%,50.13%
86,20017,3,289357.70588235295,416107.6630434783,664250.0,129.56%,59.63%
87,20017,4,312895.8333333333,529924.2424242424,767532.7142857143,145.30%,44.84%
88,20018,2,230678.4375,302094.6551724138,417916.6666666667,81.17%,38.34%
89,20018,3,288511.35714285716,375460.71153846156,539978.4680851063,87.16%,43.82%
90,20018,4,330436.3181818182,479083.3728813559,669701.25,102.67%,39.79%
91,20018,5,354133.3333333333,501562.5,617000.0,74.23%,23.02%
92,20018,6,298333.3333333333,481000.0,930000.0,211.73%,93.35%
93,20019,1,80966.66666666667,103875.0,106500.0,31.54%,2.53%
94,20019,2,138189.94252873564,144800.3306451613,302488.28,118.89%,108.90%
95,20019,3,174279.6436781609,226005.421875,366969.3181818182,110.56%,62.37%
96,20019,4,203331.70588235295,261644.22222222222,431599.9411764706,112.26%,64.96%
97,20019,5,235625.0,271714.28571428574,508500.0,115.81%,87.15%
98,20020,1,99435.71428571429,51770.0,89900.0,-9.59%,73.65%
