,formatted_address,geometry,icon,id,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,types,user_ratings_total,Zip Code
0,"475 H St NW, Washington, DC 20001, USA","{'location': {'lat': 38.8999647, 'lng': -77.0186884}, 'viewport': {'northeast': {'lat': 38.90123452989273, 'lng': -77.01733977010728}, 'southwest': {'lat': 38.89853487010728, 'lng': -77.02003942989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,52007dbffd6406d5cdf4c5d82105a875c2444509,Chinatown Coffee Co.,{'open_now': True},"[{'height': 3006, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117947041488282781845/photos"">guidrybj</a>'], 'photo_reference': 'CmRaAAAAyS0y1G2l9--9MLXYaxhxLWQMfSRtIy3mE5aK97RtmV5FMaQwlcb805THHU4ehkKpwFqiPUB3LIHDblrsJfHBo86PdaslOjDCZYcc2_zU2mzldLby-y7Y57ETUzpZd3TfEhAmop5ZxVD-1LNO8zVtyJ2EGhQPBbCCYXkaubm7ETLEWT_D2NQzIA', 'width': 5344}]",ChIJQ3iFMYy3t4kR74BNgljGtz8,"{'compound_code': 'VXXJ+XG Washington, District of Columbia', 'global_code': '87C4VXXJ+XG'}",2,4.4,ChIJQ3iFMYy3t4kR74BNgljGtz8,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",367,20001
1,"900 6th St NW, Washington, DC 20001, USA","{'location': {'lat': 38.901051, 'lng': -77.020099}, 'viewport': {'northeast': {'lat': 38.90240012989272, 'lng': -77.01865142010728}, 'southwest': {'lat': 38.89970047010728, 'lng': -77.02135107989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,f0e52161750d47b72cd3173df88cd59d1240f183,La Colombe Coffee Roasters,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104031568156222290630/photos"">Keelan Cook</a>'], 'photo_reference': 'CmRaAAAAuZgZmb500ST2rDLqDfS9m4o4A-jz2DKiVqcbwshx4qSJeeoAQcMyJKyMctcolvir_vhbduF2i6fsTqachP1XpTPvaEaGl-Z0OMd0jGZoFsTNVeCIfuYUm53FXYByhCgwEhBu37MXxx3-GPo6-GJJ7fIbGhRvBZ-YD8RHpttJLHek91XVN6N_Gw', 'width': 3264}]",ChIJpxGKu423t4kRGkw4KoFMsfw,"{'compound_code': 'WX2H+CX Washington, District of Columbia', 'global_code': '87C4WX2H+CX'}",2,4.4,ChIJpxGKu423t4kRGkw4KoFMsfw,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",567,20001
2,"325 7th St NW Suite 100, Washington, DC 20004, USA","{'location': {'lat': 38.894178, 'lng': -77.0217847}, 'viewport': {'northeast': {'lat': 38.89552762989272, 'lng': -77.02049647010728}, 'southwest': {'lat': 38.89282797010728, 'lng': -77.02319612989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,8e8f9f35ec14537c1ff81794708edd265c4a5fab,Starbucks,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100243606762811056730/photos"">r1 seo</a>'], 'photo_reference': 'CmRaAAAApmfyM_dVpWKQvMG10Q9FoEliDzpguZemHgeflP2TlhIpfkbsDetyNtsfyW_jM8TsH6N0EYE-aptEYk8KWGNsEXN5zq4eKpJFzFc9wfHAIKM7s5tOKZNHwHY-O90pZcMvEhAcVDEbCbxBlUx1Gdjh4H7jGhT0xBHyOsZvSMXR6SmLUNfoXDhkzw', 'width': 5333}]",ChIJV8ZgVIW3t4kR_tNei-JwNV4,"{'compound_code': 'VXVH+M7 Washington, District of Columbia', 'global_code': '87C4VXVH+M7'}",2,3.9,ChIJV8ZgVIW3t4kR_tNei-JwNV4,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",583,20004
3,"1921 8th St NW #100, Washington, DC 20001, USA","{'location': {'lat': 38.9161937, 'lng': -77.0227073}, 'viewport': {'northeast': {'lat': 38.91754252989273, 'lng': -77.02146667010727}, 'southwest': {'lat': 38.91484287010729, 'lng': -77.02416632989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,c6d7874c4d78cdb87f3dc7b1724f889418be879a,Compass Coffee,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113251037823665794132/photos"">Wenyi Zhou</a>'], 'photo_reference': 'CmRaAAAAD3vWOsZJGfpDgZdjRrcuzWRpJMS3F4xLrGXlRNB2bdzEeaH9MEjOgH82nmN7D_399V17NwFZZyVS5MhtFFJYY_qbiqSl_HSnVllEQ3E6ytPDnu6-Sx1QwUwvLQ-j9IWhEhACEg8OrXS0Ldq5HolXaYzwGhRFz9N3_xw4pLiAc7lHnQ7Dc0810A', 'width': 4032}]",ChIJ57thROW3t4kRbsb5DcGpViE,"{'compound_code': 'WX8G+FW Washington, District of Columbia', 'global_code': '87C4WX8G+FW'}",1,4.7,ChIJ57thROW3t4kRbsb5DcGpViE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",236,20001
4,"441 4th St NW, Washington, DC 20001, USA","{'location': {'lat': 38.8949158, 'lng': -77.0158191}, 'viewport': {'northeast': {'lat': 38.89629002989273, 'lng': -77.01465212010727}, 'southwest': {'lat': 38.89359037010728, 'lng': -77.01735177989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,3839635e5fa6df9b4ef52f2a8f4b37eee4a79c17,Firehook Bakery & Coffee House,{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102406937450287294874/photos"">MyK Bach</a>'], 'photo_reference': 'CmRaAAAAOfKkmfAK2RL9HhbKuxKS2n_737yQEdR8cSzJyRQCE7JJJ2UrJ7eM4CleRgOwJkh9UnfMPbob3gNy7IobHLqG0Gr5-VrL6-BRDVM3X3v-ojPVBwF6asUG0LIsBrQcvD6pEhDupgMISgiTdi6nxS1Z_SHYGhRW4FknCrcwSiv-sPf9WB7CTrupsA', 'width': 3840}]",ChIJwyOPzoi3t4kRZ_sDA5w-P9w,"{'compound_code': 'VXVM+XM Washington, District of Columbia', 'global_code': '87C4VXVM+XM'}",,4.1,ChIJwyOPzoi3t4kRZ_sDA5w-P9w,"['bakery', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']",147,20001
5,"732 7th St NW, Washington, DC 20001, USA","{'location': {'lat': 38.8995043, 'lng': -77.02210269999999}, 'viewport': {'northeast': {'lat': 38.90085282989271, 'lng': -77.02067302010727}, 'southwest': {'lat': 38.89815317010727, 'lng': -77.02337267989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,8b9f3b05a03f91cd944ef1e5a427517a251366b1,Capital One Café,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109264221594729063235/photos"">Nick Maddock</a>'], 'photo_reference': 'CmRaAAAAW1_kSDGzU0inXKIppsZO_mUqUU6totxv1Wq13cxEzRUBCz10ZErHorNJUmX24M8yYm4LCrJpOqRKMx2aa9gmPI3NbPgU_63-TABdoAQiZJamkv036LGqsJ90Me73AdvZEhA2Y-SJGrvWA4For61vO5bgGhS4wtLBOLnIxzdVqIDEzbMzfD1s1A', 'width': 4032}]",ChIJx_1QqAe3t4kRy-FW47y7Gos,"{'compound_code': 'VXXH+R5 Washington, District of Columbia', 'global_code': '87C4VXXH+R5'}",1,3.8,ChIJx_1QqAe3t4kRy-FW47y7Gos,"['bank', 'finance', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']",33,20001
6,"425 I St NW, Washington, DC 20001, USA","{'location': {'lat': 38.9015826, 'lng': -77.0169493}, 'viewport': {'northeast': {'lat': 38.90280667989273, 'lng': -77.01560307010728}, 'southwest': {'lat': 38.90010702010728, 'lng': -77.01830272989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,770c255b500a623c9a35a81c27cec1d9062d12db,Chez Lily Coffee Shop,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101810068829626301924/photos"">Austin Graff</a>'], 'photo_reference': 'CmRaAAAAwkphuQW3YBQq4YHeN_81Gh-PDM17e1SdoQxWMTwxfuFpEfEHCgl4u9O-HKauHaqRdnwpqZuW4tJrydlBH1bamttgTPKba_31GD_Z45GkC_S-bOelZtaRXDbsxIKEGrFtEhD6JpPmwpiG0k7OHlis4FzUGhQI2EF17RekEA9jP3m5JXxTpzJI1A', 'width': 3024}]",ChIJh8DE14u3t4kRg6EsWjyJFVI,"{'compound_code': 'WX2M+J6 Washington, District of Columbia', 'global_code': '87C4WX2M+J6'}",,4.9,ChIJh8DE14u3t4kRg6EsWjyJFVI,"['cafe', 'food', 'point_of_interest', 'establishment']",22,20001
7,"413 7th St NW, Washington, DC 20004, USA","{'location': {'lat': 38.8952155, 'lng': -77.0217167}, 'viewport': {'northeast': {'lat': 38.89656417989273, 'lng': -77.02046557010728}, 'southwest': {'lat': 38.89386452010728, 'lng': -77.02316522989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,e3b1e98f4b1c9c6f496bc40f777fc987de1a42a7,Pitango Gelato Penn Quarter,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101616131029261770398/photos"">Amir Shevat</a>'], 'photo_reference': 'CmRaAAAA8HspxaS9odvq5ypOy-JO2CfPJkrG7pMKcXkCx8myP6ooFvRsZbPJ77MmA4UchuhdprjXhFz6fX19dnOmDLrVmL79GHmGMJtvVC1sRiUoBzZ2EQp4ZkUwm4p_OCMXuovuEhCAoHEMf6U54RbptXa-kwHqGhTSurbGB6qckkxU61dCMFYUsXWRbA', 'width': 4032}]",ChIJn2gE-zK4t4kRpawAU7MPLIw,"{'compound_code': 'VXWH+38 Washington, District of Columbia', 'global_code': '87C4VXWH+38'}",2,4.6,ChIJn2gE-zK4t4kRpawAU7MPLIw,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",637,20004
8,"901 4th St NW, Washington, DC 20001, USA","{'location': {'lat': 38.9015139, 'lng': -77.01598609999999}, 'viewport': {'northeast': {'lat': 38.90286357989272, 'lng': -77.01473387010728}, 'southwest': {'lat': 38.90016392010728, 'lng': -77.01743352989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,6430b0b70a5ca6137c9c042d468251df1001d647,Brew'd Coffee Bar,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101810068829626301924/photos"">Austin Graff</a>'], 'photo_reference': 'CmRaAAAAmsSaOl3pL_IBzet6eTH6sz_8G8Y6xurgZOJRjzgBkITzyLLMXfk7tii4hZxav6cJw-7VpFK5bJKC_6BkDXZDdtjJRmu2Pxqaofg_jlefo3Y25h4vqUzPQMIuLsprGtU-EhB1azXwMNbl7XdxIzouCXJzGhTfqItmabLOut9BrASLs9iumOQ3jQ', 'width': 3024}]",ChIJWacM75K3t4kRqUom46imWf0,"{'compound_code': 'WX2M+JJ Washington, District of Columbia', 'global_code': '87C4WX2M+JJ'}",,4.4,ChIJWacM75K3t4kRqUom46imWf0,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",10,20001
9,"1535 7th St NW, Washington, DC 20001, USA","{'location': {'lat': 38.9105802, 'lng': -77.02174509999999}, 'viewport': {'northeast': {'lat': 38.91192987989272, 'lng': -77.02048472010728}, 'southwest': {'lat': 38.90923022010727, 'lng': -77.02318437989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,a91d8f650981319d265cd901c431018086a387d2,Compass Coffee,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114941594891331514242/photos"">Filipe Santos</a>'], 'photo_reference': 'CmRaAAAATHSJM6WoKNzCfHHGzR7StIn_LGbROJUFPrJwl5g_e_VhvkVZOnaOkXwyFkpJ6k0PDwq0tAI6dbanHU83cmHFjQzAAxLCWxirui9I_mRn3wSuY8zMgJevunlSYwHseYoBEhBELdq7jOQineUA8W_o3sE4GhQNC6Nx1Od4u7niLjtcK2t7rcFGMg', 'width': 4032}]",ChIJ9Y6D4_G3t4kR6GDgjWIRHJw,"{'compound_code': 'WX6H+68 Washington, District of Columbia', 'global_code': '87C4WX6H+68'}",1,4.6,ChIJ9Y6D4_G3t4kR6GDgjWIRHJw,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",685,20001
