X,Y,OBJECTID,STORENAME,ADDRESS,PHONE,PRESENT90,PRESENT95,PRESENT00,PRESENT05,PRESENT08,NOTES,X_COORD,Y_COORD,ADDRESS_ID,WARD,PRESENT09,PRESENT10,PRESENT11,PRESENT12,SSL,PRESENT13,PRESENT14,PRESENT15,PRESENT16,PRESENT17,ZIPCODE,PRESENT18
-76.986551513792904,38.883549062856162,1,Safeway,415 14th ST SE,2025474333,Yes,Yes,Yes,Yes,Yes, ,401167.04,135078.34,26239,Ward 6,Yes,Yes,Yes,Yes,1042    0829,Yes,Yes,Yes,Yes,Yes,20003,Yes
-76.972747867399136,38.874133336463053,2,Yes! Organic,2323 Pennsylvania Ave S.E.,2025821480,No,No,No,No,No, ,402365.01,134033.39,48543,Ward 7,No,Yes,Yes,Yes,5560    0055,No,No,No,No,No,20020,No
-77.072999162124674,38.934351493720158,3,Giant,3336 Wisconsin Ave NW,2022445922,No,Yes,Yes,Yes,Yes, ,393671.02,140720.27,223125,Ward 3,Yes,Yes,Yes,Yes,1920    0844,Yes,Yes,Yes,Yes,Yes,20016,Yes
-77.024858831662556,38.938456370779356,4,Safeway,3830 Georgia Ave NW,2028821140,Yes,Yes,Yes,Yes,Yes, ,397845.01,141173.71,225076,Ward 4,Yes,Yes,Yes,Yes,2905    0814,Yes,Yes,Yes,Yes,Yes,20011,Yes
-76.947457202823031,38.893139781624733,5,Safeway,322 40th ST NE,2023972802,Yes,Yes,Yes,Yes,Yes, ,404558.4,136144.21,295141,Ward 7,Yes,Yes,Yes,Yes,5051N   0840,Yes,Yes,Yes,Yes,Yes,20019,Yes
-77.033567745835057,38.909499107116069,6,Whole Foods,1440 P ST NW,2023324300,No,No,No,Yes,Yes,Logan Circle,397088.79,137959.45,279174,Ward 2,Yes,Yes,Yes,Yes,0210    0128,Yes,Yes,Yes,Yes,Yes,20005,Yes
-77.03298601467985,38.929308227973458,7,Target,3100 14th Street Northwest,2027773773,No,No,No,No,Yes, ,397140.04,140158.41,306304,Ward 1,Yes,Yes,Yes,Yes,2674    0721,Yes,Yes,Yes,Yes,Yes,20010,Yes
-77.032085367933036,38.920762105757611,8,Streets Market,2400 14TH ST NW,2022653300,No,No,No,No,No,Street's,397217.8,139209.69,234183,Ward 1,No,No,No,No,2661    0864,No,Yes,Yes,Yes,Yes,20009,Yes
-77.071615238896939,38.920934280969831,9,Whole Foods,2323 Wisconsin Ave NW,2023335393,No,No,Yes,Yes,Yes,Georgetown,393789.84,139230.75,284358,Ward 3,Yes,Yes,Yes,Yes,1299    1028,Yes,Yes,Yes,Yes,Yes,20007,Yes
-77.079214714132249,38.949108887225989,10,Whole Foods,4530 40th ST NW,2022375800,No,No,Yes,Yes,Yes,Tenley Town location,393133.54,142358.92,265175,Ward 3,Yes,Yes,Yes,Yes,1770    0804,Yes,Yes,Yes,Yes,Yes,20016,Yes
-77.076459306566804,38.965553240282446,11,Magruder's,5626 Connecticut Ave NW,2024644946,Yes,Yes,Yes,Yes,Yes, ,393373.92,144184.19,263860,Ward 3,Yes,Yes,Yes,Yes,1860    0013,Yes,Yes,Yes,Yes,Yes,20015,Yes
-77.040993868565593,38.924215183485053,12,Safeway,1747 Columbia Rd NW,2026670774,Yes,Yes,Yes,Yes,Yes, ,396445.44,139593.32,284083,Ward 1,Yes,Yes,Yes,Yes,2580    0512,Yes,Yes,Yes,Yes,Yes,20009,Yes
-77.022125305245055,38.908770717071121,13,Giant,1400 7th Street NW,2022380180,No,No,No,No,No,O Street Market,398081.2,137878.29,304153,Ward 6,No,No,No,No,0398    0836,Yes,Yes,Yes,Yes,Yes,20001,Yes
-77.032245618638484,38.916100881118282,14,Trader Joe's,1914 14th Street NW,2029861591,No,No,No,No,No,14th Street NW,397203.72,138692.26,302384,Ward 2,No,No,No,No,0205    0847,No,Yes,Yes,Yes,Yes,20009,Yes
-77.067560912637333,38.916125885522483,15,Safeway,1855 Wisconsin Ave NW,2023333223,Yes,No,No,Yes,Yes, ,394141.03,138696.71,224665,Ward 2,Yes,Yes,Yes,Yes,1299    1040,Yes,Yes,Yes,Yes,Yes,20007,Yes
-76.980999336757122,38.844949480178045,16,Giant,1535 Alabama Ave SE,2026106464,No,No,No,No,Yes,Camp Simms,401649.66,130793.59,306557,Ward 8,Yes,Yes,Yes,Yes,5912    0818,Yes,Yes,Yes,Yes,Yes,20032,Yes
-77.038955833759303,38.912057515957173,17,Safeway,1701 Corcoran St NW,2026676825,Yes,Yes,Yes,Yes,Yes, ,396621.59,138243.64,241699,Ward 2,Yes,Yes,Yes,Yes,0155    0231,Yes,Yes,Yes,Yes,Yes,20009,Yes
-77.06515040503163,38.904767550488259,18,Dean & DeLuca,3276 M Street NW,2023422500,No,No,No,No,Yes,Georgetown,394349.18,137435.69,273712,Ward 2,Yes,Yes,Yes,Yes,1186    0800,Yes,Yes,Yes,Yes,Yes,20007,Yes
-77.031923696013706,38.930821739089851,19,Giant,1345 Park Road NW,2027771077,No,No,No,No,Yes,Tivoli Square,397232.21,140326.39,297595,Ward 1,Yes,Yes,Yes,Yes,2837    0079,Yes,Yes,Yes,Yes,Yes,20010,Yes
-76.986624981072893,38.880209661424402,20,Harris Teeter,1350 Potomac Ave SE,2025431040,No,No,No,No,Yes,Jenkins Row,401160.72,134707.64,303730,Ward 6,Yes,Yes,Yes,Yes,1045    0138,Yes,Yes,Yes,Yes,Yes,20003,Yes
-77.057790499981138,38.935166426636357,21,Yes! Organic,3425 Connecticut Avenue NW,2023631559,No,No,No,No,Yes,Cleveland Park,394989.7,140809.79,219254,Ward 3,Yes,Yes,Yes,Yes,2219    0005,Yes,Yes,Yes,Yes,Yes,20008,Yes
-77.026692363388221,38.906798195830667,22,Capitol Super Market,1231 11th st NW,2022891336,No,No,No,No,Yes, ,397685.02,137659.43,239341,Ward 2,Yes,Yes,Yes,Yes,0340    0824,Yes,Yes,Yes,Yes,Yes,20001,Yes
-77.001647021263608,38.900437822269431,23,Giant,300 H Street NE,2025485100,No,No,No,No,No,H Street NE,399857.33,136953.04,308511,Ward 6,No,No,No,No,0776    0054,Yes,Yes,Yes,Yes,Yes,20002,Yes
-77.018354911640103,38.90349680089075,24,Safeway,490 L St NW,2027192435,No,No,No,No,Yes,Mt. Vernon Square,398408.1,137292.77,304767,Ward 6,Yes,Yes,Yes,Yes,0515    0158,Yes,Yes,Yes,Yes,Yes,20001,Yes
-76.990397447833047,38.936824244908664,25,Yes! Organic,3809 12th Street NE,2028327715,No,No,No,No,Yes,Brookland,400832.73,140992.28,30397,Ward 5,Yes,Yes,Yes,Yes,3925    0085,Yes,Yes,Yes,Yes,Yes,20017,Yes
-76.99990691172269,38.921847780356323,26,Save-A-Lot,514 Rhode Island Ave NE,2026363780,No,No,No,No,No, ,400008.27,139329.72,288529,Ward 5,No,No,No,Yes,3629    0007,Yes,Yes,Yes,Yes,Yes,20002,Yes
-77.000565375182191,38.907587582767384,27,Trader Joe's,1240 4th St NE,0,No,No,No,No,No, ,399951.16,137746.72,285974,Ward 5,No,No,No,No,3587    0820,No,No,No,No,No,20002,No
-77.04371097067208,38.921804472209445,28,Yes! Organic,1825 Columbia Road NW,2024625150,No,No,No,No,Yes,Adams Morgan,396209.7,139325.82,295011,Ward 1,Yes,Yes,Yes,Yes,2549    0636,Yes,Yes,Yes,Yes,Yes,20009,Yes
-77.053014463762125,38.904198954890198,29,Trader Joe's,1101 25th St NW,2022961921,No,No,No,No,Yes,West End,395401.79,137371.89,303613,Ward 2,Yes,Yes,Yes,Yes,0025    0022,Yes,Yes,Yes,Yes,Yes,20037,Yes
-77.038441868147814,38.92198694131519,30,Harris Teeter,1631 Kalorama Road,2029861415,No,No,No,No,Yes,Citadel,396666.63,139345.87,284059,Ward 1,Yes,Yes,Yes,Yes,2572    0036,Yes,Yes,Yes,Yes,Yes,20009,Yes
-76.992430940248127,38.919229805772602,31,Giant,1050 Brentwood Rd NE,2022813900,No,No,No,Yes,Yes, ,400656.59,139039.13,299835,Ward 5,Yes,Yes,Yes,Yes,3854    0802,Yes,Yes,Yes,Yes,Yes,20018,Yes
-77.038544394858476,38.930943427141862,32,BestWorld Super Market,3178 Mount Pleasant St NW,2022653768,Yes,Yes,Yes,Yes,Yes, ,396658.16,140340.12,233149,Ward 1,Yes,Yes,Yes,Yes,2601    0667,Yes,Yes,Yes,Yes,Yes,20010,Yes
-76.97803182686684,38.901569290610844,33,Aldi,901 17th St NE,8559552534,No,No,No,No,No, ,401905.76,137078.87,308898,Ward 5,No,No,Yes,Yes,4488    0040,Yes,Yes,Yes,Yes,Yes,20002,Yes
-77.074909671084058,38.964600719779696,34,Safeway,5545 Connecticut Ave NW,2022446097,No,Yes,Yes,Yes,Yes, ,393508.13,144078.34,263999,Ward 3,Yes,Yes,Yes,Yes,1867    0092,Yes,Yes,Yes,Yes,Yes,20015,Yes
-77.063172516225052,38.944506775932311,35,Giant,4303 Connecticut Ave NW,2023648250,No,Yes,Yes,Yes,Yes, ,394523.79,141846.96,301784,Ward 3,Yes,Yes,Yes,Yes,2049    0805,Yes,Yes,Yes,Yes,Yes,20008,Yes
-77.025528976521258,38.941036472074906,36,Yes! Organic,4100 Georgia Avenue NW,2022915790,No,No,No,No,No, ,397786.99,141460.14,300492,Ward 4,Yes,Yes,Yes,Yes,2910    0810,Yes,Yes,Yes,Yes,Yes,20011,Yes
-77.02655061616592,38.969528402683196,37,Safeway,6500 Piney Branch Rd NW,2027235644,No,No,Yes,Yes,Yes, ,397699.34,144623.03,285341,Ward 4,Yes,Yes,Yes,Yes,2974    0020,Yes,Yes,Yes,Yes,Yes,20012,Yes
-77.027285145461832,38.962078321937703,38,Walmart Supercenter,5929 Georgia Ave NW,2027193770,No,No,No,No,No,Georgia Ave,397635.44,143796.02,254296,Ward 4,No,No,No,No,2986    0039,Yes,Yes,Yes,Yes,Yes,20011,Yes
-76.994663550318108,38.883390266617653,39,Yes! Organic,410 8th Street SE,2025469850,No,No,No,No,Yes,Capitol Hill,400463.21,135060.64,300093,Ward 6,Yes,Yes,Yes,Yes,0925    0026,Yes,Yes,Yes,Yes,Yes,20003,Yes
-77.005494555021244,38.906023064916276,40,Harris Teeter,1201 1st ST NE,2029861415,No,No,No,No,No, ,399523.62,137573.06,303728,Ward 6,No,No,Yes,Yes,0711    0816,Yes,Yes,Yes,Yes,Yes,20002,Yes
-76.966673228899253,38.859032219037331,41,Safeway,2845 Alabama Ave SE,2025757525,No,No,Yes,Yes,Yes, ,402892.75,132357.23,278282,Ward 7,Yes,Yes,Yes,Yes,5642    0001,Yes,Yes,Yes,Yes,Yes,20020,Yes
-77.017161805343505,38.877621504691156,42,Safeway,1100 4th St SW,2025549155,No,Yes,Yes,Yes,Yes, ,398511.05,134420.39,307170,Ward 6,Yes,Yes,Yes,Yes,0542    0872,Yes,Yes,Yes,Yes,Yes,20024,Yes
-77.000096551304125,38.876224302397219,43,Harris Teeter,401 M street SE,2025540164,No,No,No,No,No,Navy Yard,399991.82,134265.15,309432,Ward 6,No,No,No,No,0771    0811,No,Yes,Yes,Yes,Yes,20003,Yes
-77.031619755852873,38.918506727358675,44,Yes! Organic,2123 14th Street NW,2022326603,No,No,No,No,Yes,U Street,397258.09,138959.31,306454,Ward 1,Yes,Yes,Yes,Yes,0235    0204,Yes,Yes,Yes,Yes,Yes,20009,Yes
-76.950881156174731,38.920850956568628,45,Costco Wholesale,2441 Market St NE,2022698540,No,No,No,No,No,Costco,404259.71,139220.21,309925,Ward 5,No,No,No,Yes,4327    0004,Yes,Yes,Yes,Yes,Yes,20018,Yes
-77.082464503307705,38.952340161554659,46,Safeway,4203 Davenport ST NW,2023640290,Yes,Yes,Yes,Yes,Yes, ,392852.16,142717.87,301160,Ward 3,Yes,Yes,Yes,Yes,1672    0815,Yes,Yes,No,No,No,20016,No
-77.011987063226329,38.900404338203202,47,Walmart Supercenter,99 H st NW,2027192110,No,No,No,No,No,H Street,398960.4,136949.39,310062,Ward 6,No,No,No,No,0623    0836,Yes,Yes,Yes,Yes,Yes,20001,Yes
-77.049069913768548,38.900918573338203,48,Whole Foods,2201 Eye Street NW,2022961660,No,No,No,No,No,Foggy Bottom,395743.74,137007.55,310098,Ward 2,No,No,Yes,Yes,0054    7011,Yes,Yes,Yes,Yes,Yes,20037,Yes
-76.979772322388555,38.900575082089844,49,Safeway,1601 Maryland Ave NE,2023986903,No,No,Yes,Yes,Yes, ,401754.81,136968.47,297814,Ward 5,Yes,Yes,Yes,Yes,4493    0001,Yes,Yes,Yes,Yes,Yes,20002,Yes
-77.002144468128733,38.957976693092242,50,Walmart Supercenter,310 Riggs Road NE,2027564418,No,No,No,No,No,Riggs Road,399814.33,143340.35,311574,Ward 4,No,No,No,No,3748    0052,No,No,Yes,Yes,Yes,20011,Yes
-76.998147386441275,38.900404488321534,51,Whole Foods,600 H St NE,2024697410,No,No,No,No,No, ,400160.9,136949.34,311750,Ward 6,No,No,No,No,0858    0866,No,No,No,No,Yes,20002,Yes
-76.983593186358362,38.915951668239167,52,Mom's Organic Market,1501 NEW YORK AVE NE,2027913826,No,No,No,No,No,Mom's,401423.07,138675.33,311943,Ward 5,No,No,No,No,4037    0821,No,Yes,Yes,Yes,Yes,20002,Yes
-76.995525919654895,38.884741560670101,53,Trader Joe's,750 Pennsylvania Ave SE,2026980190,No,No,No,No,No, ,400388.38,135210.64,313096,Ward 6,No,No,No,No,0901    0804,No,No,No,No,Yes,20003,Yes
-77.095962130933614,38.917441408406205,54,Safeway,4865 MacArthur Blvd NW,2023375649,No,Yes,Yes,Yes,Yes, ,391678.11,138844.95,285004,Ward 3,Yes,Yes,Yes,Yes,1389    0025,Yes,Yes,Yes,Yes,Yes,20007,Yes
