geometry,icon,id,name,place_id,plus_code,rating,reference,types,user_ratings_total,vicinity,opening_hours,price_level,locations,Zip Code
"{'location': {'lat': 38.93004199999999, 'lng': -77.106494}, 'viewport': {'northeast': {'lat': 38.9313447802915, 'lng': -77.1052719197085}, 'southwest': {'lat': 38.9286468197085, 'lng': -77.1079698802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,d9648a3b5d56eea241e245e5913fe1aedd95c275,DC Boathouse,ChIJPeGLmP61t4kRqVlMb0twRf4,"{'compound_code': 'WVJV+2C Washington, District of Columbia, United States', 'global_code': '87C4WVJV+2C'}",4.3,ChIJPeGLmP61t4kRqVlMb0twRf4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",152,"5441 MacArthur Boulevard Northwest, Washington",{'open_now': True},2,"{'Match_addr': 'DC Boathouse', 'LongLabel': 'DC Boathouse, 5441 MacArthur Blvd NW, Washington, DC, 20016, USA', 'ShortLabel': 'DC Boathouse', 'Addr_type': 'POI', 'Type': 'American Food', 'PlaceName': 'DC Boathouse', 'AddNum': '5441', 'Address': '5441 MacArthur Blvd NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Palisades', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20016', 'PostalExt': '', 'CountryCode': 'USA'}",20016
"{'location': {'lat': 38.9178104, 'lng': -77.0965978}, 'viewport': {'northeast': {'lat': 38.9190801802915, 'lng': -77.0953529197085}, 'southwest': {'lat': 38.9163822197085, 'lng': -77.09805088029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,518220e8204d018612d7e39b322a9eba552dfb4b,BlackSalt Fish Market & Restaurant,ChIJg9NR4wu2t4kRyH0vH7jToiM,"{'compound_code': 'WW93+49 Washington, District of Columbia, United States', 'global_code': '87C4WW93+49'}",4.6,ChIJg9NR4wu2t4kRyH0vH7jToiM,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",513,"4883 MacArthur Boulevard Northwest, Washington",{'open_now': False},3,"{'Match_addr': 'Black Salt Fish Market', 'LongLabel': 'Black Salt Fish Market, 4883 MacArthur Blvd NW, Washington, DC, 20007, USA', 'ShortLabel': 'Black Salt Fish Market', 'Addr_type': 'POI', 'Type': 'Seafood', 'PlaceName': 'Black Salt Fish Market', 'AddNum': '4883', 'Address': '4883 MacArthur Blvd NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Foxhall Crescent', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20007', 'PostalExt': '', 'CountryCode': 'USA'}",20007
"{'location': {'lat': 38.9602829, 'lng': -77.086845}, 'viewport': {'northeast': {'lat': 38.96154043029149, 'lng': -77.0853833697085}, 'southwest': {'lat': 38.95884246970849, 'lng': -77.0880813302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,0ba373c7af1c435eff38bb7a057f1dafb29320c4,The Capital Grille,ChIJAfWQIZHJt4kRhfw5lCfNCUc,"{'compound_code': 'XW67+47 Chevy Chase, 7, MD, United States', 'global_code': '87C4XW67+47'}",4.6,ChIJAfWQIZHJt4kRhfw5lCfNCUc,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",318,"5310 Western Avenue, Chevy Chase",{'open_now': True},4,"{'Match_addr': '44th St NW, Washington, District of Columbia, 20015', 'LongLabel': '44th St NW, Washington, DC, 20015, USA', 'ShortLabel': '44th St NW', 'Addr_type': 'StreetName', 'Type': '', 'PlaceName': '', 'AddNum': '', 'Address': '44th St NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Friendship Heights', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20015', 'PostalExt': '', 'CountryCode': 'USA'}",20015
"{'location': {'lat': 38.9331358, 'lng': -77.0850105}, 'viewport': {'northeast': {'lat': 38.93439163029149, 'lng': -77.08392006970848}, 'southwest': {'lat': 38.93169366970849, 'lng': -77.0866180302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,fff82091f8abe7e1573ad775e87fc29ab27f5bd2,Al Dente Italian Restaurant D.C.,ChIJ13R98OHJt4kROygkmtfHe9g,"{'compound_code': 'WWM7+7X Washington, District of Columbia, United States', 'global_code': '87C4WWM7+7X'}",4.1,ChIJ13R98OHJt4kROygkmtfHe9g,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",126,"3201 New Mexico Avenue Northwest, Washington",{'open_now': False},2,"{'Match_addr': ""Chef Geoff's"", 'LongLabel': ""Chef Geoff's, 3201 New Mexico Ave NW, Washington, DC, 20016, USA"", 'ShortLabel': ""Chef Geoff's"", 'Addr_type': 'POI', 'Type': 'American Food', 'PlaceName': ""Chef Geoff's"", 'AddNum': '3201', 'Address': '3201 New Mexico Ave NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Cathedral Heights', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20016', 'PostalExt': '', 'CountryCode': 'USA'}",20016
"{'location': {'lat': 38.933034, 'lng': -77.08467}, 'viewport': {'northeast': {'lat': 38.9342882302915, 'lng': -77.0833169197085}, 'southwest': {'lat': 38.9315902697085, 'lng': -77.08601488029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,fc82475848d728510bc5280b04fd7df21c199ccc,Chef Geoff's,ChIJBQ1Z8OHJt4kRNSOUzuXn6N8,"{'compound_code': 'WWM8+64 Washington, District of Columbia, United States', 'global_code': '87C4WWM8+64'}",4.2,ChIJBQ1Z8OHJt4kRNSOUzuXn6N8,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",397,"3201 New Mexico Avenue Northwest, Washington",{'open_now': True},2,"{'Match_addr': 'American University New Mexico Building', 'LongLabel': 'American University New Mexico Building, 3201 New Mexico Ave NW, Washington, DC, 20016, USA', 'ShortLabel': 'American University New Mexico Building', 'Addr_type': 'POI', 'Type': 'College', 'PlaceName': 'American University New Mexico Building', 'AddNum': '3201', 'Address': '3201 New Mexico Ave NW', 'Block': '', 'Sector': '', 'Neighborhood': '', 'District': '', 'City': 'Washington', 'MetroArea': '', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20016', 'PostalExt': '', 'CountryCode': 'USA'}",20016
"{'location': {'lat': 38.9597197, 'lng': -77.0846863}, 'viewport': {'northeast': {'lat': 38.96097103029149, 'lng': -77.0835440697085}, 'southwest': {'lat': 38.9582730697085, 'lng': -77.0862420302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,910ebec32ab42d36ffb817f92cd41ca798d2b127,Maggiano's Little Italy,ChIJDViMz5bJt4kRAURc3kfCdsk,"{'compound_code': 'XW58+V4 Washington, District of Columbia, United States', 'global_code': '87C4XW58+V4'}",4.3,ChIJDViMz5bJt4kRAURc3kfCdsk,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",717,"5333 Wisconsin Avenue Northwest, Washington",{'open_now': True},2,"{'Match_addr': ""Maggiano's"", 'LongLabel': ""Maggiano's, 5333 Wisconsin Ave NW, Washington, DC, 20015, USA"", 'ShortLabel': ""Maggiano's"", 'Addr_type': 'POI', 'Type': 'Italian Food', 'PlaceName': ""Maggiano's"", 'AddNum': '5333', 'Address': '5333 Wisconsin Ave NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Friendship Heights', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20015', 'PostalExt': '', 'CountryCode': 'USA'}",20015
"{'location': {'lat': 38.96041699999999, 'lng': -77.08490499999999}, 'viewport': {'northeast': {'lat': 38.9616619802915, 'lng': -77.08381316970849}, 'southwest': {'lat': 38.9589640197085, 'lng': -77.08651113029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/bar-71.png,35801dd7b300d80c0bc7e2968bee8126eb884fba,Civil Cigar Lounge,ChIJZYOxKpfJt4kRjHjLgsKY97I,"{'compound_code': 'XW68+52 Washington, District of Columbia, United States', 'global_code': '87C4XW68+52'}",4.5,ChIJZYOxKpfJt4kRjHjLgsKY97I,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",256,"5335 Wisconsin Avenue Northwest, Washington",{'open_now': True},3,"{'Match_addr': 'Lamusa', 'LongLabel': 'Lamusa, 5345 Wisconsin Ave NW, Washington, DC, 20015, USA', 'ShortLabel': 'Lamusa', 'Addr_type': 'POI', 'Type': 'Furniture Store', 'PlaceName': 'Lamusa', 'AddNum': '5345', 'Address': '5345 Wisconsin Ave NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Friendship Heights', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20015', 'PostalExt': '', 'CountryCode': 'USA'}",20015
"{'location': {'lat': 38.9604629, 'lng': -77.08476189999999}, 'viewport': {'northeast': {'lat': 38.96166203029149, 'lng': -77.08374161970848}, 'southwest': {'lat': 38.9589640697085, 'lng': -77.0864395802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/bar-71.png,da41806115b39b73f96314619c2d66079bbad61a,Willie's Bar,ChIJQ4qdKZfJt4kRwwSzMw499qM,"{'compound_code': 'XW68+53 Washington, District of Columbia, United States', 'global_code': '87C4XW68+53'}",4,ChIJQ4qdKZfJt4kRwwSzMw499qM,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",37,"Embassy Suites by Hilton Washington D.C. at the Chevy Chase Pavilion, 4300 Military Rd NW, Washington, DC 20015, Washington",{'open_now': True},2,"{'Match_addr': '5345 Wisconsin Ave NW, Washington, District of Columbia, 20015', 'LongLabel': '5345 Wisconsin Ave NW, Washington, DC, 20015, USA', 'ShortLabel': '5345 Wisconsin Ave NW', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'AddNum': '5345', 'Address': '5345 Wisconsin Ave NW', 'Block': '', 'Sector': '', 'Neighborhood': '', 'District': '', 'City': 'Washington', 'MetroArea': '', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20015', 'PostalExt': '', 'CountryCode': 'USA'}",20015
"{'location': {'lat': 38.9543182, 'lng': -77.08287380000002}, 'viewport': {'northeast': {'lat': 38.95572548029151, 'lng': -77.08133771970849}, 'southwest': {'lat': 38.95302751970851, 'lng': -77.0840356802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,e0ceaa3bf09c997af203178b018d947809b0806b,Matisse,ChIJ1d7K5ZTJt4kRWuxf2pDcwt8,"{'compound_code': 'XW38+PV Washington, District of Columbia, United States', 'global_code': '87C4XW38+PV'}",4.3,ChIJ1d7K5ZTJt4kRWuxf2pDcwt8,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",69,"4934 Wisconsin Avenue Northwest, Washington",{'open_now': True},3,"{'Match_addr': 'Matisse', 'LongLabel': 'Matisse, 4934 Wisconsin Ave NW, Washington, DC, 20016, USA', 'ShortLabel': 'Matisse', 'Addr_type': 'POI', 'Type': 'French Food', 'PlaceName': 'Matisse', 'AddNum': '4934', 'Address': '4934 Wisconsin Ave NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Friendship Heights', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20016', 'PostalExt': '', 'CountryCode': 'USA'}",20016
"{'location': {'lat': 38.95368089999999, 'lng': -77.08188419999999}, 'viewport': {'northeast': {'lat': 38.95500013029149, 'lng': -77.08063631970849}, 'southwest': {'lat': 38.9523021697085, 'lng': -77.0833342802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,68c74e112d40fe08857a328e56d606ab1a82b919,Le Chat Noir,ChIJiS1AIpXJt4kRrGzIFFSwQVg,"{'compound_code': 'XW39+F6 Washington, District of Columbia, United States', 'global_code': '87C4XW39+F6'}",4.3,ChIJiS1AIpXJt4kRrGzIFFSwQVg,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",225,"4907 Wisconsin Avenue Northwest, Washington",{'open_now': True},2,"{'Match_addr': 'Le Chat Noir', 'LongLabel': 'Le Chat Noir, 4907 Wisconsin Ave NW, Washington, DC, 20016, USA', 'ShortLabel': 'Le Chat Noir', 'Addr_type': 'POI', 'Type': 'French Food', 'PlaceName': 'Le Chat Noir', 'AddNum': '4907', 'Address': '4907 Wisconsin Ave NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Friendship Heights', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20016', 'PostalExt': '', 'CountryCode': 'USA'}",20016
