geometry,icon,id,name,place_id,plus_code,rating,reference,types,user_ratings_total,vicinity,opening_hours,price_level,locations,Zip Code
"{'location': {'lat': 38.9371226, 'lng': -77.10726389999999}, 'viewport': {'northeast': {'lat': 38.9386514302915, 'lng': -77.1059194697085}, 'southwest': {'lat': 38.9359534697085, 'lng': -77.1086174302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,fd46dbc38d97decad74c58803dbf86ad29f53ca4,Au Bon Pain,ChIJb-dcRAfKt4kR50cxM2W7AWY,"{'compound_code': 'WVPV+R3 Washington, District of Columbia, United States', 'global_code': '87C4WVPV+R3'}",3.4,ChIJb-dcRAfKt4kR50cxM2W7AWY,"['cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",16,"5255 Loughboro Road Northwest, Washington",{'open_now': False},2,"{'Match_addr': '5215 Loughboro Rd NW, Washington, District of Columbia, 20016', 'LongLabel': '5215 Loughboro Rd NW, Washington, DC, 20016, USA', 'ShortLabel': '5215 Loughboro Rd NW', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'AddNum': '5215', 'Address': '5215 Loughboro Rd NW', 'Block': '', 'Sector': '', 'Neighborhood': '', 'District': '', 'City': 'Washington', 'MetroArea': '', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20016', 'PostalExt': '', 'CountryCode': 'USA'}",20016
"{'location': {'lat': 38.9168957, 'lng': -77.0965671}, 'viewport': {'northeast': {'lat': 38.9183177802915, 'lng': -77.0951036697085}, 'southwest': {'lat': 38.9156198197085, 'lng': -77.09780163029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,e5e85f4052dc85eafc6734df528015695bf991c4,Little China Cafe,ChIJyWYUdQy2t4kR89qRGZQUSj4,"{'compound_code': 'WW83+Q9 Washington, District of Columbia, United States', 'global_code': '87C4WW83+Q9'}",3.8,ChIJyWYUdQy2t4kR89qRGZQUSj4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",61,"4830 MacArthur Boulevard Northwest, Washington",{'open_now': True},1,"{'Match_addr': 'Canal Express & China', 'LongLabel': 'Canal Express & China, 4830 MacArthur Blvd NW, Washington, DC, 20007, USA', 'ShortLabel': 'Canal Express & China', 'Addr_type': 'POI', 'Type': 'Chinese Food', 'PlaceName': 'Canal Express & China', 'AddNum': '4830', 'Address': '4830 MacArthur Blvd NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Foxhall Crescent', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20007', 'PostalExt': '', 'CountryCode': 'USA'}",20007
"{'location': {'lat': 38.9178727, 'lng': -77.0967806}, 'viewport': {'northeast': {'lat': 38.9191432302915, 'lng': -77.0954944697085}, 'southwest': {'lat': 38.9164452697085, 'lng': -77.0981924302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,f6a3837425257e22e81ac539e2c83e9a233daa65,Black Coffee,ChIJ__-v-Au2t4kRWa8D2OdrFTI,"{'compound_code': 'WW93+47 Washington, District of Columbia, United States', 'global_code': '87C4WW93+47'}",4.5,ChIJ__-v-Au2t4kRWa8D2OdrFTI,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",54,"4885 MacArthur Boulevard Northwest, Washington",{'open_now': False},,"{'Match_addr': '7th Hill Pizza Palisades', 'LongLabel': '7th Hill Pizza Palisades, 4885 MacArthur Blvd NW, Washington, DC, 20007, USA', 'ShortLabel': '7th Hill Pizza Palisades', 'Addr_type': 'POI', 'Type': 'Fast Food', 'PlaceName': '7th Hill Pizza Palisades', 'AddNum': '4885', 'Address': '4885 MacArthur Blvd NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Foxhall Crescent', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20007', 'PostalExt': '', 'CountryCode': 'USA'}",20007
"{'location': {'lat': 38.94526869999999, 'lng': -77.0965067}, 'viewport': {'northeast': {'lat': 38.9466627802915, 'lng': -77.0951065197085}, 'southwest': {'lat': 38.9439648197085, 'lng': -77.0978044802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,fc64779028e056d08185632437195d764bdde9cd,Le Pain Quotidien,ChIJQbG2MvfJt4kR-9kHIDkKx-0,"{'compound_code': 'WWW3+49 Washington, District of Columbia, United States', 'global_code': '87C4WWW3+49'}",3.7,ChIJQbG2MvfJt4kR-9kHIDkKx-0,"['restaurant', 'bakery', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']",118,"4874 Massachusetts Avenue Northwest, Washington",{'open_now': False},2,"{'Match_addr': 'Le Pain Quotidien', 'LongLabel': 'Le Pain Quotidien, 4874 Massachusetts Ave NW, Washington, DC, 20016, USA', 'ShortLabel': 'Le Pain Quotidien', 'Addr_type': 'POI', 'Type': 'Belgian Food', 'PlaceName': 'Le Pain Quotidien', 'AddNum': '4874', 'Address': '4874 Massachusetts Ave NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Spring Valley', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20016', 'PostalExt': '', 'CountryCode': 'USA'}",20016
"{'location': {'lat': 38.9367052, 'lng': -77.0890599}, 'viewport': {'northeast': {'lat': 38.93805418029149, 'lng': -77.0877109197085}, 'southwest': {'lat': 38.9353562197085, 'lng': -77.0904088802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,9bed3761da74b5c13a6bd15a0e72bfbdfe2cf2d2,Einstein Bros. Bagels,ChIJXXlrauPJt4kRWCIewQXXPK0,"{'compound_code': 'WWP6+M9 Washington, District of Columbia, United States', 'global_code': '87C4WWP6+M9'}",3.4,ChIJXXlrauPJt4kRWCIewQXXPK0,"['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",10,"4400 Massachusetts Avenue Northwest, Washington",{'open_now': False},1,"{'Match_addr': 'American University', 'LongLabel': 'American University, 4400 Massachusetts Ave NW, Washington, DC, 20016, USA', 'ShortLabel': 'American University', 'Addr_type': 'POI', 'Type': 'College', 'PlaceName': 'American University', 'AddNum': '4400', 'Address': '4400 Massachusetts Ave NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Spring Valley', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20016', 'PostalExt': '', 'CountryCode': 'USA'}",20016
"{'location': {'lat': 38.9603265, 'lng': -77.08681849999999}, 'viewport': {'northeast': {'lat': 38.9615778302915, 'lng': -77.0853491697085}, 'southwest': {'lat': 38.9588798697085, 'lng': -77.0880471302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,7dd8a7fc67846e2aaf326ad41e08851e83997fd4,Le Pain Quotidien,ChIJc3KcGJHJt4kRC7I03aUiJOU,"{'compound_code': 'XW67+47 Chevy Chase, 7, MD, United States', 'global_code': '87C4XW67+47'}",3.6,ChIJc3KcGJHJt4kRC7I03aUiJOU,"['restaurant', 'bakery', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']",89,"5310 Western Avenue Northwest, Chevy Chase",{'open_now': False},2,"{'Match_addr': '44th St NW, Washington, District of Columbia, 20015', 'LongLabel': '44th St NW, Washington, DC, 20015, USA', 'ShortLabel': '44th St NW', 'Addr_type': 'StreetName', 'Type': '', 'PlaceName': '', 'AddNum': '', 'Address': '44th St NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Friendship Heights', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20015', 'PostalExt': '', 'CountryCode': 'USA'}",20015
"{'location': {'lat': 38.9601261, 'lng': -77.0860725}, 'viewport': {'northeast': {'lat': 38.9612559802915, 'lng': -77.08427916970848}, 'southwest': {'lat': 38.95855801970851, 'lng': -77.08697713029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,471d7059b7f4a921669cac28fae2b1e4ae08992d,McDonald's,ChIJeX08MZHJt4kRvYLo3RT97oI,"{'compound_code': 'XW67+3H Washington, District of Columbia, United States', 'global_code': '87C4XW67+3H'}",3.6,ChIJeX08MZHJt4kRvYLo3RT97oI,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",203,"5300 Wisconsin Avenue, Washington",{'open_now': True},1,"{'Match_addr': 'Friendship Heights Metro Station - West Entrance', 'LongLabel': 'Friendship Heights Metro Station - West Entrance, 5391 Western Ave NW, Washington, DC, 20015, USA', 'ShortLabel': 'Friendship Heights Metro Station - West Entrance', 'Addr_type': 'POI', 'Type': 'Metro Station', 'PlaceName': 'Friendship Heights Metro Station - West Entrance', 'AddNum': '5391', 'Address': '5391 Western Ave NW', 'Block': '', 'Sector': '', 'Neighborhood': '', 'District': '', 'City': 'Washington', 'MetroArea': '', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20015', 'PostalExt': '', 'CountryCode': 'USA'}",20015
"{'location': {'lat': 38.9589, 'lng': -77.0852175}, 'viewport': {'northeast': {'lat': 38.9603079302915, 'lng': -77.0836768697085}, 'southwest': {'lat': 38.9576099697085, 'lng': -77.0863748302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,17d25732ef82fd04f83979af65dbffc0f81a05ff,Cosi,ChIJYyK6spbJt4kRp9NyO4Sg8K0,"{'compound_code': 'XW57+HW Washington, District of Columbia, United States', 'global_code': '87C4XW57+HW'}",4.1,ChIJYyK6spbJt4kRp9NyO4Sg8K0,"['cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",93,"5252 Wisconsin Avenue Northwest, Washington",{'open_now': False},1,"{'Match_addr': ""TGI Friday's"", 'LongLabel': ""TGI Friday's, 5252 Wisconsin Ave NW, Washington, DC, 20015, USA"", 'ShortLabel': ""TGI Friday's"", 'Addr_type': 'POI', 'Type': 'American Food', 'PlaceName': ""TGI Friday's"", 'AddNum': '5252', 'Address': '5252 Wisconsin Ave NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Friendship Heights', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20015', 'PostalExt': '', 'CountryCode': 'USA'}",20015
"{'location': {'lat': 38.9596843, 'lng': -77.085441}, 'viewport': {'northeast': {'lat': 38.96102078029149, 'lng': -77.08396646970849}, 'southwest': {'lat': 38.95832281970849, 'lng': -77.08666443029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,7cb1d2591e61f992b3235a161144840696f62dbb,WW Café,ChIJh3aoNpHJt4kR_zJqpUgGVYE,"{'compound_code': 'XW57+VR Washington, District of Columbia, United States', 'global_code': '87C4XW57+VR'}",4.2,ChIJh3aoNpHJt4kR_zJqpUgGVYE,"['cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",24,"5300 Wisconsin Avenue, Washington",{'open_now': False},,"{'Match_addr': '5300 Wisconsin Ave NW, Washington, District of Columbia, 20015', 'LongLabel': '5300 Wisconsin Ave NW, Washington, DC, 20015, USA', 'ShortLabel': '5300 Wisconsin Ave NW', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'AddNum': '5300', 'Address': '5300 Wisconsin Ave NW', 'Block': '', 'Sector': '', 'Neighborhood': '', 'District': '', 'City': 'Washington', 'MetroArea': '', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20015', 'PostalExt': '', 'CountryCode': 'USA'}",20015
"{'location': {'lat': 38.9544577, 'lng': -77.0830115}, 'viewport': {'northeast': {'lat': 38.9559328802915, 'lng': -77.08166341970849}, 'southwest': {'lat': 38.9532349197085, 'lng': -77.0843613802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,80e378f7eaf6ddcb08370f91c2669c5561542412,Coffee Nature,ChIJHYqM_JTJt4kRKtA6-E-5bOg,"{'compound_code': 'XW38+QQ Washington, District of Columbia, United States', 'global_code': '87C4XW38+QQ'}",4.4,ChIJHYqM_JTJt4kRKtA6-E-5bOg,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",121,"4224 Fessenden Street Northwest, Washington",{'open_now': False},1,"{'Match_addr': 'Coffee Nature', 'LongLabel': 'Coffee Nature, 4224 Fessenden St NW, Washington, DC, 20016, USA', 'ShortLabel': 'Coffee Nature', 'Addr_type': 'POI', 'Type': 'Coffee Shop', 'PlaceName': 'Coffee Nature', 'AddNum': '4224', 'Address': '4224 Fessenden St NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Friendship Heights', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20016', 'PostalExt': '', 'CountryCode': 'USA'}",20016
