geometry,icon,id,name,place_id,plus_code,rating,reference,types,user_ratings_total,vicinity,opening_hours,price_level,locations,Zip Code
"{'location': {'lat': 38.9254772, 'lng': -77.10225419999999}, 'viewport': {'northeast': {'lat': 38.9268658802915, 'lng': -77.10084586970851}, 'southwest': {'lat': 38.9241679197085, 'lng': -77.10354383029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,214334efb3a6210a313b79062ba7c7ed0525f61e,Et Voila!,ChIJT1foige2t4kRxgQXziwybOM,"{'compound_code': 'WVGX+53 Washington, District of Columbia, United States', 'global_code': '87C4WVGX+53'}",4.6,ChIJT1foige2t4kRxgQXziwybOM,"['restaurant', 'food', 'point_of_interest', 'establishment']",217,"5120 MacArthur Boulevard, Washington",{'open_now': True},3,"{'Match_addr': 'Et Voila', 'LongLabel': 'Et Voila, 5120 MacArthur Blvd NW, Washington, DC, 20016, USA', 'ShortLabel': 'Et Voila', 'Addr_type': 'POI', 'Type': 'Belgian Food', 'PlaceName': 'Et Voila', 'AddNum': '5120', 'Address': '5120 MacArthur Blvd NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Palisades', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20016', 'PostalExt': '', 'CountryCode': 'USA'}",20016
"{'location': {'lat': 38.9253296, 'lng': -77.1012401}, 'viewport': {'northeast': {'lat': 38.92664218029149, 'lng': -77.0998360697085}, 'southwest': {'lat': 38.9239442197085, 'lng': -77.10253403029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,46529d28c73a2b12c627ee0a59fac459b52d203e,Bambu Asian Cuisine,ChIJU872lAe2t4kRXmGOqsmYywY,"{'compound_code': 'WVGX+4G Washington, District of Columbia, United States', 'global_code': '87C4WVGX+4G'}",4.1,ChIJU872lAe2t4kRXmGOqsmYywY,"['restaurant', 'food', 'point_of_interest', 'establishment']",114,"5101 MacArthur Boulevard, Washington",{'open_now': False},2,"{'Match_addr': 'Bambu', 'LongLabel': 'Bambu, 5101 MacArthur Blvd NW, Washington, DC, 20016, USA', 'ShortLabel': 'Bambu', 'Addr_type': 'POI', 'Type': 'Sushi', 'PlaceName': 'Bambu', 'AddNum': '5101', 'Address': '5101 MacArthur Blvd NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Palisades', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20016', 'PostalExt': '', 'CountryCode': 'USA'}",20016
"{'location': {'lat': 38.925322, 'lng': -77.101407}, 'viewport': {'northeast': {'lat': 38.9266219302915, 'lng': -77.10013716970849}, 'southwest': {'lat': 38.9239239697085, 'lng': -77.1028351302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,5e2d04b12b4677d1b662869f17dcc1be5d6fb017,SWEET AGAVE Bar&Grill,ChIJgRx6lAe2t4kRv8nCc6gIPiA,"{'compound_code': 'WVGX+4C Washington, District of Columbia, United States', 'global_code': '87C4WVGX+4C'}",4.5,ChIJgRx6lAe2t4kRv8nCc6gIPiA,"['restaurant', 'food', 'point_of_interest', 'establishment']",76,"5105 MacArthur Boulevard Northwest, Washington",{'open_now': True},,"{'Match_addr': 'Sur la Place', 'LongLabel': 'Sur la Place, 5105 MacArthur Blvd NW, Washington, DC, 20016, USA', 'ShortLabel': 'Sur la Place', 'Addr_type': 'POI', 'Type': 'Belgian Food', 'PlaceName': 'Sur la Place', 'AddNum': '5105', 'Address': '5105 MacArthur Blvd NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Palisades', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20016', 'PostalExt': '', 'CountryCode': 'USA'}",20016
"{'location': {'lat': 38.9256334, 'lng': -77.10168949999999}, 'viewport': {'northeast': {'lat': 38.92692013029149, 'lng': -77.10043501970848}, 'southwest': {'lat': 38.92422216970849, 'lng': -77.1031329802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,5530b85fc571e142ef5cb9adad50bf84c7be6126,Salt & Pepper Restaurant,ChIJD9YY0P21t4kRxAlH0D-8ut0,"{'compound_code': 'WVGX+78 Washington, District of Columbia, United States', 'global_code': '87C4WVGX+78'}",4.4,ChIJD9YY0P21t4kRxAlH0D-8ut0,"['restaurant', 'food', 'point_of_interest', 'establishment']",72,"5125 MacArthur Boulevard, Washington",{'open_now': True},2,"{'Match_addr': 'Salt and Pepper Restaurant', 'LongLabel': 'Salt and Pepper Restaurant, 5125 MacArthur Blvd NW, Washington, DC, 20016, USA', 'ShortLabel': 'Salt and Pepper Restaurant', 'Addr_type': 'POI', 'Type': 'American Food', 'PlaceName': 'Salt and Pepper Restaurant', 'AddNum': '5125', 'Address': '5125 MacArthur Blvd NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Palisades', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20016', 'PostalExt': '', 'CountryCode': 'USA'}",20016
"{'location': {'lat': 38.9255488, 'lng': -77.1015188}, 'viewport': {'northeast': {'lat': 38.9268204302915, 'lng': -77.1002871697085}, 'southwest': {'lat': 38.9241224697085, 'lng': -77.10298513029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,159cc63cf69c8c8a07c96d0b21b1058833664a40,Chen's Gourmet,ChIJ6T5mkQe2t4kR16zU6EFulxg,"{'compound_code': 'WVGX+69 Washington, District of Columbia, United States', 'global_code': '87C4WVGX+69'}",4,ChIJ6T5mkQe2t4kR16zU6EFulxg,"['restaurant', 'food', 'point_of_interest', 'establishment']",26,"5117 MacArthur Boulevard Northwest, Washington",{'open_now': True},1,"{'Match_addr': ""Chen's Gourmet Chinese Carryout"", 'LongLabel': ""Chen's Gourmet Chinese Carryout, 5117 MacArthur Blvd NW, Washington, DC, 20016, USA"", 'ShortLabel': ""Chen's Gourmet Chinese Carryout"", 'Addr_type': 'POI', 'Type': 'Chinese Food', 'PlaceName': ""Chen's Gourmet Chinese Carryout"", 'AddNum': '5117', 'Address': '5117 MacArthur Blvd NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Palisades', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20016', 'PostalExt': '', 'CountryCode': 'USA'}",20016
"{'location': {'lat': 38.9249207, 'lng': -77.1016981}, 'viewport': {'northeast': {'lat': 38.9263075802915, 'lng': -77.10027241970849}, 'southwest': {'lat': 38.9236096197085, 'lng': -77.1029703802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,7e512cd725d159ac03d532f17599e479d4fac8f5,Bistro Aracosia,ChIJY0cU7Ae2t4kR1-im3ksVvIs,"{'compound_code': 'WVFX+X8 Washington, District of Columbia, United States', 'global_code': '87C4WVFX+X8'}",4.9,ChIJY0cU7Ae2t4kR1-im3ksVvIs,"['restaurant', 'food', 'point_of_interest', 'establishment']",230,"5100 MacArthur Boulevard, Washington",{'open_now': True},2,"{'Match_addr': 'Bistro Aracosia', 'LongLabel': 'Bistro Aracosia, 5100 MacArthur Blvd NW, Washington, DC, 20016, USA', 'ShortLabel': 'Bistro Aracosia', 'Addr_type': 'POI', 'Type': 'Middle Eastern Food', 'PlaceName': 'Bistro Aracosia', 'AddNum': '5100', 'Address': '5100 MacArthur Blvd NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Palisades', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20016', 'PostalExt': '', 'CountryCode': 'USA'}",20016
"{'location': {'lat': 38.9255488, 'lng': -77.1015188}, 'viewport': {'northeast': {'lat': 38.9268204302915, 'lng': -77.1002871697085}, 'southwest': {'lat': 38.9241224697085, 'lng': -77.10298513029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,cfb3bd215a4a97c2ec234bb0aae4673ee43dc575,Chen's Gourmet,ChIJS8aCsOO3t4kRhqxsCVklWLA,"{'compound_code': 'WVGX+69 Washington, District of Columbia, United States', 'global_code': '87C4WVGX+69'}",5,ChIJS8aCsOO3t4kRhqxsCVklWLA,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,"5117 MacArthur Boulevard Northwest, Washington",,,"{'Match_addr': ""Chen's Gourmet Chinese Carryout"", 'LongLabel': ""Chen's Gourmet Chinese Carryout, 5117 MacArthur Blvd NW, Washington, DC, 20016, USA"", 'ShortLabel': ""Chen's Gourmet Chinese Carryout"", 'Addr_type': 'POI', 'Type': 'Chinese Food', 'PlaceName': ""Chen's Gourmet Chinese Carryout"", 'AddNum': '5117', 'Address': '5117 MacArthur Blvd NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Palisades', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20016', 'PostalExt': '', 'CountryCode': 'USA'}",20016
"{'location': {'lat': 38.9178836, 'lng': -77.0968996}, 'viewport': {'northeast': {'lat': 38.9191700302915, 'lng': -77.09559876970849}, 'southwest': {'lat': 38.9164720697085, 'lng': -77.09829673029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,d56c9760107b2029be59c7f9ba8f040db51f6ee2,7th Hill Pizza Palisades,ChIJe0QGNjK4t4kRfGxOrywzoP4,"{'compound_code': 'WW93+56 Washington, District of Columbia, United States', 'global_code': '87C4WW93+56'}",4.5,ChIJe0QGNjK4t4kRfGxOrywzoP4,"['restaurant', 'food', 'point_of_interest', 'establishment']",190,"4885 MacArthur Boulevard Northwest, Washington",{'open_now': False},2,"{'Match_addr': '7th Hill Pizza Palisades', 'LongLabel': '7th Hill Pizza Palisades, 4885 MacArthur Blvd NW, Washington, DC, 20007, USA', 'ShortLabel': '7th Hill Pizza Palisades', 'Addr_type': 'POI', 'Type': 'Fast Food', 'PlaceName': '7th Hill Pizza Palisades', 'AddNum': '4885', 'Address': '4885 MacArthur Blvd NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Foxhall Crescent', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20007', 'PostalExt': '', 'CountryCode': 'USA'}",20007
"{'location': {'lat': 38.9167576, 'lng': -77.0963933}, 'viewport': {'northeast': {'lat': 38.9181743302915, 'lng': -77.09493826970849}, 'southwest': {'lat': 38.9154763697085, 'lng': -77.0976362302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,b85264d62d314b3eab4e29aad0b1da231cf92354,Kotobuki,ChIJ4SFpdAy2t4kRsknQX-aXuh4,"{'compound_code': 'WW83+PC Washington, District of Columbia, United States', 'global_code': '87C4WW83+PC'}",4.5,ChIJ4SFpdAy2t4kRsknQX-aXuh4,"['restaurant', 'food', 'point_of_interest', 'establishment']",168,"4822 MacArthur Boulevard Northwest, Washington",{'open_now': False},2,"{'Match_addr': 'Makoto Restaurant', 'LongLabel': 'Makoto Restaurant, 4822 MacArthur Blvd NW, Washington, DC, 20007, USA', 'ShortLabel': 'Makoto Restaurant', 'Addr_type': 'POI', 'Type': 'Japanese Food', 'PlaceName': 'Makoto Restaurant', 'AddNum': '4822', 'Address': '4822 MacArthur Blvd NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Foxhall Crescent', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20007', 'PostalExt': '', 'CountryCode': 'USA'}",20007
"{'location': {'lat': 38.9165851, 'lng': -77.0961762}, 'viewport': {'northeast': {'lat': 38.91799803029149, 'lng': -77.09473271970849}, 'southwest': {'lat': 38.91530006970849, 'lng': -77.09743068029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,26ff517ae67f2bf3808b77f325997abd703d42f6,Lupo Verde Osteria Palisades,ChIJhQvYcwy2t4kRWOKz-OdNrJc,"{'compound_code': 'WW83+JG Washington, District of Columbia, United States', 'global_code': '87C4WW83+JG'}",4.7,ChIJhQvYcwy2t4kRWOKz-OdNrJc,"['restaurant', 'food', 'point_of_interest', 'establishment']",67,"4814 MacArthur Boulevard Northwest, Washington",{'open_now': True},3,"{'Match_addr': 'Nazarian Brothers', 'LongLabel': 'Nazarian Brothers, 4820 MacArthur Blvd NW, Washington, DC, 20007, USA', 'ShortLabel': 'Nazarian Brothers', 'Addr_type': 'POI', 'Type': 'Furniture Store', 'PlaceName': 'Nazarian Brothers', 'AddNum': '4820', 'Address': '4820 MacArthur Blvd NW', 'Block': '', 'Sector': '', 'Neighborhood': 'Foxhall Crescent', 'District': '', 'City': 'Washington', 'MetroArea': 'Washington DC Metro Area', 'Subregion': 'District of Columbia', 'Region': 'District of Columbia', 'Territory': '', 'Postal': '20007', 'PostalExt': '', 'CountryCode': 'USA'}",20007
