Zip Code,MLS #,Cat,Status,Address,City,County,Beds,Structure Type,Status Contractual Search Date,List Office Name,Current Price
20020,DCDC438820,RES,CLS,1609 Minnesota Ave SE,Washington,"Washington, DC",2,Row/Townhouse,8/30/19,RE/MAX Specialists (RMSP1),"$191,000 "
20020,DCDC436328,RES,CLS,1920 Naylor Rd SE #109,Washington,"Washington, DC",2,Unit/Flat/Apartment,8/26/19,Cosmopolitan Properties Real Estate Brokerage (CSMO1),"$80,500 "
20020,DCDC435896,RES,CLS,2900 P St SE,Washington,"Washington, DC",3,Detached,8/29/19,Coldwell Banker Residential Brokerage (CBRB52),"$500,000 "
20020,DCDC435470,RES,CLS,2006 38th St SE #A,Washington,"Washington, DC",3,Unit/Flat/Apartment,7/26/19,Keller Williams Capital Properties (KWCP1),"$275,000 "
20020,DCDC435466,RES,CLS,1412 22nd St SE,Washington,"Washington, DC",3,Detached,8/16/19,RE/MAX United Real Estate (RMXD1),"$260,000 "
20020,DCDC435140,RES,CLS,3101 Naylor Rd SE #302,Washington,"Washington, DC",2,Unit/Flat/Apartment,8/23/19,D.S.A. Properties & Investments LLC (DSPR1),"$101,500 "
20020,DCDC435164,RES,CLS,3200 Buena Vista Ter SE,Washington,"Washington, DC",4,Detached,8/16/19,Craig Fauver Real Estate (CRGF1),"$435,000 "
20020,DCDC434786,RES,CLS,1666 Fort Dupont St SE,Washington,"Washington, DC",3,Twin/Semi-Detached,8/20/19,Greenland Realty (GNLR1),"$255,000 "
20020,DCDC434588,RES,CLS,3922 Southern Ave SE #301,Washington,"Washington, DC",1,Unit/Flat/Apartment,7/31/19,"Smart Realty, LLC (CMAR1)","$89,900 "
20020,DCDC434420,RES,CLS,3901 Pennsylvania Ave SE #B,Washington,"Washington, DC",2,End of Row/Townhouse,7/29/19,RLAH Real Estate (RLAH4),"$235,000 "
20020,DCDC434460,RES,CLS,1755 Tobias Dr SE,Washington,"Washington, DC",3,Row/Townhouse,7/31/19,Bennett Realty Solutions (EXBR1),"$355,000 "
20020,DCDC433786,RES,CLS,2419 Savannah St SE,Washington,"Washington, DC",3,End of Row/Townhouse,7/30/19,RE/MAX Realty Group (RMX2),"$235,000 "
20020,DCDC433626,RES,CLS,1137 Chicago St SE,Washington,"Washington, DC",4,End of Row/Townhouse,8/12/19,"Urban Land Company, LLC (ULC1)","$420,000 "
20020,DCDC433540,RES,CLS,3300 Carpenter St SE,Washington,"Washington, DC",4,Detached,8/12/19,Keller Williams Capital Properties (KWCP1),"$625,000 "
20020,DCDC433474,RES,CLS,2930 Fort Baker Dr SE,Washington,"Washington, DC",3,Detached,7/10/19,"McEnearney Associates, Inc. (MCE7)","$477,500 "
20020,DCDC432706,RES,CLS,2433 15th Pl SE,Washington,"Washington, DC",2,Twin/Semi-Detached,8/14/19,Customer Realty LLC (CUST1),"$329,000 "
20020,DCDC432252,RES,CLS,1812 28th Pl SE,Washington,"Washington, DC",4,Row/Townhouse,7/23/19,Taylor Properties (TAYL1),"$540,000 "
20020,DCDC432528,RES,CLS,3816 W St SE #B,Washington,"Washington, DC",2,End of Row/Townhouse,7/25/19,Keller Williams Capital Properties (KWCP1),"$234,816 "
20020,DCDC431992,RES,CLS,3463 23rd St SE,Washington,"Washington, DC",3,Twin/Semi-Detached,7/31/19,"Long & Foster Real Estate, Inc. (LNG42)","$371,000 "
20020,DCDC432212,RES,CLS,2923 Pennsylvania Ave SE,Washington,"Washington, DC",8,Detached,7/17/19,Compass (COMPS1),"$810,000 "
20020,DCDC431674,RES,CLS,2486 Skyland Pl SE,Washington,"Washington, DC",4,Row/Townhouse,8/9/19,Own Real Estate (ALGN1),"$250,000 "
20020,DCDC431560,RES,CLS,2202 16th St SE,Washington,"Washington, DC",5,Row/Townhouse,8/15/19,Latitudes LLC (LATD1),"$310,000 "
20020,DCDC431284,RES,CLS,1740 Galen St SE,Washington,"Washington, DC",3,Twin/Semi-Detached,7/26/19,Compass (COMPS2),"$325,000 "
20020,DCDC431482,RES,CLS,2124 31st Pl SE,Washington,"Washington, DC",4,Detached,7/8/19,Fairfax Realty Select (FXR1),"$615,000 "
20020,DCDC431348,RES,CLS,2506 Elvans Rd SE,Washington,"Washington, DC",4,Row/Townhouse,8/26/19,KW Metro Center (KWR9),"$480,000 "
20020,DCDC431354,RES,CLS,1712 Fort Davis St SE,Washington,"Washington, DC",3,Twin/Semi-Detached,7/17/19,"Long & Foster Real Estate, Inc. (LNG194)","$285,000 "
20020,DCDC431322,RES,CLS,1433 Bangor St SE,Washington,"Washington, DC",2,Row/Townhouse,7/8/19,Keller Williams Preferred Properties (KWPP1),"$375,000 "
20020,DCDC430792,RES,CLS,1547 41st St SE,Washington,"Washington, DC",3,Detached,6/11/19,Optime Realty (OPMR1),"$261,000 "
20020,DCDC430368,RES,CLS,1607 Fairlawn Ave SE,Washington,"Washington, DC",4,Row/Townhouse,7/18/19,Keller Williams Preferred Properties (KWPP1),"$460,000 "
20020,DCDC429124,RES,CLS,2224 34th St SE,Washington,"Washington, DC",3,Detached,7/26/19,Taylor Properties (TAYL1),"$520,000 "
20020,DCDC429906,RES,CLS,1622 21st Pl SE,Washington,"Washington, DC",3,Detached,8/23/19,RE/MAX Allegiance (RMAX127),"$455,000 "
20020,DCDC429800,RES,CLS,3107 Naylor Rd SE #303,Washington,"Washington, DC",2,Unit/Flat/Apartment,7/10/19,Cosmopolitan Properties Real Estate Brokerage (CSMO1),"$94,100 "
20020,DCDC429778,RES,CLS,1912 17th St SE,Washington,"Washington, DC",3,Row/Townhouse,7/19/19,Bennett Realty Solutions (EXBR1),"$248,500 "
