Zip Code,MLS #,Cat,Status,Address,City,County,Beds,Structure Type,Status Contractual Search Date,List Office Name,Current Price
22202,VAAR100153,RES,CLS,721 25th St S,Arlington,"Arlington, VA",3,Detached,8/30/19,"Neighborhood Real Estate, LLC. (NEIB1)","$830,000 "
22202,VAAR100149,RES,CLS,901 26th Pl S,Arlington,"Arlington, VA",4,Detached,8/2/19,"Neighborhood Real Estate, LLC. (NEIB1)","$870,000 "
22202,VAAR100137,RES,CLS,3650 S Glebe Rd #256,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,8/5/19,"EXP Realty, LLC. (EXPY1)","$700,000 "
22202,VAAR153020,RES,CLS,3650 S Glebe Rd #948,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,8/23/19,"Long & Foster Real Estate, Inc. (LNG183)","$825,000 "
22202,VAAR152954,RES,CLS,1101 S Arlington Ridge Rd #303,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,8/16/19,RE/MAX Executives (RMAX203),"$662,500 "
22202,VAAR152918,RES,CLS,1300 Army Navy Dr #316,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,8/21/19,Premiere Realty (PMEE1),"$325,000 "
22202,VAAR151852,RES,CLS,2800 S Arlington Ridge Rd,Arlington,"Arlington, VA",4,Detached,8/30/19,"Arlington Realty, Inc. (ARL1)","$796,000 "
22202,VAAR151564,RES,CLS,1211 S Eads St #1906,Arlington,"Arlington, VA",2,Penthouse Unit/Flat/Apartment,8/31/19,"William G. Buck & Assoc., Inc. (BUCK1)","$799,000 "
22202,VAAR151416,RES,CLS,1301 S Arlington Ridge Rd #202,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,8/5/19,Glass House Real Estate (PTRET1),"$326,000 "
22202,VAAR151308,RES,CLS,3600 S Glebe Rd #212W,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,8/18/19,"Long & Foster Real Estate, Inc. (LNG83)","$427,000 "
22202,VAAR150900,RES,CLS,2322 Fort Scott Dr,Arlington,"Arlington, VA",5,Detached,7/19/19,Compass (COMPS5),"$1,250,000 "
