MLS #,Cat,Status,Address,City,County,Zip,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
1000129944,RES,CLS,520 E St NE #305,Washington,"Washington, DC",20002,2,Jan-00,Unit/Flat/Apartment,1/9/14,"W.C. & A.N. Miller, Realtors, A Long & Foster Co. (MIL1)","$405,000 "
1000182792,RES,CLS,1316 Florida Ave NE,Washington,"Washington, DC",20002,3,1-Jan,End of Row/Townhouse,11/1/13,"RLR, LLC (RLRC1)","$260,000 "
1000260094,RES,CLS,410 15th St NE #22,Washington,"Washington, DC",20002,1,Jan-00,Unit/Flat/Apartment,3/14/14,Coldwell Banker Residential Brokerage (CBRB52),"$231,000 "
1002106396,RES,CLS,32 Q St NE,Washington,"Washington, DC",20002,4,1-Mar,Row/Townhouse,1/14/14,M Squared Real Estate LLC (MSQU1),"$761,750 "
1002193184,RES,CLS,1609 Isherwood St NE #2,Washington,"Washington, DC",20002,1,Jan-00,Unit/Flat/Apartment,3/3/14,Coldwell Banker Residential Brokerage (CBRB52),"$254,000 "
1002782890,RES,CLS,1213 18th St NE,Washington,"Washington, DC",20002,3,Jan-00,Row/Townhouse,3/26/14,Fairfax Realty Select (FXR1),"$319,000 "
1002783016,RES,CLS,1243 E St NE,Washington,"Washington, DC",20002,3,1-Mar,Row/Townhouse,1/27/14,RE/MAX Allegiance (RMAX20),"$880,000 "
1002783084,RES,CLS,1905 Capitol Ave NE,Washington,"Washington, DC",20002,3,Feb-00,End of Row/Townhouse,5/5/14,Avalar Smart Choice Realty (AVSC1),"$235,000 "
1002784978,RES,CLS,1207 Queen St NE,Washington,"Washington, DC",20002,3,1-Jan,Row/Townhouse,1/17/14,"Long & Foster Real Estate, Inc. (LNG64)","$240,000 "
1002787840,RES,CLS,610 14th Pl NE #3,Washington,"Washington, DC",20002,1,Jan-00,Unit/Flat/Apartment,3/7/14,Keller Williams Capital Properties (KWCP1),"$287,450 "
1002790482,RES,CLS,539 24th St NE,Washington,"Washington, DC",20002,2,1-Jan,Row/Townhouse,3/27/14,Coldwell Banker Residential Brokerage (CBRB52),"$380,000 "
1002790856,RES,CLS,806 Maryland Ave NE #3,Washington,"Washington, DC",20002,1,1-Jan,Row/Townhouse,3/14/14,Keller Williams Capital Properties (KWCP1),"$390,000 "
1002791080,RES,CLS,1524 Trinidad Ave NE,Washington,"Washington, DC",20002,3,Mar-00,Row/Townhouse,2/28/14,Keller Williams Capital Properties (KWCP1),"$485,000 "
1002791432,RES,CLS,415 20th St NE,Washington,"Washington, DC",20002,3,1-Feb,End of Row/Townhouse,2/20/14,"Long & Foster Real Estate, Inc. (LNG1)","$417,000 "
1002791622,RES,CLS,337 F St NE,Washington,"Washington, DC",20002,4,1-Feb,Twin/Semi-Detached,2/14/14,RE/MAX Allegiance (RMAX20),"$960,000 "
1002791888,RES,CLS,28 Q St NE #2,Washington,"Washington, DC",20002,3,Mar-00,Unit/Flat/Apartment,3/19/14,RE/MAX Allegiance (RMAX125),"$655,000 "
1002792306,RES,CLS,28 Q St NE #1,Washington,"Washington, DC",20002,3,Mar-00,Unit/Flat/Apartment,2/28/14,RE/MAX Allegiance (RMAX125),"$540,000 "
1002792556,RES,CLS,707 Florida Ave NE,Washington,"Washington, DC",20002,3,Mar-00,Row/Townhouse,2/12/14,"A-K Real Estate, Inc. (AKR2)","$599,900 "
1002794558,RES,CLS,1113 3rd St NE,Washington,"Washington, DC",20002,2,Jan-00,Row/Townhouse,2/7/14,"W.C. & A.N. Miller, Realtors, A Long & Foster Co. (MIL6)","$420,000 "
1002795046,RES,CLS,1259 16th St NE,Washington,"Washington, DC",20002,2,1-Feb,Row/Townhouse,3/12/14,"Central Properties, LLC, (CTRP1)","$395,000 "
1002795260,RES,CLS,408 Tennessee Ave NE,Washington,"Washington, DC",20002,4,1-Feb,Row/Townhouse,2/28/14,RE/MAX Allegiance (RMAX17),"$680,000 "
1002795794,RES,CLS,1312 Staples St NE,Washington,"Washington, DC",20002,4,1-Mar,Row/Townhouse,2/18/14,RE/MAX Allegiance (RMAX20),"$579,000 "
1002795888,RES,CLS,1120 Morse St NE,Washington,"Washington, DC",20002,5,1-Mar,Row/Townhouse,1/31/14,Stages Premier (SRMD1),"$716,500 "
