MLS #,Cat,Status,Address,City,County,Zip,Beds,Structure Type,Status Contractual Search Date,List Office Name,Current Price
1000269434,RES,CLS,3930 Connecticut Ave NW #202-H,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,5/20/14,"Long & Foster Real Estate, Inc. (LNG147)","$575,000 "
1001476596,RES,CLS,2101 Connecticut Ave NW #67,Washington,"Washington, DC",20008,3,Unit/Flat/Apartment,10/8/13,Coldwell Banker Residential Brokerage (CBRB45),"$2,150,000 "
1001656917,RES,CLS,1835 Phelps Pl NW #43,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,9/10/13,TTR Sotheby's International Realty (TTRS4),"$560,000 "
1002782920,RES,CLS,3001 Porter St NW #103,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,3/17/14,"Select Premium Properties, Inc (GRAN1)","$302,500 "
1002783294,RES,CLS,2939 Van Ness St NW #838,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,3/13/14,"Long & Foster Real Estate, Inc. (LNG3)","$240,000 "
1002783808,RES,CLS,2122 California St NW #260,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,3/31/14,"Long & Foster Real Estate, Inc. (LNG147)","$375,000 "
1002784624,RES,CLS,2205 California St NW #104,Washington,"Washington, DC",20008,3,Unit/Flat/Apartment,2/3/14,TTR Sotheby's International Realty (TTRS2),"$807,000 "
1002786116,RES,CLS,2115-2117 S St NW #3D,Washington,"Washington, DC",20008,2,Row/Townhouse,2/28/14,RE/MAX Realty Services (RBE1),"$725,000 "
1002792264,RES,CLS,3195 Porter St NW,Washington,"Washington, DC",20008,3,Twin/Semi-Detached,1/8/14,"W.C. & A.N. Miller, Realtors, A Long & Foster Co. (MIL2)","$875,000 "
1002792498,RES,CLS,4600 Connecticut Ave NW #507,Washington,"Washington, DC",20008,3,Unit/Flat/Apartment,2/28/14,"McEnearney Associates, Inc. (MCE7)","$545,000 "
1002793506,RES,CLS,3024 Tilden St NW #304,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,3/17/14,"Long & Foster Real Estate, Inc. (LNG147)","$350,000 "
1002797870,RES,CLS,2737 Devonshire Pl NW #504,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,2/12/14,"Evers & Co. Real Estate, A Long & Foster Company (EVR3)","$367,000 "
1002799016,RES,CLS,2939 Van Ness St NW #1042,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,2/7/14,"Long & Foster Real Estate, Inc. (LNG42)","$245,000 "
1002799562,RES,CLS,2725 Connecticut Ave NW #301,Washington,"Washington, DC",20008,2,Detached,3/11/14,Coldwell Banker Residential Brokerage (CBRB45),"$527,000 "
1002799564,RES,CLS,2939 Van Ness St NW #744,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,2/26/14,"Long & Foster Real Estate, Inc. (LNG3)","$268,000 "
1002802796,RES,CLS,3883 Connecticut Ave NW #415,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,3/4/14,Compass (LNRE1),"$406,500 "
1002804298,RES,CLS,3200 Rowland Pl NW,Washington,"Washington, DC",20008,3,Detached,2/28/14,"Washington Fine Properties, LLC (WFP1)","$1,150,000 "
1002804970,RES,CLS,3100 Connecticut Ave NW #318,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,2/12/14,TTR Sotheby's International Realty (TTRS4),"$395,000 "
1002808624,RES,CLS,2939 Van Ness St NW #816,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,2/28/14,"W.C. & A.N. Miller, Realtors, A Long & Foster Co. (MIL1)","$295,000 "
1002811362,RES,CLS,2939 Van Ness St NW #948,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,3/14/14,"McEnearney Associates, Inc. (MCE7)","$540,500 "
1002811500,RES,CLS,2723 Ordway St NW #3,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,3/5/14,"Evers & Co. Real Estate, A Long & Foster Company (EVR3)","$382,000 "
1002811570,RES,CLS,2129 Florida Ave NW #503,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,3/14/14,Cranford & Associates (CRN1),"$369,000 "
1002812624,RES,CLS,2916 Cleveland Ave NW,Washington,"Washington, DC",20008,6,Detached,6/10/14,"Washington Fine Properties, LLC (WFP1)","$2,700,000 "
1002815676,RES,CLS,3701 Connecticut Ave NW #300,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,7/8/14,Century 21 New Millennium (CENT2007),"$309,900 "
1002826308,RES,CLS,3601 Connecticut Ave NW #200,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,3/27/14,Compass (LNRE1),"$300,000 "
1002826756,RES,CLS,2758 Woodley Pl NW,Washington,"Washington, DC",20008,3,Row/Townhouse,3/31/14,"Long & Foster Real Estate, Inc. (LNG44)","$1,155,000 "
1002828424,RES,CLS,3312 Newark St NW,Washington,"Washington, DC",20008,6,Detached,2/21/14,"Long & Foster Real Estate, Inc. (LNG54)","$3,755,000 "
1002828572,RES,CLS,2205 California St NW #301,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,3/24/14,Allison James Estates & Homes (AJEH2),"$828,500 "
1002830092,RES,CLS,4707 Connecticut Ave NW #114,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,4/8/14,TTR Sotheby's International Realty (TTRS4),"$510,000 "
1002831870,RES,CLS,3001 Veazey Ter NW #630,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,4/11/14,TTR Sotheby's International Realty (TTRS4),"$445,000 "
1002833958,RES,CLS,2711 Ordway St NW #14,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,3/25/14,"McEnearney Associates, Inc. (MCE6)","$375,000 "
1002834382,RES,CLS,3883 Connecticut Ave NW #605,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,5/1/14,Redfin Corp (REFC3),"$395,000 "
1002835262,RES,CLS,4707 Connecticut Ave NW #216,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,5/16/14,"Long & Foster Real Estate, Inc. (LNG3)","$397,000 "
1002836562,RES,CLS,2829 Connecticut Ave NW #502,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,3/28/14,"Long & Foster Real Estate, Inc. (LNG176)","$377,000 "
1002838004,RES,CLS,2939 Van Ness St NW #736,Washington,"Washington, DC",20008,0,Unit/Flat/Apartment,4/15/14,DCRE RESIDENTIAL LLC (DRESI1),"$199,900 "
1002839732,RES,CLS,3883 Connecticut Ave NW #104,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,4/2/14,"Long & Foster Real Estate, Inc. (LNG1)","$675,000 "
1002839792,RES,CLS,4600 Connecticut Ave NW #423,Washington,"Washington, DC",20008,3,Unit/Flat/Apartment,3/18/14,Century 21 Redwood Realty (RDWG3),"$560,000 "
1002839860,RES,CLS,2126 Connecticut Ave NW #25,Washington,"Washington, DC",20008,3,Unit/Flat/Apartment,4/11/14,"Washington Fine Properties, LLC (WFP1)","$1,295,000 "
1002840802,RES,CLS,3883 Connecticut Ave NW #503,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,3/21/14,"Long & Foster Real Estate, Inc. (LNG44)","$399,900 "
1002842204,RES,CLS,4700 Connecticut Ave NW #605,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,5/1/14,Realty Advantage (FXR6),"$508,000 "
1002847204,RES,CLS,2914 Cleveland Ave NW,Washington,"Washington, DC",20008,6,Detached,5/30/14,TTR Sotheby's International Realty (TTRS2),"$2,750,000 "
1002847802,RES,CLS,5139 33rd St NW,Washington,"Washington, DC",20008,4,Detached,3/26/14,Coldwell Banker Residential Brokerage (CBRB106),"$845,000 "
1002848442,RES,CLS,2130 Bancroft Pl NW,Washington,"Washington, DC",20008,2,Row/Townhouse,3/20/14,"Washington Fine Properties, LLC (WFP1)","$2,200,000 "
1002849650,RES,CLS,2506 Woodley Rd NW,Washington,"Washington, DC",20008,5,End of Row/Townhouse,4/24/14,William Sawyer & Company (WSC1),"$950,000 "
1002855106,RES,CLS,3616 Connecticut Ave NW #402,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,4/4/14,Coldwell Banker Residential Brokerage (CBRB53),"$330,000 "
1002856312,RES,CLS,2122 California St NW #654,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,4/18/14,Coldwell Banker Residential Brokerage (CBRB106),"$359,495 "
1002856458,RES,CLS,2802 Devonshire Pl NW #307,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,4/25/14,Compass (LNRE1),"$339,000 "
1002860412,RES,CLS,2121 Leroy Pl NW,Washington,"Washington, DC",20008,5,Twin/Semi-Detached,2/28/14,Beasley Real Estate LLC (BEAS1),"$3,764,040 "
1002860840,RES,CLS,3001 Veazey Terrace NW #715,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,4/28/14,"Long & Foster Real Estate, Inc. (LNG35)","$275,000 "
1002862804,RES,CLS,2700 Woodley Pl NW,Washington,"Washington, DC",20008,3,Twin/Semi-Detached,4/25/14,Beasley Real Estate LLC (BEAS1),"$1,050,000 "
1002864874,RES,CLS,4422 35th St NW,Washington,"Washington, DC",20008,3,Detached,5/21/14,Berkshire Hathaway HomeServices PenFed Realty (PFED6),"$750,000 "
1002865428,RES,CLS,3001 34th St NW,Washington,"Washington, DC",20008,6,Twin/Semi-Detached,4/24/14,"Washington Fine Properties, LLC (WFP1)","$1,575,000 "
1002866408,RES,CLS,2311 Connecticut Ave NW #704,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,5/29/14,"Long & Foster Real Estate, Inc. (LNG1)","$390,000 "
1002869594,RES,CLS,2755 Ordway St NW #103,Washington,"Washington, DC",20008,0,Unit/Flat/Apartment,4/29/14,Century 21 New Millennium (CENT2032),"$206,000 "
1002870590,RES,CLS,4007 Connecticut Ave NW #108,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,4/4/14,"Long & Foster Real Estate, Inc. (LNG147)","$353,000 "
1002872658,RES,CLS,2911 28th St NW,Washington,"Washington, DC",20008,4,Twin/Semi-Detached,5/15/14,"Washington Fine Properties, LLC (WFP1)","$1,095,000 "
1002872760,RES,CLS,2942 Upton St NW,Washington,"Washington, DC",20008,6,Row/Townhouse,5/16/14,RE/MAX Executives (RMAX201),"$1,075,000 "
1002873766,RES,CLS,3100 Connecticut Ave NW #209,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,4/18/14,RE/MAX All Pro (RXAP1),"$535,000 "
1002874932,RES,CLS,4970 Linnean Ave NW,Washington,"Washington, DC",20008,4,Detached,3/28/14,"Long & Foster Real Estate, Inc. (LNG42)","$1,420,000 "
1002875034,RES,CLS,4707 Connecticut Ave NW #306,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,5/30/14,RE/MAX All Pro (RXAP1),"$337,000 "
1002876792,RES,CLS,4007 Connecticut Ave NW #210,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,6/9/14,"Long & Foster Real Estate, Inc. (LNG302)","$315,000 "
1002876818,RES,CLS,2206 Decatur Pl NW,Washington,"Washington, DC",20008,2,Detached,4/21/14,"Washington Fine Properties, LLC (WFP1)","$2,049,000 "
1002879446,RES,CLS,3601 Connecticut Ave NW #605,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,4/30/14,Compass (LNRE1),"$439,000 "
1002881678,RES,CLS,2848 27th St NW,Washington,"Washington, DC",20008,5,Twin/Semi-Detached,4/17/14,Beasley Real Estate LLC (BEAS1),"$1,450,000 "
1002884064,RES,CLS,2301 Connecticut Ave NW #1D,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,5/15/14,TTR Sotheby's International Realty (TTRS4),"$455,000 "
1002886602,RES,CLS,3020 Tilden St NW #103,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,3/4/14,Brian Logan Real Estate (LGN1),"$499,900 "
1002887090,RES,CLS,4701 Connecticut Ave NW #204,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,5/7/14,TTR Sotheby's International Realty (TTRS4),"$626,000 "
1002889454,RES,CLS,5174 34th St NW,Washington,"Washington, DC",20008,3,Detached,4/30/14,TTR Sotheby's International Realty (TTRS6),"$770,000 "
1002889682,RES,CLS,2759 Woodley Pl NW,Washington,"Washington, DC",20008,5,Twin/Semi-Detached,7/21/14,"Long & Foster Real Estate, Inc. (LNG42)","$1,295,000 "
1002891574,RES,CLS,2710 Macomb St NW #416,Washington,"Washington, DC",20008,0,Unit/Flat/Apartment,5/5/14,"Pier Associates Real Estate, Inc. (PIE1)","$215,000 "
1002891626,RES,CLS,2510 Upton St NW,Washington,"Washington, DC",20008,5,Detached,7/28/14,"Evers & Co. Real Estate, A Long & Foster Company (EVR3)","$2,231,000 "
1002892858,RES,CLS,3600 Connecticut Ave NW #402,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,5/30/14,"Washington Fine Properties, LLC (WFP3)","$330,000 "
1002894668,RES,CLS,3601 Connecticut Ave NW #118,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,4/29/14,Capital Park Realty (RCRG1),"$455,000 "
1002894940,RES,CLS,4707 Connecticut Ave NW #411,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,7/3/14,KW Metro Center (KWR19),"$326,000 "
1002895992,RES,CLS,3883 Connecticut Ave NW #T-3,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,4/18/14,"Capitol Asset, LLC (CPIA1)","$352,000 "
1002896120,RES,CLS,2801 Cortland Pl NW #104,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,6/18/14,"Long & Foster Real Estate, Inc. (LNG44)","$330,000 "
1002899890,RES,CLS,4600 Connecticut Ave NW #717,Washington,"Washington, DC",20008,0,Unit/Flat/Apartment,4/15/14,"McEnearney Associates, Inc. (MCE7)","$247,000 "
1002901806,RES,CLS,3418 34th St NW,Washington,"Washington, DC",20008,4,Twin/Semi-Detached,4/30/14,"Long & Foster Real Estate, Inc. (LNG35)","$857,500 "
1002901818,RES,CLS,4600 Connecticut Ave NW #110/110A,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,6/9/14,Coldwell Banker Residential Brokerage (CBRB106),"$275,000 "
1002903738,RES,CLS,2801 Connecticut Ave NW #20,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,8/20/14,TTR Sotheby's International Realty (TTRS4),"$610,000 "
1002905190,RES,CLS,4534 Broad Branch Rd NW,Washington,"Washington, DC",20008,5,Detached,6/3/14,Coldwell Banker Residential Brokerage (CBRB106),"$1,275,000 "
1002908376,RES,CLS,2924 33rd Pl NW,Washington,"Washington, DC",20008,4,End of Row/Townhouse,5/28/14,TTR Sotheby's International Realty (TTRS2),"$1,100,000 "
1002913284,RES,CLS,3901 Connecticut Ave NW #407,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,7/31/14,Keller Williams Realty (KWR8),"$539,000 "
1002914528,RES,CLS,2710 Macomb St NW #215,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,5/19/14,"Weichert, REALTORS (WEI4)","$327,000 "
1002914654,RES,CLS,2801 Connecticut Ave NW #15,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,5/9/14,"Long & Foster Real Estate, Inc. (LNG44)","$430,480 "
1002915484,RES,CLS,2923 34th St NW,Washington,"Washington, DC",20008,4,Twin/Semi-Detached,5/13/14,Beasley Real Estate LLC (BEAS1),"$1,071,000 "
1002918664,RES,CLS,3001 Veazey Ter NW #1519,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,5/16/14,Beasley Real Estate LLC (BEAS1),"$233,500 "
1002919550,RES,CLS,3001 Veazey Ter NW #1613,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,6/26/14,"Long & Foster Real Estate, Inc. (LNG44)","$317,500 "
1002922304,RES,CLS,4740-#713 Connecticut Ave NW #713,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,6/4/14,"Weichert, REALTORS (WEI4)","$405,000 "
1002922708,RES,CLS,5195 Linnean Ter NW,Washington,"Washington, DC",20008,4,Detached,7/18/14,Centurion Properties (CNTP1),"$810,000 "
1002925756,RES,CLS,4007 Connecticut Ave NW #212,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,5/23/14,Stein and Associates (STE1),"$394,000 "
1002927638,RES,CLS,2812 Cortland Pl NW,Washington,"Washington, DC",20008,3,Twin/Semi-Detached,6/9/14,Beasley Real Estate LLC (BEAS1),"$1,310,000 "
1002927790,RES,CLS,4538 Broad Branch Rd NW,Washington,"Washington, DC",20008,3,Detached,6/3/14,Coldwell Banker Residential Brokerage (CBRB66),"$1,165,000 "
1002927926,RES,CLS,2801 Connecticut Ave NW #29,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,5/29/14,"Long & Foster Real Estate, Inc. (LNG44)","$575,000 "
1002930106,RES,CLS,2939 Van Ness St NW #604,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,6/3/14,"Weichert, REALTORS (WEI4)","$270,000 "
1002932810,RES,CLS,3013 Cleveland Ave NW,Washington,"Washington, DC",20008,4,Detached,5/30/14,Coldwell Banker Residential Brokerage (CBRB52),"$1,345,000 "
1002935330,RES,CLS,3600 Connecticut Ave NW #303,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,6/6/14,"Long & Foster Real Estate, Inc. (LNG44)","$330,000 "
1002935478,RES,CLS,4740 Connecticut Ave NW #715,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,5/15/14,RE/MAX United Real Estate (RMXD1),"$430,000 "
1002940066,RES,CLS,3701 Connecticut Ave NW #235,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,5/30/14,"Long & Foster Real Estate, Inc. (LNG35)","$225,000 "
