MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price,Zip
DCDC439648,RES,CLS,1103 Fern St NW,Washington,"Washington, DC",4,1-Feb,Twin/Semi-Detached,8/22/2019,Non Subscribing Office (NON1),1850000,20012
DCDC435270,RES,CLS,1420 Van Buren St NW,Washington,"Washington, DC",5,1-Mar,Twin/Semi-Detached,8/29/2019,Coldwell Banker Residential Brokerage (CBRB66),879000,20012
DCDC435434,RES,CLS,1452 Juniper St NW,Washington,"Washington, DC",4,1-Feb,Detached,8/9/2019,Compass (COMPS1),885000,20012
DCDC434464,RES,CLS,1427 Van Buren St NW,Washington,"Washington, DC",5,2-Mar,Twin/Semi-Detached,8/28/2019,Redfin Corp (REFC3),865000,20012
DCDC434082,RES,CLS,1340 Underwood St NW,Washington,"Washington, DC",3,1-Feb,Detached,8/15/2019,RE/MAX Realty Services (RBE3),749000,20012
DCDC433952,RES,CLS,343 Cedar St NW #119,Washington,"Washington, DC",2,1-Feb,Row/Townhouse,7/31/2019,Redfin Corp (REFC2),516931,20012
DCDC430752,RES,CLS,7936 Orchid St NW,Washington,"Washington, DC",4,1-Mar,Detached,8/26/2019,Berkshire Hathaway HomeServices PenFed Realty (PFED55),995000,20012
DCDC403564,RES,CLS,6411 16th St NW,Washington,"Washington, DC",4,2-Feb,Detached,8/5/2019,"Long & Foster Real Estate, Inc. (LNG147)",815000,20012
DCDC433282,RES,CLS,814 Dahlia St NW,Washington,"Washington, DC",3,2-Feb,Detached,8/21/2019,"Long & Foster Real Estate, Inc. (LNG1)",676500,20012
DCDC432644,RES,CLS,1776 Verbena St NW,Washington,"Washington, DC",4,1-Apr,Detached,8/15/2019,Compass (COMPS2),1100000,20012
DCDC433070,RES,CLS,1539 Locust Rd NW,Washington,"Washington, DC",4,Mar-00,Detached,8/9/2019,TTR Sotheby's International Realty (TTRS4),725000,20012
DCDC432712,RES,CLS,1422 Leegate Rd NW,Washington,"Washington, DC",6,3,Detached,8/12/2019,"Washington Fine Properties, LLC (WFP1)",1000000,20012
DCDC432530,RES,CLS,7129 Georgia Ave NW #3,Washington,"Washington, DC",1,1,Row/Townhouse,7/22/2019,Compass (COMPS2),399900,20012
DCDC431664,RES,CLS,26 Underwood Pl NW,Washington,"Washington, DC",2,1,Twin/Semi-Detached,8/5/2019,Samson Properties (SAMP13),398000,20012
DCDC432444,RES,CLS,219 Underwood St NW,Washington,"Washington, DC",3,1-Mar,Detached,8/2/2019,Compass (COMPS6),800000,20012
DCDC431468,RES,CLS,7409 Alaska Ave NW,Washington,"Washington, DC",4,2-Feb,Detached,8/2/2019,Keller Williams Capital Properties (KWCP5),860000,20012
DCDC431326,RES,CLS,1436 Whittier Pl NW,Washington,"Washington, DC",3,2-Feb,Detached,7/17/2019,Keller Williams Realty (KWR14),625000,20012
DCDC430934,RES,CLS,6543 N Capitol St NE,Washington,"Washington, DC",3,1-Feb,Twin/Semi-Detached,6/28/2019,Compass (COMPS2),620000,20012
DCDC430950,RES,CLS,1509 Van Buren St NW,Washington,"Washington, DC",4,1-Apr,Twin/Semi-Detached,8/30/2019,Compass (COMPS1),875000,20012
DCDC430688,RES,CLS,609 Tewkesbury Pl NW,Washington,"Washington, DC",2,1,Detached,6/9/2019,"Long & Foster Real Estate, Inc. (LNG176)",425000,20012
DCDC430672,RES,CLS,911 Elder St NW #B,Washington,"Washington, DC",2,1-Feb,Row/Townhouse,8/14/2019,McWilliams/Ballard Inc. (MCWB3),639900,20012
DCDC430276,RES,CLS,7129 Georgia Ave NW #5,Washington,"Washington, DC",1,1,Row/Townhouse,8/23/2019,Compass (COMPS2),309900,20012
DCDC429514,RES,CLS,14 Underwood Pl NE,Washington,"Washington, DC",4,Mar-00,Detached,7/9/2019,"McEnearney Associates, Inc. (MCE1)",600000,20012
DCDC429160,RES,CLS,2035 Parkside Dr NW,Washington,"Washington, DC",4,1-Apr,Detached,7/19/2019,TTR Sotheby's International Realty (TTRS5),890000,20012
DCDC429414,RES,CLS,1939 Tulip St NW,Washington,"Washington, DC",5,1-Mar,Detached,8/21/2019,"Long & Foster Real Estate, Inc. (LNG42)",1037500,20012
DCDC429450,RES,CLS,7600 Morningside Dr NW,Washington,"Washington, DC",4,2-Feb,Detached,6/21/2019,Cottage Street Realty LLC (CTST1),1005000,20012
