MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
DCDC436042,RES,CLS,2006 Kearny St NE,Washington,"Washington, DC",3,Feb-00,Detached,8/15/2019,Keller Williams Capital Properties (KWCP1),715000.00
DCDC435512,RES,CLS,3731 Jamison Street NE,Washington,"Washington, DC",4,4,Twin/Semi-Detached,7/11/2019,Non Subscribing Office (NON1),572540.00
DCDC434830,RES,CLS,3199 Apple Rd NE #9,Washington,"Washington, DC",3,1-Mar,Row/Townhouse,8/19/2019,United Real Estate HomeSource (RECU1),391000.00
DCDC434728,RES,CLS,2009 Lawrence St NE,Washington,"Washington, DC",4,1-Mar,Detached,8/16/2019,Berkshire Hathaway HomeServices PenFed Realty (PFED4),1015000.00
DCDC434584,RES,CLS,2427 Irving St NE,Washington,"Washington, DC",4,2,Detached,8/15/2019,Compass (COMPS1),597000.00
DCDC433478,RES,CLS,2501 17th St NE,Washington,"Washington, DC",3,1-Feb,Detached,8/30/2019,Keller Williams Realty (KWR4),637000.00
DCDC434232,RES,CLS,3060 NW 16th St NW #609,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,8/15/2019,TTR Sotheby's International Realty (TTRS5),555000.00
DCDC433538,RES,CLS,1721 Franklin St NE,Washington,"Washington, DC",3,1-Jan,Detached,8/7/2019,Coldwell Banker Residential Brokerage (CBRB52),481000.00
DCDC433430,RES,CLS,2223 15th St NE,Washington,"Washington, DC",3,Mar-00,Row/Townhouse,8/6/2019,"Independent Realty, Inc (INDR1)",594999.00
DCDC433208,RES,CLS,3078 Clinton St NE,Washington,"Washington, DC",4,1-Mar,Detached,8/9/2019,"RE/MAX Distinctive, LLC (RMAXD1)",660000.00
DCDC433046,RES,CLS,3801 South Dakota Ave NE,Washington,"Washington, DC",4,1-Mar,Detached,8/16/2019,Redfin Corp (REFC3),775000.00
DCDC432420,RES,CLS,1703 Irving St NE,Washington,"Washington, DC",4,1-Feb,Detached,8/23/2019,Coldwell Banker Residential Brokerage (CBRB52),520000.00
DCDC431918,RES,CLS,1603 Monroe St NE,Washington,"Washington, DC",3,2,Detached,7/12/2019,TTR Sotheby's International Realty (TTRS5),801000.00
DCDC431880,RES,CLS,3922 20th St NE,Washington,"Washington, DC",3,2,Detached,7/26/2019,Keller Williams Capital Properties (KWCP1),585000.00
DCDC431640,RES,CLS,3147 Cherry Rd NE #30,Washington,"Washington, DC",3,1-Feb,End of Row/Townhouse,7/30/2019,"Murrell, Inc., REALTORS (MRL2)",360000.00
DCDC431630,RES,CLS,4016 22nd St NE,Washington,"Washington, DC",2,1-Jan,Detached,6/14/2019,"Residential Growth Properties, LLC. (RGP01)",410000.00
DCDC430544,RES,CLS,3924 17th St NE,Washington,"Washington, DC",4,1-Feb,Detached,8/9/2019,Coldwell Banker Residential Brokerage (CBRB53),568000.00
DCDC430382,RES,CLS,3808 Hansberry Ct NE,Washington,"Washington, DC",4,1-Mar,End of Row/Townhouse,7/15/2019,Keller Williams Capital Properties (KWCP2),594900.00
DCDC430192,RES,CLS,1005 Bryant St NE #5,Washington,"Washington, DC",3,2,Twin/Semi-Detached,8/9/2019,Compass (COMPS2),629900.00
DCDC429696,RES,CLS,2600 Rhode Island Ave NE,Washington,"Washington, DC",4,2,Detached,8/9/2019,Century 21 New Millennium (CENT2007),450000.00
DCDC429756,RES,CLS,3914 18th St NE,Washington,"Washington, DC",4,1-Feb,Detached,7/26/2019,Keller Williams Capital Properties (KWCP1),566000.00
DCDC429592,RES,CLS,3014 Thayer St NE,Washington,"Washington, DC",4,3,Detached,7/12/2019,Compass (COMPS1),678500.00
DCDC429562,RES,CLS,1005 Bryant St NE #1,Washington,"Washington, DC",2,2,Twin/Semi-Detached,7/30/2019,Compass (COMPS2),450000.00
DCDC429556,RES,CLS,1005 Bryant St NE #6,Washington,"Washington, DC",3,2,Twin/Semi-Detached,7/19/2019,Compass (COMPS2),599900.00
DCDC429156,RES,CLS,4518 Eastern Ave NE,Washington,"Washington, DC",3,2,Detached,8/30/2019,Coldwell Banker Residential Brokerage (CBRB115),468000.00
DCDC429246,RES,CLS,2022 Monroe St NE,Washington,"Washington, DC",4,1-Mar,Detached,8/15/2019,RLAH Real Estate (RLAH2),860000.00
DCDC426804,RES,CLS,3005 Otis St NE,Washington,"Washington, DC",4,4,Detached,8/5/2019,Bennett Realty Solutions (EXBR1),750000.00
DCDC428792,RES,CLS,2516 Hurston Ln NE #G,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,7/5/2019,Redfin Corp (REFC3),495000.00
DCDC428902,RES,CLS,2841 Myrtle Ave NE,Washington,"Washington, DC",5,1-Mar,Detached,7/26/2019,Tower Hill Realty (THHR1),775000.00
DCDC428942,RES,CLS,2339 15th St NE,Washington,"Washington, DC",3,2,Row/Townhouse,6/28/2019,Redfin Corp (REFC3),520000.00
DCDC428950,RES,CLS,3303 20th St NE,Washington,"Washington, DC",3,1-Mar,Detached,7/1/2019,Compass (COMPS1),670000.00
DCDC428850,RES,CLS,1348 Bryant St NE #4,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/28/2019,Century 21 Redwood Realty (RDWG3),249900.00
DCDC427150,RES,CLS,3010 South Dakota Ave NE,Washington,"Washington, DC",4,1-Mar,Detached,6/21/2019,Redfin Corp (REFC3),625000.00
DCDC428648,RES,CLS,4222 22nd St NE,Washington,"Washington, DC",3,1,Detached,6/28/2019,Keller Williams Capital Properties (KWCP1),402500.00
DCDC428620,RES,CLS,3630 South Dakota Ave NE,Washington,"Washington, DC",3,2-Feb,Detached,8/19/2019,"Weichert, REALTORS (WEI58)",375000.00
DCDC428550,RES,CLS,4008 22nd St NE,Washington,"Washington, DC",4,1-Mar,Detached,8/6/2019,Samson Properties (SAMP1),799990.00
DCDC427216,RES,CLS,3462 Summit Ct NE,Washington,"Washington, DC",2,2,Row/Townhouse,7/15/2019,RLAH Real Estate (RLAH2),420000.00
DCDC427434,RES,CLS,2941 Mills Ave NE,Washington,"Washington, DC",3,1-Jan,Detached,7/15/2019,Keller Williams Capital Properties (KWCP1),586000.00
DCDC427262,RES,CLS,1211 Evarts St NE,Washington,"Washington, DC",7,1-May,Detached,8/9/2019,ERA Realty Group (RTR1),1075000.00
DCDC427282,RES,CLS,2751 31st Pl NE #2751,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,7/12/2019,Bennett Realty Solutions (EXBR1),325000.00
DCDC426932,RES,CLS,3721 South Dakota Ave NE,Washington,"Washington, DC",3,3,Detached,6/28/2019,Compass (COMPS1),599999.00
DCDC426628,RES,CLS,1920 Shepherd St NE,Washington,"Washington, DC",4,1-Feb,Detached,6/28/2019,Berkshire Hathaway HomeServices PenFed Realty (PFED4),720000.00
DCDC426646,RES,CLS,3107 24th St NE,Washington,"Washington, DC",3,1,Detached,8/12/2019,RE/MAX Allegiance (RMAX20),450000.00
DCDC425524,RES,CLS,2401 12th St NE,Washington,"Washington, DC",5,1-Feb,Detached,7/29/2019,Keller Williams Capital Properties (KWCP1),530000.00
DCDC426456,RES,CLS,2212 13th St NE,Washington,"Washington, DC",3,1-Jan,Row/Townhouse,7/30/2019,Golston Real Estate Inc. (GORE1),500000.00
DCDC426248,RES,CLS,1618 Otis St NE,Washington,"Washington, DC",3,3,Twin/Semi-Detached,6/7/2019,Compass (COMPS4),849950.00
DCDC425898,RES,CLS,2724 12th St NE #18,Washington,"Washington, DC",3,3,Unit/Flat/Apartment,7/10/2019,Compass (COMPS2),630000.00
DCDC426046,RES,CLS,3000 20th St NE,Washington,"Washington, DC",3,1-Mar,Detached,6/21/2019,Redfin Corp (REFC3),730000.00
DCDC426008,RES,CLS,2207 13th St NE,Washington,"Washington, DC",3,1-Jan,Row/Townhouse,6/7/2019,RE/MAX Professionals (RMXP4),292000.00
DCDC425788,RES,CLS,3134 Banneker Dr NE #3134,Washington,"Washington, DC",3,2-Feb,Row/Townhouse,7/22/2019,Keller Williams Realty Centre (KWR15),399000.00
DCDC425164,RES,CLS,2408 Baldwin Cres NE,Washington,"Washington, DC",3,2-Feb,Row/Townhouse,8/1/2019,Compass (COMPS1),678500.00
DCDC424608,RES,CLS,1380 Bryant St NE #301,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/2/2019,Coldwell Banker Residential Brokerage (CBRB52),265000.00
