MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
DCDC434252,RES,CLS,1016 Taussig Pl NE,Washington,"Washington, DC",3,2,Twin/Semi-Detached,8/13/2019,TTR Sotheby's International Realty (TTRS4),765000.00
DCDC435672,RES,CLS,901 Quincy St NE #4,Washington,"Washington, DC",2,2,Twin/Semi-Detached,8/26/2019,Redfin Corp (REFC3),445000.00
DCDC436638,RES,CLS,74 Hawthorne Ct NE,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/12/2019,Keller Williams Capital Properties (KWCP1),315000.00
DCDC436288,RES,CLS,1221 Randolph St NE,Washington,"Washington, DC",4,1-Apr,Detached,8/30/2019,TTR Sotheby's International Realty (TTRS8),1181221.00
DCDC436552,RES,CLS,4003 13th St NE,Washington,"Washington, DC",4,1-Mar,Row/Townhouse,8/30/2019,XRealty.NET LLC (XRN1),855000.00
DCDC436156,RES,CLS,906 Jackson St NE,Washington,"Washington, DC",3,1-Jan,Twin/Semi-Detached,8/28/2019,Berkshire Hathaway HomeServices PenFed Realty (PFED4),668000.00
DCDC435158,RES,CLS,3000 7th St NE #112,Washington,"Washington, DC",1,Jan-00,Unit/Flat/Apartment,8/19/2019,Keller Williams Capital Properties (KWCP1),227700.00
DCDC436276,RES,CLS,4707 13th Pl NE,Washington,"Washington, DC",3,1-Feb,Twin/Semi-Detached,8/28/2019,EXQ Real Estate (EXQS1),550000.00
DCDC435864,RES,CLS,727 Kearny St NE,Washington,"Washington, DC",2,1-Feb,End of Row/Townhouse,8/19/2019,"Spring Hill Real Estate, LLC. (SHIL1)",650000.00
DCDC435616,RES,CLS,4920 8th St NE,Washington,"Washington, DC",3,1-Jan,Twin/Semi-Detached,8/7/2019,Redfin Corp (REFC3),464000.00
DCDC435510,RES,CLS,1631 Webster St NE,Washington,"Washington, DC",4,2,Detached,8/19/2019,Redfin Corp (REFC3),650000.00
DCDC435712,RES,CLS,913 Quincy St NE #2,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,7/17/2019,Redfin Corp (REFC3),415000.00
DCDC435454,RES,CLS,1232 Perry St NE,Washington,"Washington, DC",3,1-Jan,Row/Townhouse,8/12/2019,MDC Realty (MDC1),410000.00
DCDC435410,RES,CLS,1313 Quincy St NE,Washington,"Washington, DC",4,1-Feb,Detached,8/22/2019,Berkshire Hathaway HomeServices PenFed Realty (PFED4),1079000.00
DCDC435206,RES,CLS,591 Regent Pl NE,Washington,"Washington, DC",3,1-Mar,Row/Townhouse,8/23/2019,Tristar Realty Inc (TSTA3),776000.00
DCDC434544,RES,CLS,421 Evarts St NE #2,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,8/14/2019,RLAH Real Estate (RLAH2),375000.00
DCDC432882,RES,CLS,2875 Chancellors Way NE,Washington,"Washington, DC",4,1-Mar,End of Row/Townhouse,7/16/2019,"Washington Fine Properties, LLC (WFP1)",858500.00
DCDC432848,RES,CLS,523 Montana Ave NE #B,Washington,"Washington, DC",3,1-Mar,Unit/Flat/Apartment,7/31/2019,"GreenLine Real Estate, LLC (GNLN1)",775000.00
DCDC432772,RES,CLS,3823 13th St NE,Washington,"Washington, DC",3,1-Feb,Detached,7/30/2019,Berkshire Hathaway HomeServices PenFed Realty (PFED4),906000.00
DCDC432760,RES,CLS,1211 Taylor St NE,Washington,"Washington, DC",4,3,Twin/Semi-Detached,7/17/2019,Berkshire Hathaway HomeServices PenFed Realty (PFED4),749000.00
DCDC432670,RES,CLS,1435 Jackson St NE,Washington,"Washington, DC",2,1,Detached,7/16/2019,"AEGIS REALTY COMPANY, LLC (DMVT1)",465000.00
DCDC431930,RES,CLS,554 Regent Pl NE,Washington,"Washington, DC",2,1-Jan,Row/Townhouse,8/9/2019,Compass (COMPS1),227687.00
DCDC431870,RES,CLS,1507 Newton St NE,Washington,"Washington, DC",6,5,Detached,8/6/2019,Berkshire Hathaway HomeServices PenFed Realty (PFED4),1140000.00
DCDC431836,RES,CLS,3000 7th St NE #319,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/2/2019,"RE/MAX Gateway, LLC (RMAX154)",230000.00
DCDC432096,RES,CLS,4724 South Dakota Ave NE,Washington,"Washington, DC",4,2,Twin/Semi-Detached,8/10/2019,Redfin Corp (REFC3),8.00
