,OBJECTID,GIS_ID,NAME,ALPHA_CODE,PARK_CODE,LOCATION,AQUIRED,TRANS_DC,SOURCE,RESERVE,LABEL,Shape_Length,Shape_Area,SQUARE,SUFFIX,LOT,SSL,PAR,Zip Code
0,1,Nps_060,Fort Circle Park,ROCR,832.0,"Fort Reno Park To Rock Creek Park , NW",6,,NPS,515,Fort Circle Park,3450.23047492012,114066.748272879,MULTI-SQUARES,,0.0,RES 05150000,,20015
1,2,Nps_087,Fort Circle Park,ROCR,832.0,"Fort Totten Park To Barnard Hill, NE","6, 8",,NPS,451,Fort Circle Park,856.7125772766051,19801.020922891497,0000,,0.0,RES 04510000,,20011
2,3,Nps_081,Fort Circle Park,ROCR,832.0,"Fort Totten Park To Barnard Hill, NE","6, 8",,NPS,451,Fort Circle Park,952.759982412839,6071.46956271813,0000,,0.0,RES 04510000,,20011
3,4,Nps_061,Fort Circle Park,ROCR,832.0,"Fort Totten Park To Barnard Hill, NE","6, 8",,NPS,451,Fort Circle Park,1154.49307427285,39763.5878830868,0000,,0.0,RES 04510000,,20011
4,5,Nps_543,Fort Circle Park,ROCR,832.0,"Fort Totten Park To Barnard Hill, NE","6, 8",,NPS,451,Fort Circle Park,2600.06314286191,73493.17116267,0000,,0.0,RES 04510000,,20011
5,6,Nps_058,Fort Circle Park,ROCR,832.0,"Fort Totten Park To Barnard Hill, NE","6, 8",,NPS,451,Fort Circle Park,1455.08664614403,60630.0523660797,0000,,0.0,RES 04510000,,20011
6,7,Nps_504,Fort Circle Park,ROCR,832.0,"Fort Totten Park To Barnard Hill, NE","6, 8",,NPS,451,Fort Circle Park,1262.75403561992,67317.6997410161,0000,,0.0,RES 04510000,,20011
7,8,Nps_094,Fort Circle Park,ROCR,832.0,"American University Park To Fort Reno Park, NW","6, 8",,NPS,542,Fort Circle Park,558.380428108974,3268.65612012796,"1599,1768,1772,1778,1779",,0.0,RES 05420000,,
8,9,Nps_074,Fort Circle Park,ROCR,832.0,"American University Park To Fort Reno Park, NW","6, 8",,NPS,542,Fort Circle Park,470.144077604621,2912.4428476589396,"1599,1768,1772,1778,1779",,0.0,RES 05420000,,
9,10,Nps_070,Fort Circle Park,ROCR,832.0,"American University Park To Fort Reno Park, NW","6, 8",,NPS,542,Fort Circle Park,261.082201617073,1512.7755469831,"1599,1768,1772,1778,1779",,0.0,RES 05420000,,
10,11,Nps_181,Archbold Parkway,ROCR,836.0,Macarthur Boulevard & 44th St. NW,"5, 6, 7, 8, 9",,NPS,450,Archbold Parkway,1945.8406728139603,126397.995214877,,,,RES 04500000,,20007
11,12,Nps_156,Archbold Parkway,ROCR,836.0,"West Side Glover Archbold Parkway, Between U st. & Reservoir","6, 7, 8, 10",,NPS,450A,Archbold Parkway,1466.0317269391599,70611.2477429538,,,,RES 0450A000,,
12,13,Nps_157,Archbold Parkway,ROCR,836.0,"East Side Glover Archbold Parkway, Between U st. & Reservoir Rd.","7, 8, 10",,NPS,450B,Archbold Parkway,1467.98205856641,73617.1270836638,,,,RES 0450B000,,
13,14,Nps_064,Fort Circle Park,ROCR,832.0,"American University Park To Fort Reno Park, NW","6, 8",,NPS,542,Fort Circle Park,665.7889372171151,6080.93135378706,"1599,1768,1772,1778,1779",,0.0,RES 05420000,,
14,15,Nps_092,Rock Creek Park & Piney Branch Parkway,ROCR,821.0,"Klingle Rd. To DC Line, West Of 16th St., NW","5,6,7,8",,NPS,339,Rock Creek Park & Piney Branch Parkway,884.255928847576,35501.3292629617,0000,,0.0,RES 03390000,,20012
15,16,Nps_113,Fort Circle Park,ROCR,832.0,"Barnard Hill To Ft. Lincoln, NE",6,,NPS,520,Fort Circle Park,666.014246968439,15766.836068460501,4303,,0.0,RES 05200000,,
16,17,Nps_123,Fort Circle Park,ROCR,832.0,"Barnard Hill To Ft. Lincoln, NE",6,,NPS,520,Fort Circle Park,557.739828570966,10131.701152248901,4303,,0.0,RES 05200000,,
17,18,Nps_098,Fort Circle Park,ROCR,832.0,"Barnard Hill To Ft. Lincoln, NE",6,,NPS,520,Fort Circle Park,256.38280804263803,2648.32876010735,4303,,0.0,RES 05200000,,
18,19,Nps_112,Fort Circle Park,ROCR,832.0,"Barnard Hill To Ft. Lincoln, NE",6,,NPS,520,Fort Circle Park,176.79394514325801,1757.54651484,4303,,0.0,RES 05200000,,
19,20,Nps_102,Fort Circle Park,ROCR,832.0,"Barnard Hill To Ft. Lincoln, NE",6,,NPS,520,Fort Circle Park,169.167718872655,1726.1668464834802,4303,,0.0,RES 05200000,,
20,21,Nps_106,Fort Circle Park,ROCR,832.0,"Barnard Hill To Ft. Lincoln, NE",6,,NPS,520,Fort Circle Park,156.250947990257,1357.23759497567,4303,,0.0,RES 05200000,,
21,22,Nps_101,Fort Circle Park,ROCR,832.0,"Barnard Hill To Ft. Lincoln, NE",6,,NPS,520,Fort Circle Park,145.307941565462,1268.23842171872,4303,,0.0,RES 05200000,,
22,23,Nps_104,Fort Circle Park,ROCR,832.0,"Barnard Hill To Ft. Lincoln, NE",6,,NPS,520,Fort Circle Park,208.590041644716,1132.40499025891,4303,,0.0,RES 05200000,,
23,24,Nps_111,Fort Circle Park,ROCR,832.0,"Barnard Hill To Ft. Lincoln, NE",6,,NPS,520,Fort Circle Park,114.518839661288,562.525695527692,4303,,0.0,RES 05200000,,
24,25,Nps_099,Fort Circle Park,ROCR,832.0,"Barnard Hill To Ft. Lincoln, NE",6,,NPS,520,Fort Circle Park,85.3436377604593,371.610408578095,4303,,0.0,RES 05200000,,
25,26,Nps_284,Thompson's Boat House,CHOH,844.0,End Of Rock Creek and Potomac Parkway To Potomac River, ,,NPS,360,Thompson's Boat House,523.52828587713,8634.29790228307,0000,,0.0,RES 04040000,,20008
26,27,Nps_263,Chesapeake & Ohio Canal National Historical Park,CHOH,412.0,From Rock Creek and Potomac Parkway Along Potomac River To DC Line,4,,NPS,404,Chesapeake & Ohio Canal National Historical Park,1670.0515779022699,32168.992896228,0000,,0.0,RES 04040000,,20008
27,28,Nps_260,Chesapeake & Ohio Canal National Historical Park,CHOH,412.0,From Rock Creek and Potomac Parkway Along Potomac River To DC Line,4,,NPS,404,,164.731328223622,1634.22905253142,0000,,0.0,RES 04040000,,20008
28,29,Nps_256,Chesapeake & Ohio Canal National Historical Park,CHOH,412.0,From Rock Creek and Potomac Parkway Along Potomac River To DC Line,4,,NPS,404,,197.054078550314,1803.2990653820002,0000,,0.0,RES 04040000,,20008
