Count,Library Name,Address,City,State,Zip,Phone,Website,Notes,Latitude,Longitude
1,Rosedale Library,1701 Gales Street NE,Washington,DC,20002,202-671-3121,http://www.dclibrary.org/rosedale,Open,38.89781195,-76.97913403
2,Georgetown Library,3260 R Street NW,Washington,DC,20007,(202) 727-0232,http://www.dclibrary.org/georgetown,Open,38.91343456,-77.06600731
3,Petworth Library,4200 Kansas Avenue NW,Washington,DC,20011,(202) 243-1188,http://www.dclibrary.org/petworth,Open,38.94220022,-77.02613743
4,Mt. Pleasant Library,3160 16th Street NW,Washington,DC,20010,202-671-3121,http://www.dclibrary.org/mtpleasant,Open,38.93046772,-77.0371446
5,Shaw (Watha T. Daniel) Library,1630 7th Street NW,Washington,DC,20001,(202) 727-1288,http://www.dclibrary.org/watha,Open,38.91244216,-77.02221836
6,Deanwood Library,1350 49th Street NE,Washington,DC,20019,(202) 698-1175,http://www.dclibrary.org/deanwood,Open,38.90844496,-76.93215558
7,Benning (Dorothy I. Height) Library,3935 Benning Road NE,Washington,DC,20019,(202) 281-2583,http://www.dclibrary.org/dorothy,Open,38.89418122,-76.94777105
8,Capitol View Library,5001 Central Avenue SE,Washington,DC,20019,(202) 645-0755,http://www.dclibrary.org/capitolview,Open,38.88895483,-76.92957721
9,Chevy Chase Library,5625 Connecticut Avenue NW,Washington,DC,20015,(202) 282-0021,http://www.dclibrary.org/chevychase,Open,38.96556949,-77.07545672
10,Cleveland Park Library,4340 Connecticut Avenue NW,Washington,DC,20008,(202) 282-3080,http://www.dclibrary.org/clevelandpark,Interim,38.94622563,-77.06520099
11,Francis A. Gregory Library,3660 Alabama Avenue SE,Washington,DC,20020,(202) 698-6373,http://www.dclibrary.org/francis,Open,38.8648716,-76.95420121
12,Lamond-Riggs Library,5401 South Dakota Avenue NE,Washington,DC,20011,(202) 541-6255,http://www.dclibrary.org/lamond,Open,38.95512813,-76.99958432
13,Martin Luther King Jr. Memorial Library,901 G Street NW,Washington,DC,20001,(202) 727-0321,http://www.dclibrary.org/mlk,"Closed, reopen 2020",38.89869166,-77.02476625
14,Northeast Library,330 7th Street NE,Washington,DC,20002,(202) 698-3320,http://www.dclibrary.org/northeast,Open,38.89440688,-76.99635899
15,Tenley-Friendship Library,4450 Wisconsin Avenue NW,Washington,DC,20016,(202) 727-1488,http://www.dclibrary.org/tenley,Open,38.94760839,-77.07988675
16,Palisades Library,4901 V Street NW,Washington,DC,20007,(202) 282-3139,http://www.dclibrary.org/palisades,Open,38.9183818,-77.09717464
17,Southeast Library,403 7th Street SE,Washington,DC,20003,(202) 698-3377,http://www.dclibrary.org/southeast,Open,38.88408446,-76.99651546
18,Southwest Library,900 Wesley Place SW,Washington,DC,20024,(202) 724-4752,http://www.dclibrary.org/southwest,Open,38.87869795,-77.01583178
19,Shepherd Park (Juanita E. Thornton) Library,7420 Georgia Avenue NW,Washington,DC,20012,(202) 541-6100,http://www.dclibrary.org/juanita,Open,38.98028088,-77.02703545
20,Takoma Park Library,416 Cedar Street NW,Washington,DC,20012,(202) 576-7252,http://www.dclibrary.org/takomapark,Open,38.97443675,-77.02015687
21,Parklands-Turner Library,1547 Alabama Avenue SE,Washington,DC,20032,(202) 645-4532,http://www.dclibrary.org/parklands,Open,38.84618686,-76.98125132
22,Bellevue (William O. Lockridge) Library,115 Atlantic Street SW,Washington,DC,20032,(202) 243-1184,http://www.dclibrary.org/bellevue,Open,38.83132585,-77.0093649
23,West End Library,2301 L Street NW,Washington,DC,20037,(202) 724-8707,http://www.dclibrary.org/westend,Open,38.90396584,-77.05062968
24,Woodridge Library,1801 Hamlin Street NE,Washington,DC,20018,(202) 541-6226,http://www.dclibrary.org/woodridge,Open,38.92744073,-76.97862566
25,Northwest One Library,155 L Street NW,Washington,DC,20001,(202) 939-5946,http://www.dclibrary.org/northwest,Open,38.90400275,-77.01361683
26,Anacostia Library,1800 Good Hope Road SE,Washington,DC,20020,(202) 715-7707,http://www.dclibrary.org/anacostia,Open,38.8659082,-76.97862553
27,Library Express,"1990 K St., NW",Washington,DC,20006,202-727-0324,https://www.dclibrary.org/libraryexpress,Open,38.90218491,-77.04454792
