Dir_Name_Display,Dir_School_Code,Dir_Street,Dir_Zip,AYP_Status,AYP_Status_Desc,Energy_Star_Rtg,Enroll_Total,Prog_Growth_Math_Current_Year,Prog_Growth_Read_Current_Year,Perf_Growth,Safe_ISA_Current_Year,Safe_Attendance_District_Average,Safe_Truancy_Current_Year,Safe_Suspension_Current_Year,Safe_Incidents_Current_Year,Safe_Safety_Current_Year,Perf_Safe,Perf_Teacher,Perf_Engage_Current_Year
Aiton Elementary School,202,533 48th Pl. NE,20019,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",67,251,47%,61%,0.54,90%,93%,21%,5%,0%,94%,2.51,NA,1
Amidon-Bowen Elementary School,203,401 I St. SW,20024,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",45,350,29%,45%,0.37,94%,93%,7%,8%,0%,80%,2.52,0.92,0.88
Bancroft Elementary School @ Sharpe,204,4300 13th St NW,20011,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,47,530,39%,53%,0.46,96%,93%,2%,2%,0%,89%,2.74,0.96,0.96
Barnard Elementary School,205,430 Decatur St. NW,20011,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,,649,43%,63%,0.53,94%,93%,4%,4%,0%,93%,2.72,0.96,0.95
Beers Elementary School,206,3600 Alabama Ave. SE,20020,Developing,Developing schools need support to continue growth. Developing schools have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,27,464,37%,57%,0.47,93%,93%,0%,0%,0%,92%,2.78,1,0.99
Brent Elementary School,212,301 North Carolina Ave. SE,20003,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,79,404,56%,55%,0.56,96%,93%,1%,1%,0%,93%,2.8,0.92,0.93
Brightwood Education Campus,213,1300 Nicholson St. NW,20011,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,26,755,56%,58%,0.57,94%,93%,15%,7%,0%,81%,2.46,0.9,0.86
Burroughs Elementary School,220,1820 Monroe St. NE,20018,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,19,290,40%,45%,0.43,92%,93%,16%,1%,0%,80%,2.48,1,0.87
Burrville Elementary School,221,801 Division Ave. NE,20019,Developing,Developing schools need support to continue growth. Developing schools have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,24,325,53%,56%,0.55,91%,93%,38%,2%,0%,99%,2.43,0.91,1
Cleveland Elementary School,224,1825 8th St. NW,20001,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,36,321,23%,30%,0.27,95%,93%,11%,9%,0%,74%,2.42,0.95,0.8
H.D. Cooke Elementary School,227,2525 17th St. NW,20009,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,37,420,60%,48%,0.54,93%,93%,24%,1%,0%,95%,2.56,0.97,0.95
Bunker Hill Elementary School,219,1401 Michigan Ave NE,20017,,,23,195,34%,40%,0.37,93%,93%,11%,3%,0%,96%,2.68,1,0.99
C.W. Harris Elementary School,247,301 53rd St. SE,20019,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",47,285,33%,37%,0.35,90%,93%,12%,13%,0%,77%,2.35,1,0.85
