Dir_Name_Display,Dir_School_Code,Dir_Street,Dir_Zip,AYP_Status,AYP_Status_Desc,Energy_Star_Rtg,Enroll_Total,Prog_Growth_Math_Current_Year,Prog_Growth_Read_Current_Year,Perf_Growth,Safe_ISA_Current_Year,Safe_Truancy_Current_Year,Safe_Suspension_Current_Year,Safe_Incidents_Current_Year,Safe_Safety_Current_Year,Perf_Safety,Perf_Engage_Current_Year,Perf_Teachers_Current_Year
Brightwood Education Campus,213,1300 Nicholson St. NW,20011,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,26.00,755.00,0.56,0.58,0.57,0.94,0.15,0.07,0.00,0.81,1.53,0.86,0.90
Hardy Middle School,246,1819 35th St. NW,20007,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,35.00,374.00,0.50,0.57,0.54,0.94,0.00,0.09,0.00,0.88,1.73,0.81,0.96
LaSalle-Backus Education Campus,264,501 Riggs Rd. NE,20011,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",5.00,369.00,0.52,0.55,0.54,0.91,0.11,0.07,0.00,0.81,1.54,0.72,1.00
Oyster-Adams Bilingual School,292,2801 Calvert St. NW and 2020 19th St. NW,20008,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,58.00,674.00,0.60,0.68,0.64,0.96,0.02,0.00,0.00,0.95,1.89,0.91,0.94
Raymond Education Campus,302,915 Spring Rd. NW,20010,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,67.00,613.00,0.49,0.49,0.49,0.95,0.08,0.01,0.00,0.95,1.81,0.92,0.90
Takoma Education Campus,324,7010 Piney Branch Rd. NW,20012,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,58.00,468.00,0.51,0.51,0.51,0.91,0.19,0.06,0.00,0.75,1.41,0.73,0.97
Truesdell Education Campus,327,800 Ingraham St. NW,20011,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,41.00,679.00,0.53,0.70,0.62,0.93,0.10,0.01,0.00,0.76,1.58,0.82,0.90
Walker-Jones Education Campus,332,1125 New Jersey Ave. NW,20001,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,11.00,451.00,0.51,0.50,0.51,0.90,0.44,0.14,0.00,0.74,1.06,0.66,0.89
Deal Middle School,405,3815 Fort Dr. NW,20016,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,1.00,1477.00,0.59,0.62,0.61,0.95,0.05,0.03,0.00,0.92,1.79,0.86,0.80
Eliot-Hine Middle School,407,1830 Constitution Ave. NE,20002,Developing,Developing schools need support to continue growth. Developing schools have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,48.00,200.00,0.37,0.45,0.41,0.92,0.10,0.21,0.01,0.65,1.25,0.53,0.93
School Without Walls @ Francis-Stevens,409,2425 N St. NW,20037,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,52.00,471.00,0.68,0.59,0.64,0.93,0.13,0.03,0.00,0.91,1.68,0.88,0.94
Hart Middle School,413,601 Mississippi Ave. SE,20032,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,52.00,349.00,0.45,0.45,0.45,0.91,0.13,0.29,0.02,0.75,1.22,0.77,0.96
Johnson Middle School,416,1400 Bruce Pl. SE,20020,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",41.00,252.00,0.41,0.41,0.41,0.88,0.38,0.29,0.02,0.83,1.02,0.83,0.94
Kelly Miller Middle School,421,301 49th St. NE,20019,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,14.00,449.00,0.42,0.46,0.44,0.88,0.47,0.32,0.03,0.75,0.81,0.66,0.95
Kramer Middle School,417,1700 Q St. SE,20020,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",12.00,193.00,0.30,0.37,0.34,0.92,0.06,0.41,0.04,0.63,1.04,0.50,NA
MacFarland Middle School,420,4400 Iowa Ave. NW,20011,,,,69.00,0.38,0.48,0.43,0.95,0.15,0.03,0.00,0.85,1.62,0.90,NA
Sousa Middle School,427,3650 Ely Pl. SE,20019,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,32.00,255.00,0.44,0.37,0.41,0.89,0.40,0.22,0.02,0.74,0.99,0.63,0.92
Stuart-Hobson Middle School (Capitol Hill Cluster),428,410 E St. NE,20002,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,29.00,431.00,0.40,0.63,0.52,0.93,0.04,0.12,0.00,0.78,1.55,0.60,0.88
West Education Campus,336,1335 Farragut St. NW,20011,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,4.00,315.00,0.65,0.52,0.59,0.94,0.10,0.02,0.00,0.90,1.72,0.93,0.93
Wheatley Education Campus,335,1299 Neal St. NE,20002,Developing,Developing schools need support to continue growth. Developing schools have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,18.00,321.00,0.42,0.58,0.50,0.90,0.28,0.05,0.00,0.81,1.38,0.79,0.90
Whittier Education Campus,338,6201 5th St. NW,20011,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,71.00,341.00,0.67,0.65,0.66,0.93,0.17,0.01,0.00,0.97,1.72,0.98,0.93
Capitol Hill Montessori School @ Logan,360,215 G Street NE,20002,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,90.00,361.00,0.79,0.77,0.78,0.95,0.08,0.01,0.00,0.96,1.82,0.94,0.89
Jefferson Middle School Academy,433,801 7th St. SW,20024,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,38.00,305.00,0.60,0.55,0.58,0.90,0.22,0.30,0.01,0.83,1.20,0.75,0.88
McKinley Middle School,435,151 T. St. NE,20002,Developing,Developing schools need support to continue growth. Developing schools have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,34.00,213.00,0.47,0.51,0.49,0.89,0.57,0.12,0.00,0.85,1.05,0.83,1.00
Brookland Middle School,347,1150 Michigan Ave NE,20017,,,,254.00,0.36,0.32,0.34,0.92,0.28,0.26,0.02,0.70,1.06,0.53,NA
Leckie Education Campus,266,4201 M.L. King Ave. SW,20032,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,31.00,553.00,0.36,0.42,0.39,0.94,0.04,0.03,0.00,0.73,1.60,0.80,0.96
Washington Metropolitan High School,474,300 Bryant St. NW,20001,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",29.00,125.00,NA,NA,NA,0.54,0.86,0.14,0.01,0.76,0.29,0.92,0.82
Browne Education Campus,404,850 26th St. NE,20002,Developing,Developing schools need support to continue growth. They have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,11.00,309.00,0.55,0.62,0.59,0.92,0.15,0.01,0.00,0.96,1.72,0.96,0.88
Youth Services Center,861,1000 Mt. Olivet Rd. NE,20002,,,,88.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
