Station,Address,City,State,Zip,AKA,County,Country,Latitude,Longitude,,,,,
Addison Road-Seat Pleasant,100 Addison Road S. ,Capitol Heights,MD,20743,,Prince George's,USA,38.885891,-76.896277,,,0,-76.8963,38.8859
Anacostia,1101 Howard Road SE ,Washington,DC,20020,"Hillsdale,Southeast Washington",Washington,USA,38.864048,-76.99748993,,,0,-76.9975,38.864
Archives-Navy Memorial-Penn Quarter,701 Pennsylvania Avenue NW ,Washington,DC,20004,Northwest Washington,Washington,USA,38.89440918,-77.02246094,,,,-77.0225,38.8944
Arlington Cemetery,1000 North Memorial Drive ,Arlington,VA,22211,Fort Myer,Arlington,USA,38.87771988,-77.07313538,,,,-77.0731,38.8777
Ballston-MU,4230 Fairfax Drive ,Arlington,VA,22201,Court House,Arlington,USA,38.8885994,-77.09049988,,,,-77.0905,38.8886
Benning Road,4500 Benning Road,Washington,DC,20019,"Capitol View,Northeast Washington",Washington,USA,38.89022064,-76.93746185,,,,-76.9375,38.8902
Bethesda,7450 Wisconsin Avenue ,Bethesda,MD,20814,,Montgomery,USA,38.9843951,-77.0958437,,,,-77.0958,38.9844
Braddock Road,700 N. West Street,Alexandria,VA,22301,Old Town West,Alexandria,USA,38.81406403,-77.05338287,,,,-77.0534,38.8141
Branch Ave,4704 Old Soper Road ,Suitland,MD,20746,Suitland,Prince George's,USA,38.82697678,-76.91155243,,,,-76.9116,38.827
Brookland-CUA ,801 Michigan Avenue NE ,Washington,DC,20017,"Brookland,Northeast Washington,University Heights",Washington,USA,38.93384171,-76.99454498,,,,-76.9945,38.9338
Capitol Heights ,133 Central Avenue ,Capitol Heights,MD,20743,,Prince George's,USA,38.8892519,-76.9132115,,,,-76.8826,38.8877
Capitol South ,355 First Street SE ,Washington,DC,20003,"Capitol Hill,Southeast Washington",Washington,USA,38.8851738,-77.00615692,,,,-77.0062,38.8852
Cheverly,5501 Columbia Park ,Cheverly,MD,20785,,Prince George's,USA,38.9172456,-76.915698,,,,-76.9153,38.9174
Clarendon,3100 Wilson Blvd ,Alington,VA,22201,Court House,Arlington,USA,38.88716125,-77.09513855,,,,-77.0951,38.8872
Cleveland Park,3599 Connecticut Avenue NW ,Washington,DC,20008,"Cleveland Park,Northwest Washington",Washington,USA,38.93601608,-77.058815,,,,-77.0588,38.936
College Park-U of MD,4931 Calvert Road ,College Park,MD,20740,Calvert Hills,Prince George's,USA,38.97819519,-76.92910767,,,,-76.9291,38.9782
Columbia Heights,3030 14th Street NW ,Washington,DC,20009,"Columbia Heights,Northwest Washington",Washington,USA,38.92860413,-77.03294373,,,,-77.0329,38.9286
Congress Heights,1290 Alabama Avenue SE,Washington,DC,20020,"Congress Heights,Southeast Washington",Washington,USA,38.84488678,-76.98809052,,,,-76.9881,38.8449
Court House,2100 Wilson Blvd ,Arlington,VA,22201,"Colonial Village,Court House",Arlington,USA,38.89155579,-77.08487701,,,,-77.0849,38.8916
Crystal City,1750 South Clark Street,Arlington,VA,22202,Crystal City,Alexandria,USA,38.85805893,-77.05164337,,,,-77.0516,38.8581
Deanwood,4720 Minnesota Avenue NE ,Washington,DC,20019,"Deanwood,Northeast Washington",Washington,USA,38.90762329,-76.93515015,,,,-76.9352,38.9076
Dunn Loring-Merrifield,2700 Gallows Road ,Vienna,VA,22180,Eisenhower East,Fairfax,USA,38.8823592,-77.2298516,,,,-77.2299,38.8824
Dupont Circle,1525 20th Street NW ,Washington,DC,20036,"Dupont Circle,Northwest Washington",Washington,USA,38.91103745,-77.04489899,,,,-77.0449,38.911
East Falls Church,2001 N. Sycamore Street,Arlington,VA,22205,East Falls Church,Arlington,USA,38.88546753,-77.15634155,,,,-77.1563,38.8855
Eastern Market,701 Pennsylvania Avenue SE ,Washington,DC,20003,"Capitol Hill,Southeast Washington",Washington,USA,38.88425064,-76.99581146,,,,-76.9958,38.8843
Eisenhower Avenue,2400 Eisenhower Avenue ,Alexandria,VA,22314,Eisenhower East,Alexandria,USA,38.80111313,-77.0708313,,,,-77.0708,38.8011
Farragut North,1001 Connecticut Avenue NW ,Washington,DC,20036,"Connecticut Ave/ K Street,Downtown,Northwest Washington",Washington,USA,38.9029007,-77.03901672,,,,-77.039,38.9029
Farragut West,900 18th Street NW ,Washington,DC,20006,"Connecticut Ave/ K Street,Downtown,Northwest Washington",Washington,USA,38.90143967,-77.04190063,,,,-77.0419,38.9014
Federal Center SW,401 3rd Street SW,Washington,DC,20024,"Southwest Federal Center,Southwest Washington",Washington,USA,38.8845787,-77.015625,,,,-77.0156,38.8846
Federal Triangle ,302 12th Street NW ,Washington,DC,20004,Northwest Washington,Washington,USA,38.8936615,-77.02796936,,,,-77.028,38.8937
Foggy Bottom-GWU,2301 I Street NW ,Washington,DC,20037,"Northwest Washington,West End",Washington,USA,38.90542984,-77.05037689,,,,-77.0504,38.9054
Forest Glen,9730 Georgia Avenue ,Forest Glen,MD,20910,Forest Glen,,USA,39.01516342,-77.04265594,,,,-77.0427,39.0152
